,Unnamed: 0,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent,points_per_min,points_per_mil
6,6,Ødegaard,ARS,MID,6.5,Available,2782,131,9,3.6,9.3,0.04708842559309849,20.153846153846153
9,9,White,ARS,DEF,4.5,Available,2880,107,9,3.3,9.2,0.03715277777777778,23.77777777777778
12,12,Saka,ARS,MID,8.0,Available,2978,179,18,4.7,16.8,0.06010745466756212,22.375
14,14,Ramsdale,ARS,GKP,5.0,Available,3060,135,14,4.0,9.4,0.04411764705882353,27.0
15,15,Gabriel,ARS,DEF,5.0,Available,3063,146,16,4.2,7.4,0.047665687234737186,29.2
30,30,Martínez,AVL,GKP,5.0,Available,3240,129,7,3.6,4.7,0.03981481481481482,25.8
36,36,McGinn,AVL,MID,5.5,Available,3090,110,12,3.1,1.7,0.03559870550161812,20.0
38,38,Mings,AVL,DEF,4.5,Available,3188,118,12,3.3,6.6,0.0370138017565872,26.22222222222222
39,39,Watkins,AVL,FWD,7.5,Available,2950,131,17,3.7,4.5,0.04440677966101695,17.466666666666665
42,42,Cash,AVL,DEF,5.0,Available,3377,147,11,3.9,20.3,0.04352976014213799,29.4
45,45,Douglas Luiz,AVL,MID,5.0,Available,2715,89,3,2.6,0.9,0.032780847145488026,17.8
78,78,Jansson,BRE,DEF,4.5,Available,3321,122,13,3.3,3.1,0.036735922914784704,27.11111111111111
79,79,Nørgaard,BRE,MID,5.5,Available,3054,101,5,2.9,0.4,0.03307138179436804,18.363636363636363
80,80,Toney,BRE,FWD,7.0,Available,2908,139,19,4.2,5.9,0.04779917469050894,19.857142857142858
85,85,Henry,BRE,DEF,4.5,Available,2775,108,4,3.2,0.8,0.03891891891891892,24.0
95,95,Mbeumo,BRE,FWD,6.0,Available,2905,119,6,3.4,3.0,0.04096385542168675,19.833333333333332
111,111,Veltman,BHA,DEF,4.5,Available,2874,95,5,2.8,0.4,0.033054975643702154,21.11111111111111
113,113,Trossard,BHA,MID,6.5,Available,2803,141,16,4.1,2.2,0.050303246521584015,21.692307692307693
114,114,Cucurella,BHA,DEF,5.0,Available,3089,126,21,3.6,9.2,0.040789899643897704,25.2
115,115,Sánchez,BHA,GKP,4.5,Available,3330,126,8,3.4,14.0,0.03783783783783784,28.0
149,149,Mendy,CHE,GKP,5.0,Available,3060,130,3,3.8,25.1,0.042483660130718956,26.0
150,150,Gallagher,CHE,MID,6.0,Available,2843,140,16,4.1,3.2,0.049243756595145974,23.333333333333332
162,162,Zaha,CRY,MID,7.0,Available,2759,150,11,4.5,7.0,0.05436752446538601,21.428571428571427
167,167,Andersen,CRY,DEF,4.5,Available,2914,124,14,3.6,2.5,0.0425531914893617,27.555555555555557
169,169,Guéhi,CRY,DEF,4.5,Available,3222,123,8,3.4,2.9,0.038175046554934824,27.333333333333332
172,172,Mitchell,CRY,DEF,4.5,Available,3101,109,6,3.0,1.3,0.03514995162850693,24.22222222222222
185,185,Keane,EVE,DEF,4.5,Available,2791,102,11,3.2,0.7,0.03654604084557506,22.666666666666668
187,187,Pickford,EVE,GKP,4.5,Available,3150,116,12,3.3,6.1,0.036825396825396824,25.77777777777778
204,204,Tarkowski,EVE,DEF,4.5,Available,3106,83,5,2.4,1.2,0.026722472633612365,18.444444444444443
227,227,Schmeichel,LEI,GKP,5.0,Available,3330,131,12,3.5,1.9,0.03933933933933934,26.2
258,258,Dallas,LEE,DEF,5.0,Injured,2920,80,6,2.4,0.0,0.0273972602739726,16.0
264,264,Raphinha,LEE,MID,7.0,Available,2916,145,14,4.1,6.8,0.04972565157750343,20.714285714285715
270,270,Meslier,LEE,GKP,4.5,Available,3384,106,8,2.8,2.7,0.031323877068557916,23.555555555555557
284,284,Matip,LIV,DEF,6.0,Available,2790,170,20,5.5,2.9,0.06093189964157706,28.333333333333332
288,288,Van Dijk,LIV,DEF,6.5,Available,3060,183,13,5.4,10.9,0.059803921568627454,28.153846153846153
289,289,Alisson,LIV,GKP,5.5,Available,3240,176,15,4.9,18.7,0.05432098765432099,32.0
291,291,Salah,LIV,MID,13.0,Available,2758,265,29,7.6,58.9,0.09608411892675853,20.384615384615383
293,293,Alexander-Arnold,LIV,DEF,7.5,Available,2853,208,32,6.5,55.7,0.07290571328426218,27.733333333333334
318,318,Cancelo,MCI,DEF,7.0,Available,3227,201,27,5.6,45.9,0.06228695382708398,28.714285714285715
319,319,Ederson,MCI,GKP,5.5,Available,3330,155,4,4.2,13.7,0.046546546546546545,28.181818181818183
321,321,Laporte,MCI,DEF,6.0,Available,2830,160,8,4.8,5.2,0.05653710247349823,26.666666666666668
323,323,Bernardo,MCI,MID,7.0,Available,2856,155,15,4.4,7.8,0.05427170868347339,22.142857142857142
327,327,Rodri,MCI,MID,6.0,Available,2884,127,9,3.8,2.3,0.04403606102635229,21.166666666666668
339,339,De Gea,MUN,GKP,5.0,Available,3420,132,7,3.5,5.4,0.03859649122807018,26.4
345,345,Fernandes,MUN,MID,10.0,Available,3110,151,15,4.2,3.8,0.04855305466237942,15.1
379,379,Targett,NEW,DEF,5.0,Available,2871,101,7,3.1,1.5,0.035179380006966215,20.2
380,380,Saint-Maximin,NEW,MID,6.5,Available,2804,116,15,3.3,8.5,0.04136947218259629,17.846153846153847
388,388,Pope,NEW,GKP,5.0,Available,3240,130,12,3.6,5.7,0.040123456790123455,26.0
418,418,Romeu,SOU,MID,5.0,Available,2890,88,6,2.4,0.1,0.03044982698961938,17.6
423,423,Ward-Prowse,SOU,MID,6.5,Available,3215,159,21,4.4,10.3,0.049455676516329705,24.46153846153846
436,436,Salisu,SOU,DEF,4.5,Available,2971,58,4,1.7,0.2,0.01952204644900707,12.88888888888889
442,442,Lloris,TOT,GKP,5.5,Available,3420,158,11,4.2,4.6,0.046198830409356725,28.727272727272727
444,444,Kane,TOT,FWD,11.5,Available,3231,192,23,5.2,16.4,0.059424326833797586,16.695652173913043
445,445,Son,TOT,MID,12.0,Available,3009,258,27,7.4,26.0,0.08574277168494517,21.5
447,447,Dier,TOT,DEF,5.0,Available,3071,132,7,3.8,2.4,0.0429827417779225,26.4
450,450,Højbjerg,TOT,MID,5.5,Available,3196,109,6,3.0,0.8,0.03410513141426783,19.818181818181817
473,473,Fabianski,WHU,GKP,5.0,Available,3330,136,9,3.7,1.1,0.04084084084084084,27.2
475,475,Cresswell,WHU,DEF,5.0,Available,2726,115,17,3.7,3.6,0.04218635363169479,23.0
476,476,Antonio,WHU,FWD,7.5,Available,2975,140,14,3.9,4.2,0.047058823529411764,18.666666666666668
477,477,Dawson,WHU,DEF,5.0,Available,2752,90,1,2.6,0.5,0.032703488372093026,18.0
483,483,Bowen,WHU,MID,8.5,Available,2987,206,24,5.7,9.9,0.06896551724137931,24.235294117647058
485,485,Rice,WHU,MID,5.0,Available,3178,95,7,2.6,6.3,0.029893014474512272,19.0
486,486,Soucek,WHU,MID,5.5,Available,3061,114,14,3.3,1.9,0.037242731133616466,20.727272727272727
487,487,Fornals,WHU,MID,5.5,Available,2795,117,5,3.2,2.2,0.04186046511627907,21.272727272727273
494,494,Coady,WOL,DEF,5.0,Available,3361,138,10,3.6,4.8,0.04105920856887831,27.6
497,497,Sá,WOL,GKP,5.0,Available,3285,146,11,3.9,5.0,0.044444444444444446,29.2
514,514,Moutinho,WOL,MID,5.0,Available,2970,96,8,2.7,2.0,0.03232323232323232,19.2
