,Squad,Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Er
0,vs Arsenal,27,22.0,349,210,172,126,51,142,321,44.2,179,2969,823,27.7,1043,1250,676,296,95,0,201,324,673,422,3
1,vs Aston Villa,29,23.0,403,255,200,153,50,129,315,41.0,186,2957,910,30.8,947,1340,670,303,77,0,226,312,715,490,4
2,vs Brentford,26,25.0,368,212,157,159,52,116,280,41.4,164,3025,978,32.3,886,1313,826,388,85,5,303,404,772,593,5
3,vs Brighton,24,24.0,435,247,212,163,60,139,377,36.9,238,3692,1030,27.9,1354,1485,853,428,100,3,328,412,847,508,1
4,vs Burnley,22,21.0,277,151,129,110,38,98,257,38.1,159,2455,740,30.1,864,1060,531,306,58,1,248,251,528,578,5
5,vs Chelsea,25,24.0,422,268,203,171,48,134,375,35.7,241,4128,1058,25.6,1337,1792,999,413,120,1,293,433,855,477,4
6,vs Crystal Palace,24,24.0,559,316,248,237,74,188,433,43.4,245,3778,1161,30.7,1198,1672,908,352,81,0,271,365,924,469,8
7,vs Everton,32,22.0,391,216,177,156,58,147,342,43.0,195,3122,948,30.4,1112,1295,715,357,105,2,252,348,739,477,5
8,vs Leeds United,28,23.0,456,267,214,184,58,196,410,47.8,214,3350,1069,31.9,1023,1400,927,402,113,4,289,407,863,486,6
9,vs Leicester City,24,22.0,377,239,147,165,65,137,322,42.5,185,3270,950,29.1,919,1529,822,326,77,0,249,367,744,392,5
10,vs Liverpool,27,24.0,450,257,284,137,29,161,393,41.0,232,3742,1123,30.0,1541,1548,653,485,140,7,345,491,941,643,11
11,vs Manchester City,25,25.0,462,288,290,141,31,168,439,38.3,271,4187,942,22.5,1849,1682,656,457,145,5,312,393,855,497,7
12,vs Manchester Utd,25,25.0,438,271,207,157,74,168,426,39.4,258,3834,1184,30.9,1248,1686,900,417,119,4,298,487,925,452,4
13,vs Newcastle Utd,29,23.0,431,261,211,161,59,143,384,37.2,241,3008,986,32.8,1093,1207,708,289,90,2,199,258,689,449,3
14,vs Norwich City,26,24.0,410,235,192,147,71,166,369,45.0,203,3231,958,29.7,992,1311,928,322,83,1,239,328,738,390,5
15,vs Southampton,25,24.0,447,266,225,167,55,148,375,39.5,227,3442,1053,30.6,1122,1518,802,367,98,2,269,310,757,587,6
16,vs Tottenham,24,22.0,440,265,191,179,70,151,367,41.1,216,3357,1022,30.4,1080,1558,719,349,86,4,263,379,819,437,3
17,vs Watford,29,23.0,427,259,207,158,62,171,425,40.2,254,3050,1059,34.7,1038,1296,716,318,72,1,246,306,733,487,6
18,vs West Ham,24,25.0,430,255,233,147,50,161,347,46.4,186,3313,967,29.2,1244,1359,710,407,109,5,298,348,778,572,7
19,vs Wolves,21,23.0,418,252,183,177,58,175,467,37.5,292,3246,980,30.2,962,1491,793,325,68,2,257,354,772,377,7
