,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Er
0,Max Aarons,ENG,DF,Norwich City,21-302,2000,10.0,14,9,9,5,0,8,19,42.1,11,119,31,26.1,68,38,13,25,6,0,19,10,24,22,0
1,Che Adams,SCO,"FW,MF",Southampton,25-112,1996,5.4,7,5,2,1,4,1,3,33.3,2,86,23,26.7,10,30,46,8,3,0,5,1,8,5,0
2,Rayan Aït Nouri,FRA,"DF,FW",Wolves,20-149,2001,2.0,5,5,3,1,1,2,3,66.7,1,22,9,40.9,9,8,5,2,0,0,2,2,7,2,0
3,Kristoffer Ajer,NOR,DF,Brentford,23-199,1998,6.3,11,5,8,1,2,7,14,50.0,7,57,18,31.6,29,24,4,9,4,1,5,13,24,35,0
4,Nathan Aké,NED,DF,Manchester City,26-257,1995,3.0,4,2,2,2,0,0,1,0.0,1,14,4,28.6,4,9,1,3,3,0,0,3,7,17,0
5,Marc Albrighton,ENG,"MF,FW",Leicester City,31-349,1989,2.1,4,1,3,0,1,0,3,0.0,3,68,12,17.6,22,36,10,2,0,0,2,1,5,1,0
6,Thiago Alcántara,ESP,MF,Liverpool,30-205,1991,2.0,7,4,4,2,1,1,3,33.3,2,21,10,47.6,11,6,4,1,0,0,1,2,9,3,0
7,Trent Alexander-Arnold,ENG,DF,Liverpool,23-026,1998,7.7,13,9,4,6,3,8,17,47.1,9,69,24,34.8,28,24,17,9,2,0,7,20,33,20,0
8,Allan,BRA,MF,Everton,30-298,1991,9.8,29,25,18,9,2,7,30,23.3,23,235,77,32.8,107,111,17,20,4,0,16,19,48,20,0
9,Dele Alli,ENG,MF,Tottenham,25-205,1996,5.7,18,8,12,5,1,6,15,40.0,9,147,38,25.9,64,58,25,18,5,0,13,11,29,8,0
10,Miguel Almirón,PAR,MF,Newcastle Utd,27-265,1994,6.9,19,12,12,4,3,4,18,22.2,14,144,43,29.9,62,55,27,9,1,1,8,9,28,4,0
11,Marcos Alonso,ESP,DF,Chelsea,30-309,1990,5.9,13,6,7,3,3,5,10,50.0,5,72,19,26.4,31,24,17,12,1,0,11,13,26,15,0
12,Steven Alzate,COL,MF,Brighton,23-055,1998,1.0,2,2,1,0,1,1,1,100.0,0,14,3,21.4,8,4,2,2,0,0,2,1,3,2,0
13,Daniel Amartey,GHA,DF,Leicester City,26-316,1994,5.5,4,2,2,2,0,3,8,37.5,5,36,11,30.6,23,12,1,9,4,0,5,7,11,23,0
14,Joachim Andersen,DEN,DF,Crystal Palace,25-155,1996,9.4,11,7,8,3,0,6,10,60.0,4,45,14,31.1,25,17,3,11,4,0,7,24,35,53,2
15,Michail Antonio,JAM,FW,West Ham,31-219,1990,8.9,14,12,1,6,7,3,4,75.0,1,123,47,38.2,7,50,66,7,0,0,7,5,19,3,0
16,Adam Armstrong,ENG,FW,Southampton,24-265,1997,7.8,4,3,1,0,3,0,2,0.0,2,125,35,28.0,10,48,67,4,1,0,3,1,5,0,0
17,Stuart Armstrong,SCO,MF,Southampton,29-217,1992,0.8,0,0,0,0,0,0,4,0.0,4,19,7,36.8,3,10,6,1,0,0,1,1,1,1,0
18,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32-137,1989,7.8,10,6,5,3,2,2,4,50.0,2,135,35,25.9,17,49,69,13,2,0,11,0,10,2,0
19,Jordan Ayew,GHA,"FW,MF",Crystal Palace,30-052,1991,7.2,14,9,7,6,1,4,8,50.0,4,167,39,23.4,44,66,57,18,2,0,16,10,24,2,0
20,Luke Ayling,ENG,DF,Leeds United,30-069,1991,5.0,13,5,11,2,0,7,14,50.0,7,71,23,32.4,38,23,10,11,8,0,3,6,19,11,1
21,César Azpilicueta,ESP,DF,Chelsea,32-066,1989,7.0,19,8,10,6,3,6,15,40.0,9,101,25,24.8,45,39,17,20,3,0,17,8,27,21,0
22,Leon Bailey,JAM,"FW,MF",Aston Villa,24-085,1997,2.3,8,4,3,3,2,0,2,0.0,2,24,8,33.3,5,7,12,4,1,0,3,0,8,1,0
23,Patrick Bamford,ENG,FW,Leeds United,28-058,1993,4.8,2,1,1,1,0,1,3,33.3,2,92,31,33.7,4,39,49,6,3,0,3,3,5,8,0
24,Ross Barkley,ENG,MF,Chelsea,27-332,1993,0.6,1,1,0,1,0,0,1,0.0,1,6,3,50.0,0,3,3,1,0,0,1,0,1,0,0
25,Ashley Barnes,ENG,FW,Burnley,32-003,1989,4.2,6,5,1,4,1,1,2,50.0,1,63,11,17.5,6,31,26,3,1,1,2,3,9,1,0
26,Harvey Barnes,ENG,"FW,MF",Leicester City,23-328,1997,6.5,6,3,1,3,2,1,6,16.7,5,57,19,33.3,17,22,18,6,1,0,5,2,8,3,0
27,Jan Bednarek,POL,DF,Southampton,25-204,1996,6.5,12,6,7,4,1,4,11,36.4,7,50,17,34.0,28,20,2,9,5,0,4,22,34,40,0
28,Saïd Benrahma,ALG,"MF,FW",West Ham,26-084,1995,9.2,15,9,6,6,3,9,18,50.0,9,135,34,25.2,27,78,30,3,0,0,3,3,18,3,0
29,Christian Benteke,BEL,FW,Crystal Palace,30-334,1990,6.6,4,1,1,2,1,0,3,0.0,3,64,13,20.3,6,31,27,4,3,0,1,1,5,13,0
30,Jóhann Berg Guðmundsson,ISL,MF,Burnley,31-006,1990,6.2,6,3,2,3,1,3,5,60.0,2,65,20,30.8,16,24,25,11,2,0,9,4,10,5,0
31,Steven Bergwijn,NED,FW,Tottenham,24-025,1997,3.0,2,1,1,1,0,0,2,0.0,2,35,2,5.7,7,17,11,3,0,0,3,2,4,5,0
32,Ryan Bertrand,ENG,DF,Leicester City,32-089,1989,3.7,9,4,1,7,1,4,6,66.7,2,77,25,32.5,40,26,11,11,3,0,8,3,12,7,0
33,Mads Bidstrup,DEN,MF,Brentford,20-250,2001,0.3,4,2,2,2,0,0,2,0.0,2,12,6,50.0,7,5,0,1,0,0,1,1,5,2,0
34,Yves Bissouma,MLI,MF,Brighton,25-064,1996,5.5,17,13,12,3,2,3,3,100.0,0,97,39,40.2,39,45,13,6,0,0,6,12,29,6,0
35,Jarrod Bowen,ENG,FW,West Ham,24-317,1996,9.7,19,12,11,5,3,5,11,45.5,6,154,37,24.0,53,56,45,15,2,0,13,10,29,1,0
36,Armando Broja,ALB,"FW,MF",Southampton,20-053,2001,2.7,4,4,0,2,2,1,3,33.3,2,52,15,28.8,4,11,37,2,0,0,2,2,6,2,0
37,Josh Brownhill,ENG,MF,Burnley,25-318,1995,9.1,14,10,4,8,2,3,8,37.5,5,131,43,32.8,38,64,29,10,3,0,7,14,28,16,0
38,Bryan,ESP,"FW,MF",Tottenham,20-264,2001,0.7,2,1,2,0,0,2,4,50.0,2,27,7,25.9,9,5,13,2,0,0,2,0,2,0,0
39,Emi Buendía,ARG,"MF,FW",Aston Villa,24-312,1996,5.2,12,7,5,5,2,2,13,15.4,11,95,24,25.3,28,44,23,3,0,0,3,4,16,3,0
40,Dan Burn,ENG,DF,Brighton,29-177,1992,3.4,11,8,7,3,1,4,10,40.0,6,54,18,33.3,20,25,9,9,2,0,7,8,19,10,0
41,Dominic Calvert-Lewin,ENG,FW,Everton,24-231,1997,2.8,0,0,0,0,0,0,1,0.0,1,20,3,15.0,2,11,7,1,1,0,0,5,5,2,0
42,João Cancelo,POR,DF,Manchester City,27-159,1994,9.9,22,13,11,9,2,8,21,38.1,13,102,29,28.4,34,38,30,15,1,0,14,30,52,20,0
43,Sergi Canós,ESP,DF,Brentford,24-273,1997,9.0,25,8,14,8,3,10,25,40.0,15,199,48,24.1,95,74,30,18,1,0,17,13,38,15,0
44,Todd Cantwell,ENG,"FW,MF",Norwich City,23-248,1998,3.5,13,10,8,4,1,4,13,30.8,9,75,15,20.0,31,29,15,1,0,0,1,3,16,1,0
45,Matty Cash,POL,DF,Aston Villa,24-087,1997,9.8,20,16,9,10,1,10,19,52.6,9,119,41,34.5,41,61,17,16,3,0,13,18,38,19,0
46,Timothy Castagne,BEL,DF,Leicester City,25-332,1995,6.6,18,7,8,8,2,7,14,50.0,7,129,33,25.6,56,57,16,12,2,0,10,9,27,20,0
47,Craig Cathcart,NIR,DF,Watford,32-269,1989,7.3,5,3,5,0,0,1,6,16.7,5,44,18,40.9,30,11,3,17,8,0,9,11,16,37,1
48,Edinson Cavani,URU,FW,Manchester Utd,34-261,1987,2.4,2,1,0,1,1,1,3,33.3,2,32,12,37.5,7,12,13,3,0,0,3,6,8,1,0
49,Trevoh Chalobah,ENG,DF,Chelsea,22-120,1999,5.0,14,7,6,6,2,8,13,61.5,5,56,18,32.1,27,27,2,7,4,1,3,7,21,19,0
50,Calum Chambers,ENG,DF,Arsenal,26-286,1995,1.9,2,1,2,0,0,1,3,33.3,2,24,5,20.8,18,5,1,11,3,0,8,3,5,7,1
51,Ben Chilwell,ENG,DF,Chelsea,24-316,1996,4.0,9,6,3,5,1,1,4,25.0,3,65,21,32.3,26,24,15,6,0,0,6,6,15,12,1
52,Hamza Choudhury,ENG,MF,Leicester City,24-032,1997,0.7,4,1,0,4,0,2,2,100.0,0,16,2,12.5,0,13,3,1,0,0,1,6,10,2,0
53,Andreas Christensen,DEN,DF,Chelsea,25-206,1996,7.0,8,7,5,1,2,4,6,66.7,2,57,25,43.9,33,21,3,18,5,0,13,27,35,46,0
