,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,Max Aarons,ENG,DF,Norwich City,21-302,2000,10.0,534,45,203,235,133,9,432,16,34,47.1,17,3,326,1909,1229,48,18,3,8,7,359,307,85.5,15
1,Che Adams,SCO,"FW,MF",Southampton,25-112,1996,5.4,180,8,19,78,91,22,176,2,6,33.3,3,0,109,342,163,8,5,2,11,13,253,119,47.0,40
2,Rayan Aït Nouri,FRA,"DF,FW",Wolves,20-149,2001,2.0,58,4,20,24,19,3,47,3,5,60.0,3,1,32,202,152,4,2,0,2,3,33,27,81.8,3
3,Kristoffer Ajer,NOR,DF,Brentford,23-199,1998,6.3,289,32,128,134,44,9,246,4,6,66.7,4,0,126,774,452,15,5,0,6,2,127,106,83.5,7
4,Marc Albrighton,ENG,"MF,FW",Leicester City,31-349,1989,2.1,87,5,18,35,38,2,70,3,7,42.9,4,1,54,266,104,6,1,2,4,5,82,48,58.5,9
5,Trent Alexander-Arnold,ENG,DF,Liverpool,23-026,1998,7.7,770,23,160,376,270,17,644,5,11,45.5,5,0,454,1874,1052,49,16,4,3,7,527,501,95.1,26
6,Alisson,BRA,GK,Liverpool,29-031,1992,9.0,356,289,352,4,0,0,288,1,1,100.0,1,0,181,633,344,0,0,0,0,0,175,175,100.0,0
7,Allan,BRA,MF,Everton,30-298,1991,9.8,411,34,144,219,72,4,392,5,8,62.5,5,0,240,1282,686,30,11,1,4,11,212,196,92.5,3
8,Dele Alli,ENG,MF,Tottenham,25-205,1996,5.7,250,17,59,129,75,17,243,5,15,33.3,7,1,159,655,332,15,5,0,8,13,194,148,76.3,20
9,Miguel Almirón,PAR,MF,Newcastle Utd,27-265,1994,6.9,260,7,60,108,113,19,257,6,14,42.9,10,1,192,1422,723,35,8,2,8,12,222,162,73.0,15
10,Marcos Alonso,ESP,DF,Chelsea,30-309,1990,5.9,405,25,117,142,160,16,339,3,9,33.3,3,0,235,1248,693,38,6,2,8,7,273,237,86.8,25
11,Daniel Amartey,GHA,DF,Leicester City,26-316,1994,5.5,428,45,214,230,11,0,424,2,4,50.0,2,0,312,1382,907,23,3,0,3,0,327,323,98.8,0
12,Joachim Andersen,DEN,DF,Crystal Palace,25-155,1996,9.4,699,139,407,310,19,6,684,1,3,33.3,1,0,448,2364,1133,22,0,0,1,3,509,503,98.8,1
13,Michail Antonio,JAM,FW,West Ham,31-219,1990,8.9,365,4,24,137,226,64,361,11,22,50.0,13,1,290,1410,831,50,14,14,37,26,490,286,58.4,78
14,Cameron Archer,ENG,"MF,FW",Aston Villa,20-104,2001,0.1,2,0,1,0,1,0,2,0,1,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0
15,Adam Armstrong,ENG,FW,Southampton,24-265,1997,7.8,217,1,16,83,137,40,205,10,22,45.5,11,1,166,1001,579,34,9,9,12,11,319,164,51.4,51
16,Stuart Armstrong,SCO,MF,Southampton,29-217,1992,0.8,47,0,7,24,21,3,47,1,3,33.3,1,0,33,261,156,8,3,1,1,0,42,37,88.1,5
17,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32-137,1989,7.8,221,4,22,97,116,37,217,2,4,50.0,2,0,112,767,474,21,9,8,16,4,296,156,52.7,32
18,Jordan Ayew,GHA,"FW,MF",Crystal Palace,30-052,1991,7.2,345,4,49,178,147,26,340,8,18,44.4,8,1,268,1594,832,40,13,8,20,17,301,237,78.7,34
19,Luke Ayling,ENG,DF,Leeds United,30-069,1991,5.0,455,47,222,225,53,5,426,7,10,70.0,7,1,303,1817,1163,35,7,0,6,6,337,322,95.5,6
20,César Azpilicueta,ESP,DF,Chelsea,32-066,1989,7.0,539,47,194,207,158,16,483,6,8,75.0,6,1,308,1040,561,31,8,0,4,3,396,366,92.4,20
21,Leon Bailey,JAM,"FW,MF",Aston Villa,24-085,1997,2.3,104,2,9,35,66,9,95,7,10,70.0,7,1,81,530,311,21,2,5,6,6,88,70,79.5,14
22,Folarin Balogun,ENG,FW,Arsenal,20-122,2001,0.8,23,1,3,10,12,6,23,0,2,0.0,0,0,16,50,16,1,0,1,4,2,34,17,50.0,7
23,Patrick Bamford,ENG,FW,Leeds United,28-058,1993,4.8,144,10,20,63,70,30,132,3,6,50.0,4,0,87,338,151,8,2,1,14,6,204,93,45.6,29
24,Shandon Baptiste,GRN,MF,Brentford,23-208,1998,2.1,88,6,26,55,19,4,88,2,3,66.7,2,0,61,336,191,13,3,1,1,2,72,54,75.0,6
25,Ross Barkley,ENG,MF,Chelsea,27-332,1993,0.6,48,0,1,19,33,3,48,1,1,100.0,1,0,34,334,160,9,4,0,1,0,46,43,93.5,5
26,Ashley Barnes,ENG,FW,Burnley,32-003,1989,4.2,138,2,13,73,61,22,134,1,3,33.3,1,0,85,274,113,7,3,2,14,7,192,89,46.4,19
27,Harvey Barnes,ENG,"FW,MF",Leicester City,23-328,1997,6.5,297,6,27,131,178,39,296,8,26,30.8,11,1,245,1614,1112,61,24,13,19,17,318,244,76.7,55
28,Jan Bednarek,POL,DF,Southampton,25-204,1996,6.5,391,46,208,183,13,3,376,1,1,100.0,1,0,215,941,484,7,0,0,1,0,229,228,99.6,1
29,Saïd Benrahma,ALG,"MF,FW",West Ham,26-084,1995,9.2,439,5,45,191,231,32,426,8,19,42.1,9,1,339,1844,896,43,13,9,17,17,431,331,76.8,70
30,Christian Benteke,BEL,FW,Crystal Palace,30-334,1990,6.6,227,15,27,112,97,42,219,5,12,41.7,6,0,118,617,268,16,4,6,25,2,329,170,51.7,55
31,Jóhann Berg Guðmundsson,ISL,MF,Burnley,31-006,1990,6.2,233,6,30,90,134,12,230,8,11,72.7,9,0,163,873,411,22,10,2,9,8,189,152,80.4,29
32,Steven Bergwijn,NED,FW,Tottenham,24-025,1997,3.0,115,3,18,40,73,13,114,3,7,42.9,4,0,89,649,428,16,6,4,3,7,123,82,66.7,19
33,Ryan Bertrand,ENG,DF,Leicester City,32-089,1989,3.7,228,18,71,113,55,4,182,0,1,0.0,1,1,122,543,216,11,3,1,4,5,148,128,86.5,2
34,Mads Bidstrup,DEN,MF,Brentford,20-250,2001,0.3,20,2,9,11,0,0,20,0,1,0.0,0,0,8,25,12,0,0,0,0,2,8,6,75.0,1
35,Yves Bissouma,MLI,MF,Brighton,25-064,1996,5.5,341,18,108,183,73,6,332,11,14,78.6,11,0,240,1370,666,25,8,2,7,6,236,219,92.8,4
36,Jarrod Bowen,ENG,FW,West Ham,24-317,1996,9.7,392,11,64,133,218,51,360,10,17,58.8,11,0,268,1589,718,39,9,7,17,28,368,245,66.6,64
37,Armando Broja,ALB,"FW,MF",Southampton,20-053,2001,2.7,82,2,6,31,50,18,80,2,7,28.6,2,0,45,338,243,8,3,6,6,4,126,55,43.7,17
38,Josh Brownhill,ENG,MF,Burnley,25-318,1995,9.1,399,20,77,210,131,15,388,4,6,66.7,4,0,211,892,396,25,9,1,3,5,268,230,85.8,19
