,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Max Aarons,eng ENG,DF,Norwich City,21-302,2000,10.0,0,8,1,12.5,0.80,0.10,0.00,0.00,21.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
1,Che Adams,sct SCO,"FW,MF",Southampton,25-112,1996,5.4,1,10,4,40.0,1.87,0.75,0.10,0.25,15.9,0,0,0,1.3,1.3,0.13,-0.3,-0.3
2,Rayan Aït Nouri,fr FRA,"DF,FW",Wolves,20-149,2001,2.0,0,2,1,50.0,1.01,0.50,0.00,0.00,14.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
3,Marc Albrighton,eng ENG,"MF,FW",Leicester City,31-349,1989,2.1,1,1,1,100.0,0.47,0.47,1.00,1.00,17.2,0,0,0,0.0,0.0,0.04,+1.0,+1.0
4,Thiago Alcántara,es ESP,MF,Liverpool,30-205,1991,2.0,0,5,1,20.0,2.54,0.51,0.00,0.00,18.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
5,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-026,1998,7.7,0,15,4,26.7,1.95,0.52,0.00,0.00,23.6,3,0,0,0.7,0.7,0.05,-0.7,-0.7
6,Allan,br BRA,MF,Everton,30-298,1991,9.8,0,3,1,33.3,0.31,0.10,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
7,Dele Alli,eng ENG,MF,Tottenham,25-205,1996,5.7,1,3,1,33.3,0.53,0.18,0.00,0.00,19.6,0,1,1,1.1,0.3,0.10,-0.1,-0.3
8,Miguel Almirón,py PAR,MF,Newcastle Utd,27-265,1994,6.9,0,8,1,12.5,1.15,0.14,0.00,0.00,20.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6
9,Marcos Alonso,es ESP,DF,Chelsea,30-309,1990,5.9,1,10,3,30.0,1.68,0.50,0.10,0.33,17.8,3,0,0,0.8,0.8,0.08,+0.2,+0.2
10,Michail Antonio,jm JAM,FW,West Ham,31-219,1990,8.9,6,35,11,31.4,3.91,1.23,0.17,0.55,13.3,0,0,1,5.1,4.8,0.14,+0.9,+1.2
11,Adam Armstrong,eng ENG,FW,Southampton,24-265,1997,7.8,1,27,7,25.9,3.45,0.89,0.04,0.14,17.6,0,0,0,2.7,2.7,0.10,-1.7,-1.7
12,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-137,1989,7.8,4,21,10,47.6,2.71,1.29,0.19,0.40,14.3,0,0,1,3.3,2.5,0.12,+0.7,+1.5
