,Squad,Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Er
0,Arsenal,27,22.0,341,204,161,131,49,115,264,43.6,149,2701,808,29.9,845,1078,778,324,94,0,230,296,637,388,11
1,Aston Villa,29,23.0,397,234,203,147,47,139,345,40.3,206,3129,894,28.6,1109,1318,702,382,103,3,279,375,772,422,4
2,Brentford,26,25.0,489,288,236,180,73,186,444,41.9,258,3720,1103,29.7,1365,1572,783,401,75,3,326,406,895,585,7
3,Brighton,24,24.0,483,299,225,190,68,169,392,43.1,223,3593,1175,32.7,1204,1430,959,411,97,3,314,386,869,480,8
4,Burnley,22,21.0,360,199,169,148,43,143,337,42.4,194,2928,809,27.6,921,1276,731,414,143,5,271,353,713,509,4
5,Chelsea,25,24.0,418,255,182,175,61,129,357,36.1,228,3476,1064,30.6,1085,1504,887,367,81,4,286,375,793,521,7
6,Crystal Palace,24,24.0,467,276,235,174,58,157,345,45.5,188,3790,1141,30.1,1338,1658,794,396,97,0,299,339,806,528,6
7,Everton,32,22.0,456,276,232,166,58,173,415,41.7,242,3490,1095,31.4,1218,1479,793,386,94,0,292,365,821,445,6
8,Leeds United,28,23.0,476,264,248,166,62,196,429,45.7,233,3799,1150,30.3,1343,1643,813,373,111,1,262,389,865,489,9
9,Leicester City,24,22.0,450,246,227,170,53,158,398,39.7,240,3450,996,28.9,1282,1526,642,370,100,4,270,339,789,479,9
10,Liverpool,27,24.0,355,226,114,167,74,124,339,36.6,215,3237,1045,32.3,773,1468,996,294,58,2,236,365,720,404,4
11,Manchester City,25,25.0,328,212,115,145,68,130,332,39.2,202,2803,883,31.5,624,1252,927,262,51,2,211,276,604,323,4
12,Manchester Utd,25,25.0,404,241,207,144,53,156,367,42.5,211,3211,955,29.7,1047,1464,700,366,97,1,269,345,749,550,6
13,Newcastle Utd,29,23.0,426,248,235,136,55,155,389,39.8,234,3114,851,27.3,1222,1256,636,365,115,4,250,370,796,497,5
14,Norwich City,26,24.0,437,254,223,176,38,169,410,41.2,241,3766,986,26.2,1444,1545,777,407,128,3,279,399,836,518,4
15,Southampton,25,24.0,418,256,193,169,56,137,374,36.6,237,3714,1131,30.5,1192,1611,911,371,88,4,283,453,871,553,1
16,Tottenham,24,22.0,413,224,175,179,59,131,330,39.7,199,3254,921,28.3,1155,1421,678,333,101,2,232,356,769,459,0
17,Watford,29,23.0,420,253,236,149,35,160,389,41.1,229,3354,979,29.2,1179,1462,713,351,100,4,251,373,793,569,3
18,West Ham,24,25.0,403,247,204,140,59,153,391,39.1,238,3266,942,28.8,1135,1406,725,370,101,2,269,355,758,497,2
19,Wolves,21,23.0,449,288,262,143,44,158,377,41.9,219,3361,1013,30.1,1371,1423,567,364,87,2,277,362,811,567,5
