,Squad,# Pl,90s,SCA,SCA 90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA 90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def
0,Arsenal,27,22.0,508,23.09,370,40,29,32,26,11,51,2.32,38,3,0,6,2,2
1,Aston Villa,29,23.0,397,17.26,277,46,18,19,30,7,47,2.04,27,7,5,5,3,0
2,Brentford,26,25.0,372,14.88,259,46,20,21,17,9,34,1.36,21,2,0,7,4,0
3,Brighton,24,24.0,477,19.87,349,45,27,24,22,10,41,1.71,29,4,1,3,4,0
4,Burnley,22,21.0,322,15.33,222,38,12,18,25,7,28,1.33,19,4,2,1,2,0
5,Chelsea,25,24.0,576,24.00,422,40,36,38,32,8,81,3.38,56,6,4,6,9,0
6,Crystal Palace,24,24.0,399,16.62,283,33,17,26,24,16,47,1.96,35,1,3,3,3,2
7,Everton,32,22.0,435,19.77,318,38,21,25,26,7,41,1.86,28,2,3,4,4,0
8,Leeds United,28,23.0,482,20.96,341,41,25,33,27,15,43,1.87,23,1,5,7,4,3
9,Leicester City,24,22.0,376,17.09,285,21,21,20,16,13,53,2.41,35,2,3,6,3,4
10,Liverpool,27,24.0,678,28.25,470,67,46,53,26,16,100,4.17,66,7,12,11,3,1
11,Manchester City,25,25.0,736,29.44,572,49,35,47,28,5,88,3.52,61,3,4,13,6,1
12,Manchester Utd,25,25.0,597,23.88,449,44,33,25,31,15,71,2.84,57,2,3,4,3,2
13,Newcastle Utd,29,23.0,400,17.39,261,43,34,31,19,12,38,1.65,27,1,0,4,4,2
14,Norwich City,26,24.0,345,14.37,231,41,16,19,28,10,19,0.79,14,2,0,0,2,1
15,Southampton,25,24.0,450,18.75,324,33,23,23,28,19,42,1.75,29,3,1,1,6,2
16,Tottenham,24,22.0,455,20.68,342,33,24,25,26,5,47,2.14,36,2,2,3,4,0
17,Watford,29,23.0,406,17.65,288,34,30,18,23,13,35,1.52,22,3,2,4,2,2
18,West Ham,24,25.0,474,18.96,336,50,26,29,19,14,73,2.92,51,8,4,6,2,2
19,Wolves,21,23.0,365,15.87,256,22,33,22,21,11,31,1.35,16,1,3,7,3,1
