,Squad,Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Arsenal,27,22.0,8690,10682,81.4,165261,49937,3630,4094,88.7,3763,4261,88.3,1135,1949,58.2,25,20.4,+4.6,231,616,195,45,643
1,Aston Villa,29,23.0,7158,9341,76.6,142823,51330,2797,3256,85.9,3121,3674,84.9,1107,2053,53.9,24,18.4,+5.6,190,549,183,41,702
2,Brentford,26,25.0,7401,10376,71.3,148661,54847,2853,3501,81.5,3243,4091,79.3,1176,2338,50.3,16,19.7,-3.7,177,555,169,51,670
3,Brighton,24,24.0,10813,13304,81.3,210380,63850,4267,4823,88.5,4871,5563,87.6,1491,2413,61.8,20,18.3,+1.7,213,717,220,54,781
4,Burnley,22,21.0,5151,7577,68.0,108784,46130,2209,2687,82.2,1826,2392,76.3,1016,2150,47.3,13,15.1,-2.1,152,470,145,53,483
5,Chelsea,25,24.0,12167,14397,84.5,225319,69424,5180,5697,90.9,5330,5973,89.2,1429,2196,65.1,32,29.0,+3.0,252,896,269,39,972
6,Crystal Palace,24,24.0,9546,11942,79.9,186040,59706,3718,4223,88.0,4340,5018,86.5,1326,2266,58.5,21,20.4,+0.6,180,599,185,54,685
7,Everton,32,22.0,6184,8512,72.7,124004,46622,2505,2953,84.8,2494,3144,79.3,1003,1961,51.1,20,17.3,+2.7,200,502,165,54,587
8,Leeds United,28,23.0,8774,11137,78.8,172301,55927,3411,3938,86.6,3931,4497,87.4,1270,2241,56.7,17,18.7,-1.7,228,618,185,40,781
9,Leicester City,24,22.0,8455,10634,79.5,159235,52971,3516,4017,87.5,3753,4317,86.9,1022,1895,53.9,26,20.7,+5.3,176,479,148,20,650
10,Liverpool,27,24.0,12772,15442,82.7,253009,80864,4931,5547,88.9,5773,6543,88.2,1899,2839,66.9,45,39.8,+5.2,311,1109,333,58,1258
11,Manchester City,25,25.0,15749,17834,88.3,297585,78233,6649,7168,92.8,6913,7518,92.0,2022,2711,74.6,37,38.9,-1.9,340,1282,366,48,1128
12,Manchester Utd,25,25.0,10779,13253,81.3,204172,61830,4655,5287,88.0,4479,5151,87.0,1458,2310,63.1,32,27.9,+4.1,282,838,210,46,882
13,Newcastle Utd,29,23.0,5834,7944,73.4,121382,46749,2305,2749,83.8,2348,2866,81.9,1040,1992,52.2,14,14.9,-0.9,182,431,116,38,410
14,Norwich City,26,24.0,7650,9965,76.8,157173,52497,2890,3342,86.5,3322,3913,84.9,1315,2343,56.1,9,12.8,-3.8,159,476,142,36,583
15,Southampton,25,24.0,7627,10169,75.0,142910,50277,3343,3888,86.0,3274,3998,81.9,879,1906,46.1,19,21.5,-2.5,215,571,149,36,654
16,Tottenham,24,22.0,9356,11375,82.3,176374,56121,3996,4456,89.7,4017,4605,87.2,1182,1895,62.4,19,25.7,-6.7,209,696,212,47,800
17,Watford,29,23.0,6182,8612,71.8,130464,50383,2334,2806,83.2,2604,3270,79.6,1131,2182,51.8,18,17.6,+0.4,193,478,143,42,572
18,West Ham,24,25.0,9043,11654,77.6,179007,60590,3656,4180,87.5,3852,4579,84.1,1383,2445,56.6,35,25.5,+9.5,221,663,209,65,753
19,Wolves,21,23.0,8658,10888,79.5,177005,55360,3196,3673,87.0,3881,4453,87.2,1466,2388,61.4,11,15.3,-4.3,165,620,120,31,635
