,Squad,Pl,Poss,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries	PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,Arsenal,26,47.4,11.0,6298,763,2176,2801,1739,284,5839,87,167,52.1,92,3,3988,21638,12443,471,163,51,146,103,4646,4048,87.1,304
1,Aston Villa,24,47.2,11.0,5546,697,1881,2461,1522,271,5021,88,154,57.1,93,6,3195,15875,8534,335,105,35,143,109,3952,3203,81.0,344
2,Brentford,22,46.2,11.0,5899,833,2271,2517,1407,255,5392,69,124,55.6,73,8,3195,15845,8518,310,85,26,129,111,4354,3334,76.6,305
3,Brighton,21,55.8,11.0,7432,920,2881,3061,1903,277,6986,79,137,57.7,86,2,4845,22994,11834,458,135,44,119,129,5934,5092,85.8,333
4,Burnley,18,38.7,11.0,5281,700,1685,2298,1531,208,4792,69,129,53.5,76,2,2725,13580,6339,265,94,15,122,96,3719,2774,74.6,263
5,Chelsea,25,58.4,11.0,7895,806,2571,3551,2261,339,7428,108,176,61.4,114,5,5230,25655,14185,608,191,69,119,124,6331,5601,88.5,428
6,Crystal Palace,19,51.4,11.0,6965,865,2522,3234,1611,259,6468,104,192,54.2,111,7,4533,22430,11458,408,138,47,165,174,5244,4510,86.0,311
7,Everton,24,41.4,11.0,5648,698,1998,2353,1631,275,5157,81,157,51.6,86,6,3220,18163,9708,383,130,46,136,112,3911,3131,80.1,319
8,Leeds United,23,58.4,11.0,6934,860,2729,2947,1699,290,6419,98,194,50.5,107,13,4475,24736,13750,458,120,55,147,140,5208,4448,85.4,404
9,Leicester City,22,51.8,11.0,6895,912,2602,3248,1417,254,6368,78,157,49.7,88,6,4442,20309,10804,415,122,48,140,116,5343,4502,84.3,367
10,Liverpool,24,62.1,11.0,8242,688,2146,4146,2430,409,7739,78,164,47.6,86,6,5336,25539,14494,666,184,78,140,113,6728,5869,87.2,543
11,Manchester City,22,64.5,11.0,8559,611,1958,4398,2758,477,8086,111,188,59.0,119,8,6189,31473,18132,877,203,122,122,123,7212,6482,89.9,477
12,Manchester Utd,23,53.5,11.0,7127,665,2106,3381,2108,280,6642,109,185,58.9,116,8,4580,24056,14109,595,187,59,100,124,5668,4905,86.5,400
13,Newcastle Utd,22,38.0,11.0,5157,750,2059,2083,1313,226,4663,93,171,54.4,104,7,3017,15856,8488,302,101,42,122,134,3567,2905,81.4,197
14,Norwich City,22,43.5,11.0,5913,966,2680,2390,1162,184,5381,112,210,53.3,126,6,3479,17299,9488,312,91,29,134,130,4231,3478,82.2,247
15,Southampton,21,50.0,11.0,6204,649,2028,2880,1712,268,5684,104,191,54.5,112,8,3806,21446,12426,506,165,55,142,132,4525,3728,82.4,331
16,Tottenham,21,51.7,11.0,6861,738,2169,3429,1652,210,6342,112,202,55.4,121,5,4377,20855,11215,454,146,42,136,146,5263,4502,85.5,327
17,Watford,26,41.4,11.0,5417,835,2207,2219,1296,198,4897,114,198,57.6,122,20,3056,15879,9059,326,101,46,140,127,3819,3064,80.2,272
18,West Ham,19,49.5,11.0,6429,671,2050,2966,1838,286,5964,66,127,52.0,75,7,4085,22369,11378,434,160,47,126,114,4863,4109,84.5,368
19,Wolves,18,50.2,11.0,6517,701,2195,3097,1629,237,6045,133,220,60.5,146,15,4265,20720,11913,491,136,60,139,136,4888,4184,85.6,331
