,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,26,10.0,12,141,44,31.2,14.10,4.40,0.09,0.27,17.4,6,0,1,12.5,11.6,0.09,-0.5,+0.4
1,Aston Villa,23,10.0,13,113,34,30.1,11.30,3.40,0.10,0.32,17.2,4,2,2,11.0,9.6,0.09,+2.0,+1.4
2,Brentford,21,10.0,12,115,34,29.6,11.50,3.40,0.10,0.32,15.3,3,1,1,13.0,12.2,0.11,-1.0,-1.2
3,Brighton,21,10.0,11,115,36,31.3,11.50,3.60,0.08,0.25,16.8,5,2,2,10.7,9.2,0.08,+0.3,-0.2
4,Burnley,18,10.0,9,118,35,29.7,11.80,3.50,0.08,0.26,16.2,4,0,0,11.3,11.3,0.10,-2.3,-2.3
5,Chelsea,25,10.0,25,142,53,37.3,14.20,5.30,0.16,0.43,17.2,8,2,2,17.2,15.8,0.11,+7.8,+7.2
6,Crystal Palace,19,10.0,13,108,29,26.9,10.80,2.90,0.10,0.38,16.1,3,2,2,11.2,9.7,0.09,+1.8,+1.3
7,Everton,24,10.0,16,134,40,29.9,13.40,4.00,0.10,0.33,16.4,3,3,3,15.7,13.5,0.10,+0.3,-0.5
8,Leeds United,23,10.0,10,139,38,27.3,13.90,3.80,0.06,0.24,18.5,1,1,1,13.2,12.5,0.09,-3.2,-3.5
9,Leicester City,22,10.0,15,124,46,37.1,12.40,4.60,0.12,0.33,16.8,3,0,0,15.5,15.5,0.13,-0.5,-0.5
10,Liverpool,24,10.0,29,198,64,32.3,19.80,6.40,0.14,0.44,15.7,4,1,1,26.3,26.0,0.14,+2.7,+2.0
11,Manchester City,22,10.0,19,180,55,30.6,18.00,5.50,0.11,0.35,15.6,5,0,0,21.9,21.9,0.12,-2.9,-2.9
12,Manchester Utd,21,10.0,19,159,53,33.3,15.90,5.30,0.12,0.36,17.5,4,0,1,14.9,14.2,0.09,+4.1,+4.8
13,Newcastle Utd,22,10.0,10,113,30,26.5,11.30,3.00,0.09,0.33,17.0,3,0,0,9.8,9.8,0.09,+0.2,+0.2
14,Norwich City,22,10.0,3,103,22,21.4,10.30,2.20,0.02,0.09,19.9,10,1,1,7.9,7.1,0.07,-4.9,-5.1
15,Southampton,21,10.0,8,126,31,24.6,12.60,3.10,0.05,0.19,17.8,5,2,2,14.7,13.2,0.11,-6.7,-7.2
16,Tottenham,21,10.0,8,104,37,35.6,10.40,3.70,0.07,0.19,17.9,8,1,1,10.3,9.5,0.09,-2.3,-2.5
17,Watford,26,10.0,12,108,38,35.2,10.80,3.80,0.11,0.32,18.1,3,0,0,11.1,11.1,0.11,+0.9,+0.9
18,West Ham,18,10.0,19,163,51,31.3,16.30,5.10,0.12,0.37,16.0,8,0,2,16.7,15.7,0.10,+2.3,+3.3
19,Wolves,18,10.0,10,120,37,30.8,12.00,3.70,0.08,0.27,17.0,5,0,0,13.4,13.4,0.12,-3.4,-3.4
