,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
101,Cornet,5.9,58,MID,4.1,BUR,9.83,cornet
112,Kanté,4.9,48,MID,3.0,CHE,9.80,kante
300,Burn,4.4,43,DEF,2.9,NEW,9.77,burn
117,Chilwell,5.6,54,DEF,9.0,CHE,9.64,chilwell
6,Partey,5.0,48,MID,2.7,ARS,9.60,partey
327,McLean,4.9,47,MID,2.0,NOR,9.59,mclean
154,Coleman,4.9,47,DEF,2.6,EVE,9.59,coleman
305,Dubravka,4.4,42,GKP,3.5,NEW,9.55,dubravka
27,Watkins,7.6,72,FWD,3.4,AVL,9.47,watkins
341,Sargent,5.4,51,FWD,2.4,NOR,9.44,sargent
90,Westwood,5.3,50,MID,2.6,BUR,9.43,westwood
377,Davies,4.5,42,DEF,3.0,TOT,9.33,davies
202,Cooper,4.4,41,DEF,2.7,LEE,9.32,cooper
96,Brownhill,4.3,40,MID,2.1,BUR,9.30,brownhill
120,Hudson-Odoi,5.3,49,MID,3.3,CHE,9.25,hudson-odoi
288,Lindelöf,4.8,44,DEF,2.6,MUN,9.17,lindelof
235,Mané,11.7,107,MID,4.9,LIV,9.15,mane
97,McNeil,5.7,52,MID,2.4,BUR,9.12,mcneil
145,Olise,5.4,49,MID,2.7,CRY,9.07,olise
457,Hwang,5.4,49,FWD,3.1,WOL,9.07,hwang
283,Shaw,5.0,45,DEF,2.5,MUN,9.00,shaw
135,Ayew,5.8,52,FWD,2.3,CRY,8.97,ayew
367,A.Armstrong,5.7,51,FWD,2.7,SOU,8.95,a.armstrong
293,Dalot,4.6,41,DEF,2.7,MUN,8.91,dalot
295,Varane,5.5,49,DEF,3.3,MUN,8.91,varane
307,Fraser,5.3,47,MID,2.5,NEW,8.87,fraser
132,Benteke,6.1,54,FWD,2.6,CRY,8.85,benteke
337,Rashica,5.2,46,MID,2.4,NOR,8.85,rashica
298,Willock,5.7,50,MID,2.5,NEW,8.77,willock
311,Manquillo,3.9,34,DEF,2.3,NEW,8.72,manquillo
258,Stones,5.2,45,DEF,5.6,MCI,8.65,stones
113,Ziyech,7.3,63,MID,4.5,CHE,8.63,ziyech
35,Digne,5.1,44,DEF,2.4,AVL,8.63,digne
395,Femenía,4.3,37,DEF,2.2,WAT,8.60,femenia
314,Schär,4.3,37,DEF,2.6,NEW,8.60,schar
393,Cathcart,4.3,37,DEF,1.8,WAT,8.60,cathcart
137,Schlupp,5.4,46,MID,2.3,CRY,8.52,schlupp
201,Lookman,6.0,51,MID,3.0,LEI,8.50,lookman
204,Klich,5.2,44,MID,2.3,LEE,8.46,klich
268,Jesus,8.4,71,FWD,3.7,MCI,8.45,jesus
55,Ajer,4.4,37,DEF,2.8,BRE,8.41,ajer
131,McArthur,4.3,36,MID,2.8,CRY,8.37,mcarthur
301,Wood,6.7,56,FWD,2.5,NEW,8.36,wood
257,De Bruyne,12.0,99,MID,5.2,MCI,8.25,de bruyne
359,Diallo,4.5,37,MID,2.1,SOU,8.22,diallo
323,Williams,3.9,32,DEF,1.7,NOR,8.21,williams
306,Wilson,7.2,59,FWD,3.9,NEW,8.19,wilson
338,Gibson,4.4,36,DEF,1.7,NOR,8.18,gibson
448,Podence,5.5,45,MID,2.5,WOL,8.18,podence
419,Ogbonna,4.9,40,DEF,3.6,WHU,8.16,ogbonna
263,Aké,4.7,38,DEF,4.2,MCI,8.09,ake
416,Zouma,5.4,43,DEF,3.1,WHU,7.96,zouma
434,Johnson,3.9,31,DEF,2.6,WHU,7.95,johnson
73,Bissouma,4.4,35,MID,2.1,BHA,7.95,bissouma
296,Ronaldo,12.4,98,FWD,4.5,MUN,7.90,ronaldo
244,Keita,5.0,39,MID,3.0,LIV,7.80,keita
318,Joelinton,5.8,45,FWD,2.0,NEW,7.76,joelinton
302,Shelvey,5.3,41,MID,2.6,NEW,7.74,shelvey
254,Grealish,7.5,58,MID,3.4,MCI,7.73,grealish
385,Skipp,4.4,34,MID,1.9,TOT,7.73,skipp
340,Lees-Melou,4.8,37,MID,1.9,NOR,7.71,lees-melou
182,Vardy,10.3,79,FWD,4.9,LEI,7.67,vardy
195,Thomas,4.3,33,DEF,2.2,LEI,7.67,thomas
313,Murphy,4.7,36,MID,1.9,NEW,7.66,murphy
165,Richarlison,7.5,57,FWD,3.6,EVE,7.60,richarlison
205,Rodrigo,6.2,47,FWD,2.8,LEE,7.58,rodrigo
62,Lallana,5.3,40,MID,2.0,BHA,7.55,lallana
49,Jensen,4.9,37,MID,1.9,BRE,7.55,jensen
36,Ings,7.7,58,FWD,3.2,AVL,7.53,ings
292,Sancho,8.9,67,MID,3.2,MUN,7.53,sancho
322,Gilmour,4.3,32,MID,2.1,NOR,7.44,gilmour
193,Söyüncü,4.9,36,DEF,1.8,LEI,7.35,soyuncu
334,Idah,4.9,36,FWD,2.1,NOR,7.35,idah
192,Ndidi,4.8,35,MID,2.2,LEI,7.29,ndidi
317,S.Longstaff,4.4,32,MID,2.1,NEW,7.27,s.longstaff
308,Lascelles,4.4,32,DEF,1.8,NEW,7.27,lascelles
232,Chamberlain,5.8,42,MID,2.5,LIV,7.24,chamberlain
57,Wissa,5.8,42,MID,2.3,BRE,7.24,wissa
15,Tavares,4.3,31,DEF,2.4,ARS,7.21,tavares
64,Groß,5.7,40,MID,2.4,BHA,7.02,groß
410,Cucho,5.0,35,FWD,1.9,WAT,7.00,cucho
2,Lacazette,8.3,58,FWD,3.2,ARS,6.99,lacazette
384,Tanganga,4.2,29,DEF,2.6,TOT,6.90,tanganga
58,Fernández,4.5,31,GKP,2.6,BRE,6.89,fernandez
280,Pogba,7.4,51,MID,3.9,MUN,6.89,pogba
198,Soumaré,4.8,33,MID,1.9,LEI,6.88,soumare
406,João Pedro,5.4,37,FWD,2.1,WAT,6.85,joao pedro
34,Young,4.7,32,DEF,2.3,AVL,6.81,young
372,Kane,12.2,83,FWD,3.8,TOT,6.80,kane
453,Trincão,5.6,38,MID,2.0,WOL,6.79,trincao
231,Thiago,5.3,36,MID,2.6,LIV,6.79,thiago
54,Onyeka,4.9,33,MID,1.8,BRE,6.73,onyeka
344,Normann,4.5,30,MID,2.5,NOR,6.67,normann
197,Daka,7.2,48,FWD,4.0,LEI,6.67,daka
394,Cleverley,4.8,32,MID,1.7,WAT,6.67,cleverley
210,Roberts,4.8,32,MID,1.5,LEE,6.67,roberts
121,Havertz,7.8,52,MID,3.1,CHE,6.67,havertz
50,Roerslev,4.2,28,DEF,2.0,BRE,6.67,roerslev
189,Iheanacho,6.9,46,FWD,2.9,LEI,6.67,iheanacho
272,Fernandinho,4.7,31,MID,2.4,MCI,6.60,fernandinho
411,Kucka,5.5,36,MID,1.8,WAT,6.55,kucka
56,Baptiste,4.9,32,MID,1.7,BRE,6.53,baptiste
203,Ayling,4.3,28,DEF,1.9,LEE,6.51,ayling
291,Wan-Bissaka,5.1,33,DEF,2.1,MUN,6.47,wan-bissaka
269,Zinchenko,5.3,34,DEF,4.2,MCI,6.42,zinchenko
200,Dewsbury-Hall,4.4,28,MID,2.0,LEI,6.36,dewsbury-hall
87,Rodriguez,5.2,33,FWD,1.8,BUR,6.35,rodriguez
100,Lennon,4.9,31,MID,2.4,BUR,6.33,lennon
184,Amartey,3.8,24,DEF,1.7,LEI,6.32,amartey
382,Bergwijn,5.9,37,MID,3.1,TOT,6.27,bergwijn
362,Perraud,4.8,30,DEF,2.3,SOU,6.25,perraud
67,March,5.3,33,MID,1.7,BHA,6.23,march
160,Iwobi,5.8,36,MID,2.4,EVE,6.21,iwobi
286,Telles,5.0,31,DEF,3.1,MUN,6.20,telles
84,Pieters,4.2,26,DEF,2.9,BUR,6.19,pieters
164,Godfrey,4.7,29,DEF,1.7,EVE,6.17,godfrey
347,Forster,4.4,27,GKP,3.4,SOU,6.14,forster
426,Masuaku,4.4,27,DEF,2.5,WHU,6.14,masuaku
91,Gudmundsson,5.4,33,MID,1.8,BUR,6.11,gudmundsson
78,Welbeck,5.9,36,FWD,3.0,BHA,6.10,welbeck
221,Forshaw,4.5,27,MID,1.8,LEE,6.00,forshaw
79,Mwepu,5.9,35,MID,3.2,BHA,5.93,mwepu
279,Matic,4.3,25,MID,1.9,MUN,5.81,matic
433,Diop,4.3,25,DEF,2.8,WHU,5.81,diop
102,Roberts,4.5,26,DEF,4.3,BUR,5.78,roberts
