,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
0,Cédric,ARS,DEF,4.5,Available,1481,48,3,2.3,0.3
1,Leno,ARS,GKP,4.5,Available,360,10,0,2.5,0.6
2,Xhaka,ARS,MID,5.0,Available,2327,60,3,2.2,0.4
3,Elneny,ARS,MID,4.5,Available,801,27,0,1.9,1.7
4,Holding,ARS,DEF,4.5,Available,840,29,2,1.9,0.2
5,Partey,ARS,MID,5.0,Available,2027,71,4,3.0,0.4
6,Ødegaard,ARS,MID,6.5,Available,2782,131,9,3.6,9.3
7,Tierney,ARS,DEF,5.0,Available,1916,106,11,4.8,4.6
8,Pépé,ARS,MID,5.5,Available,681,45,1,2.2,0.3
9,White,ARS,DEF,4.5,Available,2880,107,9,3.3,9.2
10,Nketiah,ARS,FWD,7.0,Available,823,55,6,2.6,1.5
11,Smith Rowe,ARS,MID,6.0,Available,1909,125,9,3.8,5.1
12,Saka,ARS,MID,8.0,Available,2978,179,18,4.7,16.8
13,Tomiyasu,ARS,DEF,4.5,Available,1680,75,5,3.6,18.3
14,Ramsdale,ARS,GKP,5.0,Available,3060,135,14,4.0,9.4
15,Gabriel,ARS,DEF,5.0,Available,3063,146,16,4.2,7.4
16,Tavares,ARS,DEF,4.5,Available,1169,49,2,2.2,0.2
17,Sambi,ARS,MID,4.5,Available,1129,32,0,1.7,0.3
18,Martinelli,ARS,MID,6.0,Available,1855,110,6,3.8,14.0
19,Pablo Marí,ARS,DEF,4.5,Available,180,1,0,0.5,0.1
20,Maitland-Niles,ARS,MID,5.0,Available,263,12,0,1.5,0.1
21,Torreira,ARS,MID,4.5,Available,0,0,0,0.0,0.6
22,Nelson,ARS,MID,5.0,Available,19,1,0,1.0,0.0
23,Turner,ARS,GKP,4.0,Available,0,0,0,0.0,1.1
24,Fábio Vieira,ARS,MID,6.0,Available,0,0,0,0.0,0.8
25,Saliba,ARS,DEF,4.5,Available,0,0,0,0.0,0.6
26,Marquinhos,ARS,MID,5.0,Available,0,0,0,0.0,0.2
27,Jesus,ARS,FWD,8.0,Available,1871,120,16,4.3,55.8
28,Coutinho,AVL,MID,7.0,Available,1327,83,7,4.4,20.7
29,Ings,AVL,FWD,7.0,Available,1891,106,12,3.5,1.7
30,Martínez,AVL,GKP,5.0,Available,3240,129,7,3.6,4.7
31,Chambers,AVL,DEF,4.5,Available,999,42,2,3.2,0.2
32,Digne,AVL,DEF,5.0,Available,2440,83,8,2.9,3.9
33,Traoré,AVL,MID,5.0,Available,212,13,0,1.4,0.2
34,Olsen,AVL,GKP,4.0,Available,90,1,0,1.0,3.3
35,Sanson,AVL,MID,4.5,Available,349,13,0,1.3,0.3
36,McGinn,AVL,MID,5.5,Available,3090,110,12,3.1,1.7
37,Hause,AVL,DEF,4.5,Available,397,20,3,2.9,0.1
38,Mings,AVL,DEF,4.5,Available,3188,118,12,3.3,6.6
39,Watkins,AVL,FWD,7.5,Available,2950,131,17,3.7,4.5
40,Nakamba,AVL,MID,4.5,Available,899,22,0,1.4,0.2
41,Buendía,AVL,MID,6.0,Available,1887,107,8,3.1,0.8
42,Cash,AVL,DEF,5.0,Available,3377,147,11,3.9,20.3
43,Konsa,AVL,DEF,4.5,Injured,2477,78,4,2.7,0.0
44,Bailey,AVL,MID,5.0,Available,750,37,1,2.1,0.9
45,Douglas Luiz,AVL,MID,5.0,Available,2715,89,3,2.6,0.9
46,Ramsey,AVL,MID,5.5,Available,2465,109,9,3.2,4.4
47,Chukwuemeka,AVL,MID,4.5,Available,291,16,0,1.3,1.2
48,Iroegbunam,AVL,MID,4.5,Available,90,4,0,1.3,0.0
49,Diego Carlos,AVL,DEF,5.0,Available,0,0,0,0.0,1.6
50,El Ghazi,AVL,MID,5.0,Available,392,22,1,2.0,0.2
51,Davis,AVL,FWD,5.5,Available,11,1,0,1.0,0.2
52,Kamara,AVL,MID,5.0,Available,0,0,0,0.0,0.2
