,Unnamed: 0,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,1,Che Adams,sct SCO,FW,Southampton,25-168,1996,9.6,3,21,11,52.4,2.18,1.14,0.14,0.27,14.5,0,0,0,2.4,2.4,0.11,0.6,0.6
7,7,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-082,1998,15.7,2,28,10,35.7,1.78,0.64,0.07,0.2,21.6,3,0,0,1.8,1.8,0.07,0.2,0.2
16,16,Michail Antonio,jm JAM,FW,West Ham,31-275,1990,16.4,7,47,14,29.8,2.86,0.85,0.15,0.5,14.8,0,0,1,6.2,5.9,0.13,0.8,1.1
18,18,Adam Armstrong,eng ENG,"FW,MF",Southampton,24-321,1997,12.1,2,40,13,32.5,3.31,1.07,0.05,0.15,17.6,0,0,0,3.8,3.8,0.1,-1.8,-1.8
22,22,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-193,1989,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0,2,5.8,4.1,0.13,-1.8,-0.1
30,30,Patrick Bamford,eng ENG,FW,Leeds United,28-114,1993,5.1,2,16,5,31.3,3.14,0.98,0.13,0.4,13.0,0,0,0,3.2,3.2,0.2,-1.2,-1.2
34,34,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24-019,1997,11.4,2,27,12,44.4,2.37,1.05,0.07,0.17,15.8,0,0,0,2.3,2.3,0.09,-0.3,-0.3
36,36,Jan Bednarek,pl POL,DF,Southampton,25-260,1996,11.9,2,6,2,33.3,0.5,0.17,0.33,1.0,6.7,0,0,0,0.8,0.8,0.14,1.2,1.2
39,39,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26-140,1995,14.3,4,38,13,34.2,2.66,0.91,0.11,0.31,19.9,3,0,0,2.8,2.8,0.07,1.2,1.2
40,40,Christian Benteke,be BEL,FW,Crystal Palace,31-025,1990,11.0,4,35,11,31.4,3.18,1.0,0.11,0.36,11.4,0,0,0,5.0,5.0,0.14,-1.0,-1.0
46,46,Jarrod Bowen,eng ENG,FW,West Ham,25-008,1996,16.6,3,42,16,38.1,2.53,0.96,0.07,0.19,16.7,0,0,0,5.0,5.0,0.12,-2.0,-2.0
48,48,Armando Broja,al ALB,FW,Southampton,20-109,2001,7.8,4,18,9,50.0,2.3,1.15,0.22,0.44,12.7,0,0,0,2.7,2.7,0.15,1.3,1.3
56,56,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-287,1997,2.8,3,9,5,55.6,3.27,1.81,0.11,0.2,11.5,0,2,2,3.8,2.3,0.25,-0.8,-1.3
58,58,Sergi Canós,es ESP,DF,Brentford,24-329,1997,14.6,2,23,8,34.8,1.58,0.55,0.09,0.25,15.8,1,0,0,2.0,2.0,0.09,0.0,0.0
63,63,Edinson Cavani,uy URU,FW,Manchester Utd,34-317,1987,2.9,2,12,4,33.3,4.19,1.4,0.17,0.5,11.5,0,0,0,2.7,2.7,0.23,-0.7,-0.7
64,64,Trevoh Chalobah,eng ENG,DF,Chelsea,22-176,1999,8.8,2,3,2,66.7,0.34,0.23,0.67,1.0,19.2,0,0,0,0.5,0.5,0.18,1.5,1.5
66,66,Ben Chilwell,eng ENG,DF,Chelsea,25-007,1996,6.0,3,13,6,46.2,2.17,1.0,0.23,0.5,17.9,0,0,0,1.2,1.2,0.09,1.8,1.8
79,79,Maxwel Cornet,ci CIV,"FW,MF",Burnley,25-092,1996,6.2,5,13,9,69.2,2.08,1.44,0.38,0.56,17.2,1,0,0,1.5,1.5,0.12,3.5,3.5
84,84,Cucho,co COL,"FW,MF",Watford,22-252,1999,6.8,2,17,4,23.5,2.51,0.59,0.12,0.5,18.4,3,0,0,0.9,0.9,0.05,1.1,1.1
86,86,Patson Daka,zm ZAM,"FW,MF",Leicester City,23-080,1998,3.2,2,9,6,66.7,2.79,1.86,0.22,0.33,12.3,0,0,0,1.9,1.9,0.21,0.1,0.1
94,94,Kevin De Bruyne,be BEL,MF,Manchester City,30-183,1991,8.3,5,31,9,29.0,3.75,1.09,0.16,0.56,18.2,1,0,0,2.5,2.5,0.08,2.5,2.5
98,98,Emmanuel Dennis,ng NGA,"FW,MF",Watford,24-043,1997,13.0,7,32,17,53.1,2.47,1.31,0.22,0.41,14.7,2,0,0,3.9,3.9,0.12,3.1,3.1
101,101,Raphael Dias Belloli,br BRA,"MF,FW",Leeds United,25-014,1996,15.0,8,45,13,28.9,3.01,0.87,0.11,0.38,22.2,5,3,3,5.9,3.6,0.08,2.1,1.4
