,name,team,position,status,playing chance %,ownership %,news
0,Abraham,CHE,FWD,NotAvail,0,0.1,Joined AS Roma on 17 August
1,Alderweireld,TOT,DEF,NotAvail,0,0.0,Transferred to Al-Duhail SC
2,Alebiosu,ARS,DEF,NotAvail,0,0.0,Season-long loan to Crewe Alexandra
3,Alves,WHU,DEF,NotAvail,0,0.1,Joined Sunderland on a season-long loan - Expected back 01 Jul
4,Ampadu,CHE,DEF,NotAvail,0,0.0,Joined Venezia on a season-long loan - Expected back 01 Jul
5,Anderson,NEW,MID,NotAvail,0,0.0,Joined Bristol Rovers on loan until the end of the season - Expected back 01 Jul
6,Andone,BHA,FWD,NotAvail,0,0.0,Joined Cadiz on a season-long loan - Expected back 01 Jul
7,Archer,AVL,FWD,NotAvail,0,1.0,Joined Preston on loan until the end of the season - Expected back 01 Jul
8,Aubameyang,ARS,FWD,NotAvail,0,1.3,Left club by mutual consent
9,Aurier,TOT,DEF,NotAvail,0,0.2,Left the club by mutual consent
10,Baah,WAT,MID,Doubtful,75,0.1,Lack of match fitness - 75% chance of playing
11,Balcombe,BRE,GKP,NotAvail,0,0.0,Season long loan to Burton Albion
12,Balogun,ARS,FWD,NotAvail,0,0.3,Joined Middlesbrough on loan until the end of the season
13,Bamford,LEE,FWD,Injured,0,2.9,Foot injury - Unknown return date
14,Barnes,LEI,MID,Doubtful,100,2.1,Hamstring injury - 75% chance of playing
15,Batshuayi,CHE,FWD,NotAvail,0,0.0,Joined Besiktas on a season-long loan - Expected back 01 Jul
16,Bellerín,ARS,DEF,NotAvail,0,0.2,Joined Real Betis on a season-long loan - Expected back 01 Jul
17,Benson,BUR,MID,NotAvail,0,0.0,Transferred to Barnsley
18,Bernard,EVE,MID,NotAvail,0,0.0,Transferred to Sharjah FC
19,Bernardo,BHA,DEF,NotAvail,0,0.0,Transferred to RB Salzburg
20,Bertrand,LEI,DEF,Injured,0,0.3,Knee injury - Unknown return date
21,Bidstrup,BRE,MID,NotAvail,0,0.1,Joined FC Nordsjælland on loan until the end of the season - Expected back 01 Jul
22,Broadhead,EVE,FWD,NotAvail,0,0.0,Joined Sunderland on a season-long loan - Expected back 01 Jul
23,Bryan,TOT,MID,NotAvail,0,0.1,Joined Valencia on loan until the end of the season - Expected back 01 Jul
24,Caicedo,BHA,MID,NotAvail,0,0.0,Joined Beerschot on a season-long loan - Expected back 01 Jul
25,Cantwell,NOR,MID,NotAvail,0,0.2,Joined Bournemouth on loan until the end of the season - Expected back 01 Jul
26,Casilla,LEE,GKP,NotAvail,0,0.0,Joined Elche CF on a season-long loan - Expected back 01 Jul
27,Castagne,LEI,DEF,Injured,0,0.5,Thigh injury - Expected back 19 Mar
28,Cavani,MUN,FWD,Injured,0,1.8,Groin Injury - Unknown return date
29,Chalobah,WAT,MID,NotAvail,0,0.0,Transferred to Fulham
