Unnamed: 0,Players,Position,Team,2021-10-16
0,Leno,GKP,ARS,4.7
1,Aubameyang,FWD,ARS,9.9
2,Cédric,DEF,ARS,4.3
3,Lacazette,FWD,ARS,8.3
4,Xhaka,MID,ARS,4.9
5,Marí,DEF,ARS,4.3
6,Chambers,DEF,ARS,4.3
7,Kolasinac,DEF,ARS,4.3
8,Elneny,MID,ARS,4.5
9,Maitland-Niles,MID,ARS,5.3
10,Partey,MID,ARS,5.0
11,Tierney,DEF,ARS,4.9
12,Pépé,MID,ARS,7.1
13,Smith Rowe,MID,ARS,5.4
14,Saka,MID,ARS,6.3
15,Gabriel,DEF,ARS,5.0
16,Martinelli,MID,ARS,5.2
17,White,DEF,ARS,4.4
18,Tavares,DEF,ARS,4.3
19,Sambi Lokonga,MID,ARS,4.9
20,Balogun,FWD,ARS,4.8
21,Ødegaard,MID,ARS,5.5
22,Ramsdale,GKP,ARS,4.6
23,Tomiyasu,DEF,ARS,4.6
24,Steer,GKP,AVL,4.0
25,Martínez,GKP,AVL,5.5
26,Traoré,MID,AVL,5.8
27,McGinn,MID,AVL,5.8
28,Hause,DEF,AVL,4.4
29,Mings,DEF,AVL,5.0
30,Targett,DEF,AVL,4.8
31,Watkins,FWD,AVL,7.3
32,Nakamba,MID,AVL,4.5
33,El Ghazi,MID,AVL,5.8
34,Buendía,MID,AVL,6.4
35,Cash,DEF,AVL,5.1
36,Konsa,DEF,AVL,4.9
37,Douglas Luiz,MID,AVL,4.6
38,Ramsey,MID,AVL,4.5
39,Young,DEF,AVL,4.8
40,Tuanzebe,DEF,AVL,4.5
41,Ings,FWD,AVL,7.8
42,Bailey,MID,AVL,6.4
43,Philogene-Bidace,MID,AVL,5.0
44,Chukwuemeka,MID,AVL,4.5
45,Archer,FWD,AVL,4.5
46,Jansson,DEF,BRE,4.6
47,Nørgaard,MID,BRE,5.0
48,Toney,FWD,BRE,6.4
49,Raya,GKP,BRE,4.6
50,Canós,MID,BRE,5.5
51,Henry,DEF,BRE,4.5
52,Janelt,MID,BRE,5.0
53,Ghoddos,MID,BRE,5.3
54,Jensen,MID,BRE,4.9
55,Forss,FWD,BRE,5.3
56,Roerslev,DEF,BRE,4.3
57,Sørensen,DEF,BRE,4.4
58,Pinnock,DEF,BRE,4.6
59,Mbeumo,MID,BRE,5.5
60,Bidstrup,MID,BRE,4.5
61,Onyeka,MID,BRE,4.9
62,Ajer,DEF,BRE,4.5
63,Baptiste,MID,BRE,5.0
64,Wissa,MID,BRE,5.9
65,Zanka,DEF,BRE,4.5
66,Lallana,MID,BHA,5.4
67,Groß,MID,BHA,6.0
68,Duffy,DEF,BHA,4.4
69,Burn,DEF,BHA,4.4
