,Unnamed: 0,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent,points_per_min,points_per_mil
2,2,Xhaka,ARS,MID,5.0,Available,2327,60,3,2.2,0.4,0.02578427159432746,12.0
6,6,Ødegaard,ARS,MID,6.5,Available,2782,131,9,3.6,9.3,0.04708842559309849,20.153846153846153
9,9,White,ARS,DEF,4.5,Available,2880,107,9,3.3,9.2,0.03715277777777778,23.77777777777778
12,12,Saka,ARS,MID,8.0,Available,2978,179,18,4.7,16.8,0.06010745466756212,22.375
14,14,Ramsdale,ARS,GKP,5.0,Available,3060,135,14,4.0,9.4,0.04411764705882353,27.0
15,15,Gabriel,ARS,DEF,5.0,Available,3063,146,16,4.2,7.4,0.047665687234737186,29.2
30,30,Martínez,AVL,GKP,5.0,Available,3240,129,7,3.6,4.7,0.03981481481481482,25.8
32,32,Digne,AVL,DEF,5.0,Available,2440,83,8,2.9,3.9,0.03401639344262295,16.6
36,36,McGinn,AVL,MID,5.5,Available,3090,110,12,3.1,1.7,0.03559870550161812,20.0
38,38,Mings,AVL,DEF,4.5,Available,3188,118,12,3.3,6.6,0.0370138017565872,26.22222222222222
39,39,Watkins,AVL,FWD,7.5,Available,2950,131,17,3.7,4.5,0.04440677966101695,17.466666666666665
42,42,Cash,AVL,DEF,5.0,Available,3377,147,11,3.9,20.3,0.04352976014213799,29.4
43,43,Konsa,AVL,DEF,4.5,Injured,2477,78,4,2.7,0.0,0.031489705288655634,17.333333333333332
45,45,Douglas Luiz,AVL,MID,5.0,Available,2715,89,3,2.6,0.9,0.032780847145488026,17.8
46,46,Ramsey,AVL,MID,5.5,Available,2465,109,9,3.2,4.4,0.044219066937119675,19.818181818181817
78,78,Jansson,BRE,DEF,4.5,Available,3321,122,13,3.3,3.1,0.036735922914784704,27.11111111111111
79,79,Nørgaard,BRE,MID,5.5,Available,3054,101,5,2.9,0.4,0.03307138179436804,18.363636363636363
80,80,Toney,BRE,FWD,7.0,Available,2908,139,19,4.2,5.9,0.04779917469050894,19.857142857142858
85,85,Henry,BRE,DEF,4.5,Available,2775,108,4,3.2,0.8,0.03891891891891892,24.0
86,86,Janelt,BRE,MID,5.5,Available,2295,90,8,2.9,0.1,0.0392156862745098,16.363636363636363
92,92,Pinnock,BRE,DEF,4.5,Available,2694,90,7,2.8,0.4,0.0334075723830735,20.0
95,95,Mbeumo,BRE,FWD,6.0,Available,2905,119,6,3.4,3.0,0.04096385542168675,19.833333333333332
108,108,Dunk,BHA,DEF,4.5,Available,2573,92,7,3.2,1.7,0.03575592693354061,20.444444444444443
111,111,Veltman,BHA,DEF,4.5,Available,2874,95,5,2.8,0.4,0.033054975643702154,21.11111111111111
112,112,Maupay,BHA,FWD,6.5,Available,2269,98,11,3.1,1.1,0.043190832966064345,15.076923076923077
113,113,Trossard,BHA,MID,6.5,Available,2803,141,16,4.1,2.2,0.050303246521584015,21.692307692307693
114,114,Cucurella,BHA,DEF,5.0,Available,3089,126,21,3.6,9.2,0.040789899643897704,25.2
115,115,Sánchez,BHA,GKP,4.5,Available,3330,126,8,3.4,14.0,0.03783783783783784,28.0
130,130,Thiago Silva,CHE,DEF,5.5,Available,2649,130,14,4.1,7.0,0.04907512268780672,23.636363636363637
132,132,Jorginho,CHE,MID,6.0,Available,2271,106,11,3.7,1.1,0.04667547335975341,17.666666666666668
144,144,Mount,CHE,MID,8.0,Available,2358,169,16,5.3,9.1,0.07167090754877015,21.125
149,149,Mendy,CHE,GKP,5.0,Available,3060,130,3,3.8,25.1,0.042483660130718956,26.0
150,150,Gallagher,CHE,MID,6.0,Available,2843,140,16,4.1,3.2,0.049243756595145974,23.333333333333332
154,154,Guaita,CRY,GKP,4.5,Available,2655,119,11,4.0,1.9,0.044821092278719395,26.444444444444443
158,158,Ward,CRY,DEF,4.5,Available,2486,73,2,2.6,0.1,0.029364440868865648,16.22222222222222
