,Squad,# Pl,90s,SCA,SCA 90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA 90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def
0,vs Arsenal,27,22.0,444,20.18,339,34,22,16,24,9,41,1.86,29,1,4,2,5,0
1,vs Aston Villa,29,23.0,484,21.04,335,44,25,28,36,16,57,2.48,37,2,2,6,8,2
2,vs Brentford,26,25.0,479,19.16,367,33,24,20,23,12,61,2.44,49,4,1,4,2,1
3,vs Brighton,24,24.0,450,18.75,334,30,26,24,24,12,42,1.75,27,5,3,4,2,1
4,vs Burnley,22,21.0,578,27.52,428,42,36,43,21,8,46,2.19,36,1,2,6,1,0
5,vs Chelsea,25,24.0,331,13.79,227,30,26,17,19,12,28,1.17,12,3,4,3,5,1
6,vs Crystal Palace,24,24.0,441,18.37,308,45,21,30,30,7,51,2.12,34,5,1,6,3,2
7,vs Everton,32,22.0,432,19.64,286,47,32,27,27,13,57,2.59,34,7,4,5,2,5
8,vs Leeds United,28,23.0,553,24.04,399,43,31,40,25,15,71,3.09,52,4,1,7,6,1
9,vs Leicester City,24,22.0,557,25.32,366,60,41,40,33,17,60,2.73,33,7,4,8,6,2
10,vs Liverpool,27,24.0,327,13.62,244,25,20,16,14,8,29,1.21,20,2,3,4,0,0
11,vs Manchester City,25,25.0,262,10.48,181,28,16,9,21,7,23,0.92,15,1,3,2,1,1
12,vs Manchester Utd,25,25.0,483,19.32,317,49,38,29,32,18,46,1.84,32,2,3,3,3,3
13,vs Newcastle Utd,29,23.0,558,24.26,414,38,31,43,27,5,73,3.17,53,3,3,8,5,1
14,vs Norwich City,26,24.0,548,22.83,399,52,24,31,29,13,77,3.21,60,1,1,8,5,2
15,vs Southampton,25,24.0,455,18.96,335,38,24,28,23,7,59,2.46,39,5,3,9,3,0
16,vs Tottenham,24,22.0,443,20.14,319,43,25,26,12,18,48,2.18,36,3,5,3,1,0
17,vs Watford,29,23.0,490,21.30,350,43,28,29,28,12,63,2.74,43,4,6,3,7,0
18,vs West Ham,24,25.0,513,20.52,399,37,19,27,21,10,55,2.20,37,3,2,7,3,3
19,vs Wolves,21,23.0,422,18.35,308,43,17,25,25,4,23,1.00,12,1,2,3,5,0
