,Squad,Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Arsenal,27,22.0,8461,10526,80.4,166448,54465,3330,3769,88.4,3760,4319,87.1,1231,2088,59.0,17,21.0,-4.0,205,594,182,46,625
1,vs Aston Villa,29,23.0,8893,11121,80.0,181711,56685,3242,3716,87.2,4054,4691,86.4,1453,2308,63.0,23,20.0,+3.0,220,648,187,44,683
2,vs Brentford,26,25.0,10215,13035,78.4,195286,61529,4340,4977,87.2,4244,4963,85.5,1443,2605,55.4,30,23.4,+6.6,223,824,224,60,816
3,vs Brighton,24,24.0,8172,10527,77.6,154955,53384,3470,3985,87.1,3448,4053,85.1,1095,2023,54.1,21,20.2,+0.8,210,573,170,40,660
4,vs Burnley,22,21.0,9164,11557,79.3,174212,56300,4000,4527,88.4,3838,4470,85.9,1185,2162,54.8,20,22.8,-2.8,265,616,242,44,811
5,vs Chelsea,25,24.0,7939,10273,77.3,154128,51790,3310,3825,86.5,3331,3905,85.3,1149,2108,54.5,11,13.8,-2.8,151,542,164,44,600
6,vs Crystal Palace,24,24.0,8691,11119,78.2,171648,56973,3579,4119,86.9,3627,4235,85.6,1314,2313,56.8,21,17.9,+3.1,193,730,202,62,742
7,vs Everton,32,22.0,9632,11924,80.8,190211,61040,3667,4173,87.9,4405,4997,88.2,1405,2272,61.8,27,22.2,+4.8,195,729,195,49,814
8,vs Leeds United,28,23.0,6734,9016,74.7,133562,54709,2753,3248,84.8,2834,3472,81.6,1012,1880,53.8,32,27.6,+4.4,251,489,176,42,639
9,vs Leicester City,24,22.0,9010,11234,80.2,178445,56762,3553,4082,87.0,3876,4461,86.9,1413,2248,62.9,26,25.4,+0.6,251,683,238,53,812
10,vs Liverpool,27,24.0,6893,9441,73.0,137171,51230,2954,3489,84.7,2696,3364,80.1,1102,2205,50.0,12,19.1,-7.1,151,454,122,31,490
11,vs Manchester City,25,25.0,6550,8603,76.1,131591,46462,2555,2938,87.0,2907,3418,85.0,978,1939,50.4,11,12.6,-1.6,127,379,113,26,424
12,vs Manchester Utd,25,25.0,9230,11700,78.9,177836,57412,3905,4391,88.9,3851,4520,85.2,1312,2315,56.7,25,23.8,+1.2,226,660,183,40,732
13,vs Newcastle Utd,29,23.0,10663,12848,83.0,202344,61899,4457,4957,89.9,4726,5355,88.3,1329,2151,61.8,29,25.6,+3.4,251,913,219,35,921
14,vs Norwich City,26,24.0,10707,13095,81.8,209209,64465,4351,4861,89.5,4640,5326,87.1,1565,2483,63.0,35,28.0,+7.0,258,852,225,42,876
15,vs Southampton,25,24.0,9002,11602,77.6,179452,62726,3551,4162,85.3,3951,4672,84.6,1350,2335,57.8,28,26.9,+1.1,215,679,213,53,809
16,vs Tottenham,24,22.0,8511,10579,80.5,170954,52614,3197,3637,87.9,3815,4370,87.3,1343,2190,61.3,22,18.6,+3.4,210,555,163,36,635
17,vs Watford,29,23.0,9852,12405,79.4,194393,63197,3875,4490,86.3,4374,5070,86.3,1447,2436,59.4,29,28.4,+0.6,231,780,226,43,918
18,vs West Ham,24,25.0,10061,12530,80.3,194579,62460,4020,4534,88.7,4500,5215,86.3,1364,2321,58.8,24,20.7,+3.3,241,759,229,61,811
19,vs Wolves,21,23.0,9609,11903,80.7,183754,57546,3932,4405,89.3,4258,4950,86.0,1260,2091,60.3,10,19.9,-9.9,202,706,191,47,811
