,Squad,Pl,Poss,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries	PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,vs Arsenal,27,49.0,22.0,12909,1658,4519,5752,3375,524,11926,136,265,51.3,149,3,8267,39547,21099,875,294,90,262,226,9871,8461,85.7,625
1,vs Aston Villa,29,53.9,23.0,13779,1568,4867,6175,3573,587,12701,185,346,53.5,206,17,8618,44549,25256,946,297,128,260,258,10524,8893,84.5,683
2,vs Brentford,26,55.5,25.0,16084,1537,4653,7625,4742,594,14939,241,444,54.3,258,24,10329,49882,25503,1176,420,113,317,303,12257,10215,83.3,816
3,vs Brighton,24,43.8,24.0,13513,1594,4939,5526,3821,571,12446,206,394,52.3,223,17,8202,41842,22275,873,266,122,284,315,9658,8172,84.6,660
4,vs Burnley,22,60.7,21.0,14114,1485,4860,6229,3892,690,13064,175,337,51.9,194,23,8892,48474,27485,1098,304,154,254,217,10720,9164,85.5,811
5,vs Chelsea,25,41.2,24.0,13060,1812,4755,5752,3294,474,11983,214,358,59.8,228,24,7862,38787,20375,788,231,83,273,289,9704,7939,81.8,600
6,vs Crystal Palace,24,48.0,24.0,14085,1523,4439,6572,3873,581,12986,173,345,50.1,188,20,8470,42296,22387,934,253,83,312,311,10493,8691,82.8,742
7,vs Everton,32,58.0,22.0,14681,1451,4828,7008,3708,513,13589,220,416,52.9,242,21,9193,45362,24760,951,278,73,295,283,11245,9632,85.7,814
8,vs Leeds United,28,44.1,23.0,12000,1546,4257,5220,3319,596,10883,214,429,49.9,233,19,6832,41656,23116,863,274,123,290,280,8452,6734,79.7,639
9,vs Leicester City,24,51.1,22.0,13887,1282,4123,6584,4067,704,12898,221,398,55.5,240,16,8733,45843,25197,1072,344,118,258,292,10601,9010,85.0,812
10,vs Liverpool,27,37.3,24.0,12479,2201,5544,5095,2405,407,11425,195,343,56.9,215,16,6868,32586,17172,606,160,90,290,232,8889,6893,77.5,490
11,vs Manchester City,25,31.9,25.0,11284,2363,5438,4417,1994,337,10323,178,333,53.5,202,17,6331,31612,16118,535,150,60,257,199,8076,6550,81.1,424
12,vs Manchester Utd,25,46.1,25.0,14656,1718,4743,6930,3771,569,13534,195,367,53.1,211,15,9004,44218,23635,946,275,96,302,248,11175,9230,82.6,732
13,vs Newcastle Utd,29,61.5,23.0,15492,1406,4454,7518,4575,656,14482,216,390,55.4,234,22,10204,54130,30482,1305,386,125,256,271,12324,10663,86.5,921
14,vs Norwich City,26,56.9,24.0,15739,1366,4604,7495,4640,747,14703,221,410,53.9,241,21,10242,54220,30009,1272,330,148,275,268,12402,10707,86.3,876
15,vs Southampton,25,52.8,24.0,14539,1696,5049,6364,3896,579,13398,221,374,59.1,237,22,8842,43630,22928,899,280,106,322,281,10885,9002,82.7,809
16,vs Tottenham,24,48.4,22.0,13283,1533,4545,6054,3486,536,12330,184,332,55.4,199,22,8648,41693,21887,868,255,108,256,282,9842,8511,86.5,635
17,vs Watford,29,58.7,23.0,15156,1384,4861,7164,4044,711,14024,212,389,54.5,229,18,9595,46917,25950,1051,303,110,260,260,11539,9852,85.4,918
18,vs West Ham,24,51.6,25.0,15521,1773,5295,7155,4062,670,14451,216,391,55.2,238,19,9883,53855,30101,1171,355,126,304,250,11756,10061,85.6,811
19,vs Wolves,21,51.9,23.0,14532,1344,4218,7161,4088,583,13499,198,379,52.2,219,20,9422,49369,27045,1122,336,109,278,291,11292,9609,85.1,811
