,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Arsenal,27,22.0,25,276,90,32.6,12.55,4.09,0.08,0.24,17.3,10,3,3,29.7,27.4,0.10,-4.7,-5.4
1,vs Aston Villa,29,23.0,35,301,94,31.2,13.09,4.09,0.11,0.34,16.7,16,3,5,31.4,27.6,0.09,+3.6,+4.4
2,vs Brentford,26,25.0,38,310,112,36.1,12.40,4.48,0.12,0.32,17.4,13,2,2,31.7,30.2,0.10,+6.3,+5.8
3,vs Brighton,24,24.0,25,296,92,31.1,12.33,3.83,0.08,0.25,18.0,13,2,3,29.4,27.2,0.09,-4.4,-4.2
4,vs Burnley,22,21.0,28,359,97,27.0,17.10,4.62,0.08,0.29,16.7,10,0,0,31.6,31.6,0.09,-3.6,-3.6
5,vs Chelsea,25,24.0,17,224,76,33.9,9.33,3.17,0.06,0.17,17.7,7,4,4,22.1,19.6,0.09,-5.1,-6.6
6,vs Crystal Palace,24,24.0,34,295,96,32.5,12.29,4.00,0.11,0.32,17.0,14,3,4,29.2,26.2,0.09,+4.8,+4.8
7,vs Everton,32,22.0,35,289,97,33.6,13.14,4.41,0.12,0.35,16.9,13,1,1,30.7,29.9,0.10,+4.3,+4.1
8,vs Leeds United,28,23.0,45,353,121,34.3,15.35,5.26,0.12,0.35,16.7,17,3,3,41.2,39.0,0.11,+3.8,+3.0
9,vs Leicester City,24,22.0,40,352,113,32.1,16.00,5.14,0.10,0.31,15.8,10,5,6,39.9,35.3,0.10,+0.1,-0.3
10,vs Liverpool,27,24.0,18,202,69,34.2,8.42,2.87,0.09,0.26,16.2,9,0,0,24.1,24.1,0.12,-6.1,-6.1
11,vs Manchester City,25,25.0,14,168,56,33.3,6.72,2.24,0.08,0.23,17.1,6,1,1,17.3,16.5,0.10,-3.3,-3.5
12,vs Manchester Utd,25,25.0,30,332,119,35.8,13.28,4.76,0.09,0.24,16.9,9,1,3,35.3,33.1,0.10,-5.3,-4.1
13,vs Newcastle Utd,29,23.0,42,347,103,29.7,15.09,4.48,0.11,0.36,17.4,15,5,6,37.9,33.9,0.10,+4.1,+3.1
14,vs Norwich City,26,24.0,48,356,121,34.0,14.83,5.04,0.12,0.35,16.6,9,6,8,43.2,37.2,0.11,+4.8,+4.8
15,vs Southampton,25,24.0,36,294,107,36.4,12.25,4.46,0.12,0.32,15.5,9,2,2,35.2,33.9,0.12,+0.8,+0.1
16,vs Tottenham,24,22.0,28,294,93,31.6,13.36,4.23,0.09,0.29,16.7,5,1,1,25.2,24.5,0.09,+2.8,+2.5
17,vs Watford,29,23.0,41,323,105,32.5,14.04,4.57,0.12,0.36,15.9,11,3,4,41.0,38.0,0.12,0.0,0.0
18,vs West Ham,24,25.0,33,333,103,30.9,13.32,4.12,0.09,0.30,16.4,9,2,3,31.1,28.8,0.09,+1.9,+2.2
19,vs Wolves,21,23.0,17,277,88,31.8,12.04,3.83,0.05,0.15,16.8,11,4,4,30.5,27.4,0.10,-13.5,-14.4
