,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,Max Aarons,ENG,DF,Norwich City,21,2000,32.0,1855,162,747,763,481,29,1529,33,78,42.3,35,6,1084,6382,3893,174,53,13,27,30,1153,1037,89.9,41
1,Che Adams,SCO,FW,Southampton,25,1996,22.7,766,27,93,332,375,102,750,14,33,42.4,17,0,474,1884,833,46,17,11,52,48,1024,542,52.9,160
2,Rayan Aït Nouri,FRA,DF,Wolves,20,2001,20.3,1281,64,460,492,398,47,1071,40,73,54.8,44,2,781,3704,2300,118,22,17,31,32,820,729,88.9,60
3,Kristoffer Ajer,NOR,DF,Brentford,23,1998,22.2,1108,117,462,534,184,31,959,11,17,64.7,11,0,562,3385,2047,73,27,2,13,11,595,534,89.7,18
4,Nathan Aké,NED,DF,Manchester City,26,1995,10.3,936,67,351,546,115,9,896,0,2,0.0,0,0,680,3560,2226,74,13,0,2,1,754,724,96.0,2
5,Marc Albrighton,ENG,"FW,DF",Leicester City,31,1989,12.6,688,35,157,316,251,12,588,16,37,43.2,18,4,411,1733,810,32,12,2,14,12,510,402,78.8,31
6,Thiago Alcántara,ESP,MF,Liverpool,30,1991,17.0,1666,37,262,1113,395,26,1650,15,24,62.5,15,0,1238,5540,2957,163,47,4,10,14,1317,1264,96.0,48
7,Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,31.7,3009,77,604,1411,1129,89,2459,26,44,59.1,26,0,1723,6044,3315,156,66,11,24,26,2017,1879,93.2,123
8,Alisson,BRA,GK,Liverpool,28,1992,36.0,1462,1097,1450,15,0,0,1230,2,3,66.7,2,0,833,2944,1615,0,0,0,1,0,835,829,99.3,0
9,Allan,BRA,MF,Everton,30,1991,24.3,1235,81,338,759,210,11,1175,16,24,66.7,16,3,763,3839,2018,106,28,2,19,31,710,657,92.5,19
10,Dele Alli,ENG,"MF,FW",Tottenham,25,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76.0,31
11,Dele Alli,ENG,MF,Everton,25,1996,3.8,232,15,47,124,76,17,221,4,10,40.0,4,1,142,659,352,13,6,1,11,14,172,135,78.5,22
12,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,27,1994,19.1,742,22,147,308,344,56,735,18,37,48.6,24,2,524,3263,1485,77,18,11,29,33,661,476,72.0,62
13,Marcos Alonso,ESP,DF,Chelsea,30,1990,24.1,1787,75,450,648,776,77,1491,19,39,48.7,20,2,1047,4917,2570,123,29,11,27,32,1182,1037,87.7,110
14,Steven Alzate,COL,MF,Brighton,22,1998,4.5,287,16,81,168,56,4,285,5,6,83.3,5,1,185,759,403,20,8,1,5,4,188,175,93.1,7
15,Daniel Amartey,GHA,DF,Leicester City,26,1994,23.6,1702,269,912,821,61,6,1677,6,8,75.0,6,0,1176,5166,2940,60,19,0,4,2,1263,1236,97.9,1
16,Joachim Andersen,DEN,DF,Crystal Palace,25,1996,32.4,2508,490,1555,1010,85,33,2427,6,8,75.0,6,0,1582,8962,4315,64,5,2,2,8,1808,1788,98.9,2
17,Michail Antonio,JAM,FW,West Ham,31,1990,33.0,1190,20,74,479,718,176,1152,45,94,47.9,49,4,867,4398,2550,133,40,31,131,88,1673,898,53.7,264
18,Cameron Archer,ENG,"MF,FW",Aston Villa,19,2001,0.3,12,0,1,2,9,3,12,1,2,50.0,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2
19,Alphonse Areola,FRA,GK,West Ham,28,1993,1.0,42,40,42,0,0,0,25,0,0,,0,0,17,48,12,0,0,0,0,0,20,20,100.0,0
20,Adam Armstrong,ENG,FW,Southampton,24,1997,15.7,489,8,40,200,289,82,458,19,38,50.0,20,1,340,1933,1062,64,19,18,34,25,651,348,53.5,109
21,Stuart Armstrong,SCO,MF,Southampton,29,1992,16.4,938,25,132,442,452,56,907,26,57,45.6,28,3,717,4564,2337,122,47,13,26,25,767,672,87.6,78
22,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4.0,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100.0,0
