,Unnamed: 0,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent,points_per_min,points_per_mil
289,289,Alisson,LIV,GKP,5.5,Available,3240,176,15,4.9,18.7,0.05432098765432099,32.0
42,42,Cash,AVL,DEF,5.0,Available,3377,147,11,3.9,20.3,0.04352976014213799,29.4
15,15,Gabriel,ARS,DEF,5.0,Available,3063,146,16,4.2,7.4,0.047665687234737186,29.2
497,497,Sá,WOL,GKP,5.0,Available,3285,146,11,3.9,5.0,0.044444444444444446,29.2
442,442,Lloris,TOT,GKP,5.5,Available,3420,158,11,4.2,4.6,0.046198830409356725,28.727272727272727
318,318,Cancelo,MCI,DEF,7.0,Available,3227,201,27,5.6,45.9,0.06228695382708398,28.714285714285715
284,284,Matip,LIV,DEF,6.0,Available,2790,170,20,5.5,2.9,0.06093189964157706,28.333333333333332
319,319,Ederson,MCI,GKP,5.5,Available,3330,155,4,4.2,13.7,0.046546546546546545,28.181818181818183
288,288,Van Dijk,LIV,DEF,6.5,Available,3060,183,13,5.4,10.9,0.059803921568627454,28.153846153846153
115,115,Sánchez,BHA,GKP,4.5,Available,3330,126,8,3.4,14.0,0.03783783783783784,28.0
293,293,Alexander-Arnold,LIV,DEF,7.5,Available,2853,208,32,6.5,55.7,0.07290571328426218,27.733333333333334
494,494,Coady,WOL,DEF,5.0,Available,3361,138,10,3.6,4.8,0.04105920856887831,27.6
167,167,Andersen,CRY,DEF,4.5,Available,2914,124,14,3.6,2.5,0.0425531914893617,27.555555555555557
169,169,Guéhi,CRY,DEF,4.5,Available,3222,123,8,3.4,2.9,0.038175046554934824,27.333333333333332
473,473,Fabianski,WHU,GKP,5.0,Available,3330,136,9,3.7,1.1,0.04084084084084084,27.2
78,78,Jansson,BRE,DEF,4.5,Available,3321,122,13,3.3,3.1,0.036735922914784704,27.11111111111111
14,14,Ramsdale,ARS,GKP,5.0,Available,3060,135,14,4.0,9.4,0.04411764705882353,27.0
321,321,Laporte,MCI,DEF,6.0,Available,2830,160,8,4.8,5.2,0.05653710247349823,26.666666666666668
292,292,Robertson,LIV,DEF,7.0,Available,2537,186,23,6.4,10.1,0.07331493890421759,26.571428571428573
154,154,Guaita,CRY,GKP,4.5,Available,2655,119,11,4.0,1.9,0.044821092278719395,26.444444444444443
291,291,Salah,LIV,MID,13.0,Available,2758,265,29,7.6,58.9,0.09608411892675853,20.384615384615383
445,445,Son,TOT,MID,12.0,Available,3009,258,27,7.4,26.0,0.08574277168494517,21.5
296,296,Diogo Jota,LIV,FWD,9.0,Available,2357,175,8,5.0,5.9,0.07424692405600339,19.444444444444443
240,240,Maddison,LEI,MID,8.0,Available,2454,181,24,5.2,6.3,0.07375713121434394,22.625
144,144,Mount,CHE,MID,8.0,Available,2358,169,16,5.3,9.1,0.07167090754877015,21.125
483,483,Bowen,WHU,MID,8.5,Available,2987,206,24,5.7,9.9,0.06896551724137931,24.235294117647058
338,338,Ronaldo,MUN,FWD,10.5,Available,2454,159,29,5.3,4.6,0.0647921760391198,15.142857142857142
12,12,Saka,ARS,MID,8.0,Available,2978,179,18,4.7,16.8,0.06010745466756212,22.375
444,444,Kane,TOT,FWD,11.5,Available,3231,192,23,5.2,16.4,0.059424326833797586,16.695652173913043
324,324,Dias,MCI,DEF,6.0,Available,2401,141,12,4.9,9.4,0.05872553102873802,23.5
162,162,Zaha,CRY,MID,7.0,Available,2759,150,11,4.5,7.0,0.05436752446538601,21.428571428571427
323,323,Bernardo,MCI,MID,7.0,Available,2856,155,15,4.4,7.8,0.05427170868347339,22.142857142857142
113,113,Trossard,BHA,MID,6.5,Available,2803,141,16,4.1,2.2,0.050303246521584015,21.692307692307693
