,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
0,Leno,4.5,4,GKP,1.3,ARS,0.89,leno
1,Cédric,4.2,10,DEF,1.7,ARS,2.38,cedric
2,Lacazette,8.3,58,FWD,3.2,ARS,6.99,lacazette
3,Xhaka,4.8,22,MID,1.8,ARS,4.58,xhaka
4,Elneny,4.4,11,MID,1.6,ARS,2.50,elneny
5,Holding,4.1,14,DEF,2.0,ARS,3.41,holding
6,Partey,5.0,48,MID,2.7,ARS,9.60,partey
7,Tierney,5.1,90,DEF,5.3,ARS,17.65,tierney
8,Pépé,6.9,26,MID,2.6,ARS,3.77,pepe
9,Nketiah,5.4,6,FWD,1.0,ARS,1.11,nketiah
10,Smith Rowe,5.8,103,MID,4.9,ARS,17.76,smith rowe
11,Saka,6.5,109,MID,4.7,ARS,16.77,saka
12,Gabriel,5.3,99,DEF,5.0,ARS,18.68,gabriel
13,Martinelli,5.3,60,MID,4.0,ARS,11.32,martinelli
14,White,4.5,85,DEF,4.0,ARS,18.89,white
15,Tavares,4.3,31,DEF,2.4,ARS,7.21,tavares
16,Sambi Lokonga,4.8,26,MID,1.9,ARS,5.42,sambi lokonga
17,Ødegaard,5.5,80,MID,3.8,ARS,14.55,ødegaard
18,Ramsdale,5.1,103,GKP,5.2,ARS,20.20,ramsdale
19,Tomiyasu,4.6,69,DEF,4.3,ARS,15.00,tomiyasu
20,Chambers,4.2,6,DEF,1.2,AVL,1.43,chambers
21,Martínez,5.5,82,GKP,3.6,AVL,14.91,martinez
22,Traoré,5.7,10,MID,1.7,AVL,1.75,traore
23,Sanson,5.0,8,MID,1.3,AVL,1.60,sanson
24,McGinn,5.7,69,MID,3.3,AVL,12.11,mcginn
25,Hause,4.4,20,DEF,2.9,AVL,4.55,hause
26,Mings,5.0,72,DEF,3.3,AVL,14.40,mings
27,Watkins,7.6,72,FWD,3.4,AVL,9.47,watkins
28,Nakamba,4.4,16,MID,1.3,AVL,3.64,nakamba
29,Buendía,6.2,67,MID,3.0,AVL,10.81,buendia
30,Cash,5.1,74,DEF,3.1,AVL,14.51,cash
31,Konsa,4.9,59,DEF,2.8,AVL,12.04,konsa
32,Douglas Luiz,4.4,50,MID,2.5,AVL,11.36,douglas luiz
33,Ramsey,4.8,75,MID,3.4,AVL,15.62,ramsey
34,Young,4.7,32,DEF,2.3,AVL,6.81,young
35,Digne,5.1,44,DEF,2.4,AVL,8.63,digne
36,Ings,7.7,58,FWD,3.2,AVL,7.53,ings
37,Bailey,6.3,28,MID,2.5,AVL,4.44,bailey
38,Chukwuemeka,4.5,13,MID,1.4,AVL,2.89,chukwuemeka
39,Coutinho,7.3,29,MID,5.8,AVL,3.97,coutinho
40,Jansson,4.5,74,DEF,2.8,BRE,16.44,jansson
41,Nørgaard,5.0,66,MID,2.6,BRE,13.20,nørgaard
42,Toney,6.5,77,FWD,3.7,BRE,11.85,toney
43,Raya,4.3,48,GKP,4.0,BRE,11.16,raya
44,Canós,5.5,69,MID,2.8,BRE,12.55,canos
45,Dasilva,5.3,4,MID,1.3,BRE,0.75,dasilva
46,Henry,4.5,65,DEF,3.0,BRE,14.44,henry
