,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
0,Cédric,Arsenal,D,A,0.3,£4.5m,0,---,101879
1,Leno,Arsenal,G,A,0.6,£4.5m,0,---,101879
2,Xhaka,Arsenal,M,A,0.4,£5.0m,0,---,101879
3,Elneny,Arsenal,M,A,1.8,£4.5m,0,---,101879
4,Holding,Arsenal,D,A,0.2,£4.5m,0,---,101879
5,Partey,Arsenal,M,A,0.4,£5.0m,0,---,101879
6,Ødegaard,Arsenal,M,A,9.2,£6.5m,0,---,101879
7,Tierney,Arsenal,D,A,4.5,£5.0m,0,---,101879
8,Pépé,Arsenal,M,A,0.4,£5.5m,0,---,101879
9,White,Arsenal,D,A,8.9,£4.5m,0,---,101879
10,Nketiah,Arsenal,F,A,1.4,£7.0m,0,---,101879
11,Smith Rowe,Arsenal,M,A,5.1,£6.0m,0,---,101879
12,Saka,Arsenal,M,A,16.5,£8.0m,0,---,101879
13,Tomiyasu,Arsenal,D,A,18,£4.5m,0,---,101879
14,Ramsdale,Arsenal,G,A,9.2,£5.0m,0,---,101879
15,Gabriel,Arsenal,D,A,7.5,£5.0m,0,---,101879
16,Tavares,Arsenal,D,A,0.2,£4.5m,0,---,101879
17,Sambi,Arsenal,M,A,0.3,£4.5m,0,---,101879
18,Martinelli,Arsenal,M,A,13.7,£6.0m,0,---,101879
19,Pablo Marí,Arsenal,D,A,0.1,£4.5m,0,---,101879
20,Maitland-Niles,Arsenal,M,A,0.1,£5.0m,0,---,101879
21,Torreira,Arsenal,M,A,0.6,£4.5m,0,---,101879
22,Nelson,Arsenal,M,A,0,£5.0m,0,---,101879
23,Turner,Arsenal,G,A,1.1,£4.0m,0,---,101879
24,Fábio Vieira,Arsenal,M,A,0.8,£6.0m,0,---,101879
25,Saliba,Arsenal,D,A,0.6,£4.5m,0,---,101879
26,Marquinhos,Arsenal,M,A,0.2,£5.0m,0,---,101879
27,Jesus,Arsenal,F,A,56.4,£8.0m,0,---,101879
28,Coutinho,Aston Villa,M,A,20.6,£7.0m,0,---,101879
29,Ings,Aston Villa,F,A,1.7,£7.0m,0,---,101879
30,Martínez,Aston Villa,G,A,4.7,£5.0m,0,---,101879
31,Chambers,Aston Villa,D,A,0.2,£4.5m,0,---,101879
32,Digne,Aston Villa,D,A,3.9,£5.0m,0,---,101879
33,Traoré,Aston Villa,M,A,0.2,£5.0m,0,---,101879
34,Olsen,Aston Villa,G,A,3.2,£4.0m,0,---,101879
35,Sanson,Aston Villa,M,A,0.3,£4.5m,0,---,101879
36,McGinn,Aston Villa,M,A,1.8,£5.5m,0,---,101879
37,Hause,Aston Villa,D,A,0.1,£4.5m,0,---,101879
38,Mings,Aston Villa,D,A,6.7,£4.5m,0,---,101879
39,Watkins,Aston Villa,F,A,4.5,£7.5m,0,---,101879
40,Nakamba,Aston Villa,M,A,0.2,£4.5m,0,---,101879
41,Buendía,Aston Villa,M,A,0.8,£6.0m,0,---,101879
42,Cash,Aston Villa,D,A,20.4,£5.0m,0,---,101879
43,Konsa,Aston Villa,D,I,0,£4.5m,0,---,101879
44,Bailey,Aston Villa,M,A,0.9,£5.0m,0,---,101879
45,Douglas Luiz,Aston Villa,M,A,0.9,£5.0m,0,---,101879
46,Ramsey,Aston Villa,M,A,4.2,£5.5m,0,---,101879
47,Chukwuemeka,Aston Villa,M,A,1.1,£4.5m,0,---,101879
48,Iroegbunam,Aston Villa,M,A,0,£4.5m,0,---,101879
49,Diego Carlos,Aston Villa,D,A,1.5,£5.0m,0,---,101879
50,El Ghazi,Aston Villa,M,A,0.2,£5.0m,0,---,101879
51,Davis,Aston Villa,F,A,0.2,£5.5m,0,---,101879
52,Kamara,Aston Villa,M,A,0.2,£5.0m,0,---,101879
53,Archer,Aston Villa,F,A,3.1,£4.5m,0,---,101879
54,Philogene-Bidace,Aston Villa,M,A,0,£4.5m,0,---,101879
55,Guilbert,Aston Villa,D,A,0.8,£4.0m,0,---,101879
56,Smith,Bournemouth,D,A,0.2,£4.5m,0,---,101879
57,Stanislas,Bournemouth,M,A,0.2,£5.0m,0,---,101879
58,Fredericks,Bournemouth,D,A,0.2,£4.5m,0,---,101879
59,Brooks,Bournemouth,M,A,0.3,£5.5m,0,---,101879
60,Lowe,Bournemouth,M,A,0.1,£5.5m,0,---,101879
61,Moore,Bournemouth,F,A,0.3,£5.5m,0,---,101879
62,Marcondes,Bournemouth,M,A,0,£5.0m,0,---,101879
63,Lerma,Bournemouth,M,A,0.1,£5.0m,0,---,101879
64,Stacey,Bournemouth,D,A,0.1,£4.5m,0,---,101879
65,Solanke,Bournemouth,F,A,2.1,£6.0m,0,---,101879
66,Cook,Bournemouth,M,A,0.1,£5.0m,0,---,101879
67,Pearson,Bournemouth,M,A,0.2,£4.5m,0,---,101879
68,Christie,Bournemouth,M,A,0.1,£5.5m,0,---,101879
69,Billing,Bournemouth,M,A,0.4,£5.5m,0,---,101879
70,Mepham,Bournemouth,D,A,0.1,£4.5m,0,---,101879
71,Travers,Bournemouth,G,A,0.5,£4.5m,0,---,101879
72,Kelly,Bournemouth,D,A,0.1,£4.5m,0,---,101879
73,Dembélé,Bournemouth,M,A,0.1,£5.0m,0,---,101879
74,Anthony,Bournemouth,M,A,0.1,£5.5m,0,---,101879
75,Zemura,Bournemouth,D,A,0.2,£4.5m,0,---,101879
76,Dennis,Bournemouth,G,A,1.1,£4.0m,0,---,101879
77,Jansson,Brentford,D,A,3,£4.5m,0,---,101879
78,Nørgaard,Brentford,M,A,0.4,£5.5m,0,---,101879
79,Toney,Brentford,F,A,5.9,£7.0m,0,---,101879
80,Raya,Brentford,G,A,13.6,£4.5m,0,---,101879
81,Canós,Brentford,D,S,0,£5.0m,0,---,101879
82,Dasilva,Brentford,M,A,0.9,£4.5m,0,---,101879
83,Ajer,Brentford,D,I,0.2,£4.5m,0,---,101879
84,Henry,Brentford,D,A,0.8,£4.5m,0,---,101879
85,Janelt,Brentford,M,A,0.1,£5.5m,0,---,101879
86,Ghoddos,Brentford,M,A,0,£5.0m,0,---,101879
87,Jensen,Brentford,M,A,0.1,£5.0m,0,---,101879
88,Wissa,Brentford,M,A,0.4,£5.5m,0,---,101879
89,Roerslev,Brentford,D,A,0.1,£4.5m,0,---,101879
90,Bech,Brentford,D,A,0.1,£4.5m,0,---,101879
91,Pinnock,Brentford,D,A,0.4,£4.5m,0,---,101879
92,Onyeka,Brentford,M,A,0.1,£5.0m,0,---,101879
93,Baptiste,Brentford,M,A,0.3,£4.5m,0,---,101879
94,Mbeumo,Brentford,F,A,3,£6.0m,0,---,101879
95,Goode,Brentford,D,A,0.6,£4.0m,0,---,101879
96,Forss,Brentford,F,A,1.9,£4.5m,0,---,101879
97,Thompson,Brentford,D,A,0.4,£4.0m,0,---,101879
98,Bidstrup,Brentford,M,A,0,£4.5m,0,---,101879
99,Balcombe,Brentford,G,A,2.8,£4.0m,0,---,101879
100,Lallana,Brighton,M,A,0.1,£5.0m,0,---,101879
101,Steele,Brighton,G,A,2.2,£4.0m,0,---,101879
102,Welbeck,Brighton,F,A,0.4,£6.5m,0,---,101879
103,Gross,Brighton,M,A,0.2,£5.5m,0,---,101879
104,Duffy,Brighton,D,A,0.3,£4.5m,0,---,101879
105,Dunk,Brighton,D,A,1.7,£4.5m,0,---,101879
106,March,Brighton,M,A,0.1,£5.0m,0,---,101879
107,Webster,Brighton,D,A,0.1,£4.5m,0,---,101879
108,Veltman,Brighton,D,A,0.4,£4.5m,0,---,101879
109,Maupay,Brighton,F,A,1.1,£6.5m,0,---,101879
110,Trossard,Brighton,M,A,2.2,£6.5m,0,---,101879
111,Cucurella,Brighton,D,A,9,£5.0m,0,---,101879
112,Sánchez,Brighton,G,A,14.2,£4.5m,0,---,101879
