name,team,position,status,playing chance %,ownership %,news
Abraham,CHE,FWD,NotAvail,0,0.1,Joined AS Roma on 17 August
Alderweireld,TOT,DEF,NotAvail,0,0.0,Transferred to Al-Duhail SC
Alebiosu,ARS,DEF,NotAvail,0,0.0,Season-long loan to Crewe Alexandra
Alves,WHU,DEF,NotAvail,0,0.1,Joined Sunderland on a season-long loan - Expected back 01 Jul
Ampadu,CHE,DEF,NotAvail,0,0.0,Joined Venezia on a season-long loan - Expected back 01 Jul
Anderson,NEW,MID,NotAvail,0,0.0,Joined Bristol Rovers on loan until the end of the season - Expected back 01 Jul
Andone,BHA,FWD,NotAvail,0,0.0,Joined Cadiz on a season-long loan - Expected back 01 Jul
Archer,AVL,FWD,NotAvail,0,1.0,Joined Preston on loan until the end of the season - Expected back 01 Jul
Aubameyang,ARS,FWD,NotAvail,0,1.3,Left club by mutual consent
Aurier,TOT,DEF,NotAvail,0,0.2,Left the club by mutual consent
Baah,WAT,MID,Doubtful,75,0.1,Lack of match fitness - 75% chance of playing
Balcombe,BRE,GKP,NotAvail,0,0.0,Season long loan to Burton Albion
Balogun,ARS,FWD,NotAvail,0,0.3,Joined Middlesbrough on loan until the end of the season
Bamford,LEE,FWD,Injured,0,2.9,Foot injury - Unknown return date
Barnes,LEI,MID,Doubtful,100,2.1,Hamstring injury - 75% chance of playing
Batshuayi,CHE,FWD,NotAvail,0,0.0,Joined Besiktas on a season-long loan - Expected back 01 Jul
Bellerín,ARS,DEF,NotAvail,0,0.2,Joined Real Betis on a season-long loan - Expected back 01 Jul
Benson,BUR,MID,NotAvail,0,0.0,Transferred to Barnsley
Bernard,EVE,MID,NotAvail,0,0.0,Transferred to Sharjah FC
Bernardo,BHA,DEF,NotAvail,0,0.0,Transferred to RB Salzburg
Bertrand,LEI,DEF,Injured,0,0.3,Knee injury - Unknown return date
Bidstrup,BRE,MID,NotAvail,0,0.1,Joined FC Nordsjælland on loan until the end of the season - Expected back 01 Jul
Broadhead,EVE,FWD,NotAvail,0,0.0,Joined Sunderland on a season-long loan - Expected back 01 Jul
Bryan,TOT,MID,NotAvail,0,0.1,Joined Valencia on loan until the end of the season - Expected back 01 Jul
Caicedo,BHA,MID,NotAvail,0,0.0,Joined Beerschot on a season-long loan - Expected back 01 Jul
Cantwell,NOR,MID,NotAvail,0,0.2,Joined Bournemouth on loan until the end of the season - Expected back 01 Jul
Casilla,LEE,GKP,NotAvail,0,0.0,Joined Elche CF on a season-long loan - Expected back 01 Jul
Castagne,LEI,DEF,Injured,0,0.5,Thigh injury - Expected back 19 Mar
Cavani,MUN,FWD,Injured,0,1.8,Groin Injury - Unknown return date
