,Squad,Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Er
0,Arsenal,26,9.0,129,74,61,48,20,45,106,42.5,61,1163,304,26.1,368,470,325,168,47,0,121,128,257,172,6
1,Aston Villa,23,9.0,122,72,47,59,16,44,136,32.4,92,1182,320,27.1,348,548,286,139,45,1,94,147,269,163,2
2,Brentford,20,9.0,177,112,85,69,23,60,147,40.8,87,1336,405,30.3,488,559,289,147,25,1,122,137,314,205,2
3,Brighton,21,9.0,190,114,99,62,29,57,131,43.5,74,1414,435,30.8,505,535,374,158,34,1,124,114,304,170,1
4,Burnley,18,9.0,150,89,69,57,24,50,127,39.4,77,1110,332,29.9,350,466,294,177,61,4,116,129,279,198,4
5,Chelsea,25,9.0,174,104,86,63,25,54,159,34.0,105,1322,404,30.6,434,558,330,157,39,3,118,134,308,237,2
6,Crystal Palace,19,9.0,154,94,83,57,14,56,132,42.4,76,1398,404,28.9,458,614,326,148,33,0,115,115,269,219,2
7,Everton,23,9.0,179,108,102,53,24,74,176,42.0,102,1375,419,30.5,553,551,271,167,42,0,125,152,331,251,2
8,Leeds United,22,9.0,180,104,100,57,23,70,146,47.9,76,1407,429,30.5,484,610,313,131,42,1,89,133,313,221,6
9,Leicester City,22,9.0,172,98,77,78,17,70,163,42.9,93,1441,401,27.8,512,652,277,149,41,0,108,123,295,231,3
10,Liverpool,23,9.0,129,81,47,58,24,47,125,37.6,78,1251,356,28.5,331,551,369,112,28,2,84,112,241,171,0
11,Manchester City,22,9.0,126,79,50,55,21,44,126,34.9,82,1046,307,29.3,244,468,334,108,27,2,81,101,227,159,1
12,Manchester Utd,21,9.0,117,72,48,48,21,38,109,34.9,71,1035,299,28.9,289,501,245,121,34,1,87,113,230,217,2
13,Newcastle Utd,22,9.0,182,111,101,58,23,67,173,38.7,106,1261,372,29.5,518,521,222,152,46,1,106,111,293,203,1
14,Norwich City,21,9.0,145,90,80,54,11,62,154,40.3,92,1412,337,23.9,616,551,245,162,52,1,110,140,285,242,2
15,Southampton,20,9.0,171,108,73,63,35,55,155,35.5,100,1457,425,29.2,457,611,389,123,35,2,88,143,314,182,1
16,Tottenham,21,9.0,175,97,86,71,18,59,154,38.3,95,1385,372,26.9,538,580,267,157,53,1,104,144,319,228,0
17,Watford,25,9.0,152,88,92,50,10,57,155,36.8,98,1321,371,28.1,479,576,266,137,43,3,94,116,268,217,3
18,West Ham,18,9.0,165,101,81,56,28,53,135,39.3,82,1144,350,30.6,394,495,255,126,34,1,92,108,273,187,2
19,Wolves,18,9.0,168,112,85,61,22,74,161,46.0,87,1224,375,30.6,456,513,255,119,30,0,89,132,300,246,2
