,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Er
0,Max Aarons,ENG,DF,Norwich City,21-297,2000,9.0,12,8,7,5,0,8,18,44.4,10,107,27,25.2,62,34,11,25,6,0,19,8,20,22
1,Che Adams,SCO,"FW,MF",Southampton,25-107,1996,4.4,7,5,2,1,4,1,2,50.0,1,72,22,30.6,8,25,39,5,2,0,3,1,8,5
2,Rayan Aït Nouri,FRA,"DF,FW",Wolves,20-144,2001,1.0,5,5,3,1,1,2,3,66.7,1,22,9,40.9,9,8,5,2,0,0,2,2,7,2
3,Kristoffer Ajer,NOR,DF,Brentford,23-194,1998,6.3,11,5,8,1,2,7,14,50.0,7,57,18,31.6,29,24,4,9,4,1,5,13,24,35
4,Nathan Aké,NED,DF,Manchester City,26-252,1995,3.0,4,2,2,2,0,0,1,0.0,1,14,4,28.6,4,9,1,3,3,0,0,3,7,17
5,Marc Albrighton,ENG,"MF,FW",Leicester City,31-344,1989,2.1,4,1,3,0,1,0,3,0.0,3,68,12,17.6,22,36,10,2,0,0,2,1,5,1
6,Thiago Alcántara,ESP,MF,Liverpool,30-200,1991,2.0,7,4,4,2,1,1,3,33.3,2,21,10,47.6,11,6,4,1,0,0,1,2,9,3
7,Trent Alexander-Arnold,ENG,DF,Liverpool,23-021,1998,6.7,13,9,4,6,3,8,17,47.1,9,66,22,33.3,28,22,16,9,2,0,7,17,30,14
8,Alisson,BRA,GK,Liverpool,29-026,1992,8.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1
9,Allan,BRA,MF,Everton,30-293,1991,8.8,29,24,18,9,2,7,30,23.3,23,235,77,32.8,107,111,17,20,4,0,16,18,47,20
10,Dele Alli,ENG,MF,Tottenham,25-200,1996,5.5,18,8,12,5,1,6,15,40.0,9,145,38,26.2,64,56,25,18,5,0,13,11,29,8
11,Miguel Almirón,PAR,MF,Newcastle Utd,27-260,1994,6.7,19,12,12,4,3,4,16,25.0,12,137,42,30.7,58,54,25,9,1,1,8,9,28,4
12,Marcos Alonso,ESP,DF,Chelsea,30-304,1990,5.9,13,6,7,3,3,5,10,50.0,5,72,19,26.4,31,24,17,12,1,0,11,13,26,15
13,Steven Alzate,COL,MF,Brighton,23-050,1998,1.0,2,2,1,0,1,1,1,100.0,0,14,3,21.4,8,4,2,2,0,0,2,1,3,2
14,Daniel Amartey,GHA,DF,Leicester City,26-311,1994,5.0,4,2,2,2,0,3,6,50.0,3,34,11,32.4,23,10,1,8,4,0,4,6,10,20
15,Joachim Andersen,DEN,DF,Crystal Palace,25-150,1996,8.4,8,5,6,2,0,4,7,57.1,3,34,11,32.4,17,15,2,10,4,0,6,20,28,49
16,Michail Antonio,JAM,FW,West Ham,31-214,1990,7.9,11,9,0,5,6,2,3,66.7,1,114,41,36.0,7,46,61,7,0,0,7,5,16,3
17,Cameron Archer,ENG,"MF,FW",Aston Villa,20-099,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,1
18,Adam Armstrong,ENG,FW,Southampton,24-260,1997,6.8,4,3,1,0,3,0,2,0.0,2,118,34,28.8,10,47,61,3,1,0,2,1,5,0
19,Stuart Armstrong,SCO,MF,Southampton,29-212,1992,0.5,0,0,0,0,0,0,3,0.0,3,15,5,33.3,2,9,4,1,0,0,1,1,1,1
20,Kepa Arrizabalaga,ESP,GK,Chelsea,27-025,1994,1.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0
21,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32-132,1989,6.8,8,4,4,2,2,1,3,33.3,2,120,30,25.0,15,42,63,10,1,0,9,0,8,1
22,Jordan Ayew,GHA,"FW,MF",Crystal Palace,30-047,1991,6.5,13,8,6,6,1,4,8,50.0,4,149,34,22.8,31,63,55,17,2,0,15,10,23,2
23,Luke Ayling,ENG,DF,Leeds United,30-064,1991,5.0,13,5,11,2,0,7,14,50.0,7,71,23,32.4,38,23,10,11,8,0,3,6,19,11
24,César Azpilicueta,ESP,DF,Chelsea,32-061,1989,7.0,19,8,10,6,3,6,15,40.0,9,101,25,24.8,45,39,17,20,3,0,17,8,27,21
25,Daniel Bachmann,AUT,GK,Watford,27-111,1994,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
26,Leon Bailey,JAM,"FW,MF",Aston Villa,24-080,1997,1.5,4,1,1,3,0,0,2,0.0,2,14,3,21.4,3,5,6,2,0,0,2,0,4,0
27,Folarin Balogun,ENG,FW,Arsenal,20-117,2001,0.8,0,0,0,0,0,0,0,,0,21,5,23.8,2,2,17,1,0,0,1,0,0,1
28,Patrick Bamford,ENG,FW,Leeds United,28-053,1993,4.8,2,1,1,1,0,1,3,33.3,2,92,31,33.7,4,39,49,6,3,0,3,3,5,8
29,Shandon Baptiste,GRN,MF,Brentford,23-203,1998,2.1,3,2,3,0,0,0,0,,0,52,18,34.6,16,23,13,6,0,0,6,4,7,3
30,Ross Barkley,ENG,MF,Chelsea,27-327,1993,0.3,1,1,0,1,0,0,1,0.0,1,5,3,60.0,0,2,3,1,0,0,1,0,1,0
