Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team
263,Jesus,jesus,11.0,16.5,66.0,9.4,Man City
22,Saka,saka,23.6,41.1,28.0,9.3,Arsenal
174,Iwobi,iwobi,42.0,23.3,23.0,8.8,Everton
449,Rashica,rashica,19.6,29.3,38.0,8.7,Norwich
269,Cavani,cavani,34.6,3.0,47.0,8.5,Man Utd
430,Jiménez,jimenez,33.6,4.7,47.0,8.5,Wolves
266,Rodrigo,rodrigo,26.2,33.8,25.0,8.5,Man City
23,Gabriel,gabriel,51.2,0.1,33.0,8.4,Arsenal
21,Smith Rowe,smith rowe,39.6,27.2,17.0,8.4,Arsenal
482,Townsend,townsend,23.2,58.8,2.0,8.4,Everton
40,Watkins,watkins,44.2,2.7,34.0,8.1,Aston Villa
425,Johnson,johnson,62.0,1.2,17.0,8.0,West Ham
53,Lallana,lallana,36.4,23.6,19.0,7.9,Brighton
85,Ghoddos,ghoddos,41.0,11.5,25.0,7.8,Brentford
187,Rodrigo,rodrigo,38.6,13.0,26.0,7.8,Leeds
60,March,march,31.2,25.8,21.0,7.8,Brighton
169,Keane,keane,46.8,10.8,19.0,7.7,Everton
277,Fernandes,fernandes,33.6,38.9,4.0,7.7,Man Utd
345,Adams,adams,33.2,11.4,32.0,7.7,Southampton
222,Henderson,henderson,45.8,13.6,16.0,7.5,Liverpool
525,A.Armstrong,a.armstrong,10.2,21.5,43.0,7.5,Southampton
154,Zaha,zaha,41.0,11.5,21.0,7.4,Crystal Palace
439,Kilman,kilman,55.2,1.0,17.0,7.3,Wolves
4,Aubameyang,aubameyang,15.8,3.0,52.0,7.1,Arsenal
331,Omobamidele,omobamidele,51.8,0.9,17.0,7.0,Norwich
462,Mwepu,mwepu,48.0,4.7,17.0,7.0,Brighton
227,Chamberlain,chamberlain,29.4,29.8,11.0,7.0,Liverpool
131,Ziyech,ziyech,1.0,24.1,45.0,7.0,Chelsea
492,Bailey,bailey,14.8,2.7,51.0,6.9,Aston Villa
123,Jorginho,jorginho,41.6,7.8,18.0,6.7,Chelsea
141,Havertz,havertz,9.6,15.0,39.0,6.4,Chelsea
140,Hudson-Odoi,hudson-odoi,13.4,42.2,8.0,6.4,Chelsea
461,Trincão,trincao,12.0,17.0,35.0,6.4,Wolves
468,King,king,8.8,41.7,12.0,6.3,Watford
335,Romeu,romeu,14.2,26.3,22.0,6.3,Southampton
318,McLean,mclean,12.8,1.4,49.0,6.3,Norwich
180,Richarlison,richarlison,3.4,11.3,47.0,6.2,Everton
342,Walker-Peters,walker-peters,23.0,28.7,10.0,6.2,Southampton
228,Firmino,firmino,4.2,23.3,33.0,6.1,Liverpool
578,Cornet,cornet,37.8,16.0,7.0,6.1,Burnley
470,Ait Nouri,ait nouri,26.4,34.3,0.0,6.1,Wolves
336,Redmond,redmond,12.8,30.3,18.0,6.1,Southampton
256,Cancelo,cancelo,9.4,5.3,44.0,5.9,Man City
77,Nørgaard,nørgaard,33.4,15.1,10.0,5.9,Brentford
287,James,james,20.2,11.8,26.0,5.8,Leeds
201,Evans,evans,20.8,1.2,35.0,5.7,Leicester
422,Soucek,soucek,15.6,3.4,36.0,5.5,West Ham
288,Wan-Bissaka,wan-bissaka,12.4,16.9,26.0,5.5,Man Utd
39,Targett,targett,23.0,31.0,0.0,5.4,Aston Villa
372,Lo Celso,lo celso,10.6,21.3,22.0,5.4,Spurs
359,Son,son,9.2,24.3,18.0,5.2,Spurs
267,Harrison,harrison,4.6,21.6,26.0,5.2,Leeds
113,Taylor,taylor,32.4,18.6,1.0,5.2,Burnley
419,Benrahma,benrahma,20.8,22.3,9.0,5.2,West Ham
559,Ramsdale,ramsdale,50.8,0.0,0.0,5.1,Arsenal
413,Antonio,antonio,2.8,13.9,34.0,5.1,West Ham
