,Squad,Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Arsenal,26,9.0,3343,4092,81.7,62442,20109,1438,1602,89.8,1411,1609,87.7,419,726,57.7,5,6.9,-1.9,99,247,83,18,252
1,Aston Villa,23,9.0,2674,3552,75.3,56923,20789,914,1076,84.9,1223,1435,85.2,498,916,54.4,9,6.7,+2.3,69,221,75,17,279
2,Brentford,20,9.0,2444,3436,71.1,48884,19436,971,1161,83.6,1042,1310,79.5,378,795,47.5,5,7.9,-2.9,70,185,66,22,220
3,Brighton,21,9.0,4088,4979,82.1,80958,24533,1539,1719,89.5,1897,2137,88.8,578,928,62.3,7,6.2,+0.8,79,229,79,14,285
4,Burnley,18,9.0,2277,3317,68.6,48783,20263,947,1146,82.6,824,1060,77.7,467,966,48.3,6,6.8,-0.8,74,205,71,28,208
5,Chelsea,25,9.0,4309,5076,84.9,79279,24915,1858,2028,91.6,1859,2083,89.2,509,788,64.6,16,11.9,+4.1,93,274,91,11,308
6,Crystal Palace,19,9.0,3773,4615,81.8,71856,22089,1538,1718,89.5,1677,1917,87.5,483,821,58.8,6,6.6,-0.6,68,227,69,22,258
7,Everton,23,9.0,2463,3358,73.3,49567,19196,952,1135,83.9,1028,1255,81.9,395,757,52.2,12,10.0,+2.0,98,190,77,26,258
8,Leeds United,22,9.0,3781,4636,81.6,75556,23542,1420,1606,88.4,1766,1961,90.1,548,914,60.0,5,8.7,-3.7,93,269,81,20,332
9,Leicester City,22,9.0,3665,4510,81.3,69965,22212,1428,1611,88.6,1717,1912,89.8,444,815,54.5,11,8.4,+2.6,73,194,64,7,291
10,Liverpool,23,9.0,4710,5594,84.2,93813,29533,1845,2027,91.0,2099,2356,89.1,712,1044,68.2,21,18.8,+2.2,132,412,114,24,437
11,Manchester City,22,9.0,5118,5871,87.2,96292,26971,2164,2339,92.5,2239,2455,91.2,654,914,71.6,13,14.5,-1.5,120,392,132,19,385
12,Manchester Utd,21,9.0,4214,5014,84.0,80045,23990,1817,2017,90.1,1756,1980,88.7,578,825,70.1,14,10.4,+3.6,124,345,87,16,363
13,Newcastle Utd,22,9.0,2478,3262,76.0,51547,19010,993,1156,85.9,1006,1198,84.0,436,795,54.8,9,7.1,+1.9,79,189,49,19,176
14,Norwich City,21,9.0,3000,3800,78.9,61206,20760,1146,1303,88.0,1295,1486,87.1,502,863,58.2,1,4.4,-3.4,60,168,56,14,209
15,Southampton,20,9.0,2965,3874,76.5,54247,18626,1323,1511,87.6,1291,1554,83.1,306,670,45.7,4,8.7,-4.7,83,219,62,16,260
16,Tottenham,21,9.0,3531,4306,82.0,66080,21023,1557,1712,90.9,1496,1700,88.0,417,744,56.0,6,7.3,-1.3,69,259,65,11,257
17,Watford,25,9.0,2597,3439,75.5,56603,20611,852,1015,83.9,1205,1433,84.1,504,856,58.9,10,7.5,+2.5,74,176,54,15,231
18,West Ham,18,9.0,3477,4339,80.1,69826,23522,1331,1503,88.6,1555,1789,86.9,535,889,60.2,13,10.7,+2.3,97,260,88,26,322
19,Wolves,18,9.0,3358,4143,81.1,70285,22491,1180,1362,86.6,1529,1735,88.1,607,909,66.8,5,8.6,-3.6,82,274,59,13,278
