,Squad,Pl,Poss,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries	PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,vs Arsenal,26,52.9,9.0,5631,676,1823,2543,1580,255,5207,55,106,51.9,59,1,3606,17115,9204,424,132,41,105,84,4339,3820,88.0,286
1,vs Aston Villa,23,51.9,9.0,4898,691,1939,2130,1128,210,4487,87,137,63.5,92,7,2831,16236,10026,343,118,59,97,78,3629,2976,82.0,213
2,vs Brentford,20,57.2,9.0,5670,585,1760,2628,1616,213,5242,79,142,55.6,81,7,3729,17255,8800,385,134,37,114,115,4324,3635,84.1,293
3,vs Brighton,21,43.7,9.0,5010,563,1720,2073,1490,214,4599,67,133,50.4,74,4,3118,16045,8275,355,109,46,100,134,3643,3104,85.2,253
4,vs Burnley,18,60.6,9.0,6107,733,2246,2589,1624,287,5676,67,128,52.3,77,6,3904,20625,11836,451,129,56,110,99,4717,4032,85.5,358
5,vs Chelsea,25,45.2,9.0,5302,668,1786,2399,1414,222,4910,101,161,62.7,105,10,3355,15628,8125,331,99,32,123,119,4028,3406,84.6,249
6,vs Crystal Palace,19,47.3,9.0,5305,614,1709,2429,1463,214,4900,71,134,53.0,76,5,3249,15357,7929,349,97,25,134,96,4026,3360,83.5,274
7,vs Everton,23,58.7,9.0,5941,543,1892,2771,1640,219,5482,95,175,54.3,101,4,3716,19009,10196,390,130,26,105,105,4590,3871,84.3,346
8,vs Leeds United,22,40.7,9.0,4471,614,1653,1912,1207,213,4031,73,148,49.3,78,7,2539,15386,8267,302,101,52,116,111,3123,2479,79.4,236
9,vs Leicester City,22,48.7,9.0,5397,570,1768,2500,1501,253,5005,79,158,50.0,89,7,3287,17509,9689,405,137,40,102,104,4144,3463,83.6,311
10,vs Liverpool,23,38.3,9.0,4706,815,2077,1879,981,187,4315,71,125,56.8,77,6,2631,13425,7265,250,70,38,100,83,3430,2712,79.1,185
11,vs Manchester City,22,36.2,9.0,4416,905,2070,1768,799,143,4043,70,126,55.6,82,4,2569,12716,6701,229,63,25,93,82,3314,2692,81.2,183
12,vs Manchester Utd,21,42.8,9.0,4934,659,1715,2377,1089,178,4549,66,109,60.6,71,4,2954,14287,7692,293,90,25,102,79,3732,3086,82.7,251
13,vs Newcastle Utd,22,59.7,9.0,5951,532,1664,2920,1806,263,5547,96,173,55.5,106,12,3879,21158,12204,515,163,64,99,114,4727,4105,86.8,357
14,vs Norwich City,21,56.1,9.0,5920,486,1558,2817,1910,318,5527,79,151,52.3,89,7,3880,20523,11689,507,141,65,99,82,4711,4080,86.6,344
15,vs Southampton,20,52.0,9.0,5315,635,1899,2403,1313,191,4899,94,156,60.3,99,6,3319,16256,8721,307,103,31,118,114,3914,3279,83.8,282
16,vs Tottenham,21,49.3,9.0,5300,558,1713,2382,1534,266,4915,86,152,56.6,93,8,3445,17379,9405,407,118,57,129,116,3888,3339,85.9,281
17,vs Watford,25,58.1,9.0,5843,520,1881,2719,1587,285,5426,88,155,56.8,98,5,3830,17972,10280,432,122,58,103,95,4574,3920,85.7,383
18,vs West Ham,18,49.3,9.0,5398,689,1997,2473,1311,209,5016,73,136,53.7,82,6,3428,18989,10793,376,125,31,111,112,4068,3475,85.4,267
19,vs Wolves,18,50.1,9.0,5286,601,1830,2507,1282,205,4873,81,157,51.6,86,9,3474,17217,9683,367,103,44,101,97,4064,3426,84.3,260
