,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles	Succ,Dribbles	Att,Dribbles	Succ%,Dribbles #Pl,Dribbles	Megs,	Carries,Carries TotDist,Carries	PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,Max Aarons,ENG,DF,Norwich City,21-299,2000,9.0,502,43,195,220,119,7,409,14,29,48.3,15,1,304,1740,1127,44,14,2,8,7,339,293,86.4,14
1,Che Adams,SCO,"FW,MF",Southampton,25-109,1996,4.4,147,7,17,63,73,17,143,1,4,25.0,1,0,88,276,142,7,4,2,10,11,214,94,43.9,30
2,Rayan Aït Nouri,FRA,"DF,FW",Wolves,20-146,2001,1.0,58,4,20,24,19,3,47,3,5,60.0,3,1,32,202,152,4,2,0,2,3,33,27,81.8,3
3,Kristoffer Ajer,NOR,DF,Brentford,23-196,1998,6.3,289,32,128,134,44,9,246,4,6,66.7,4,0,126,774,452,15,5,0,6,2,127,106,83.5,7
4,Nathan Aké,NED,DF,Manchester City,26-254,1995,3.0,243,13,83,141,38,2,237,0,0,,0,0,178,987,633,18,1,0,2,0,200,191,95.5,1
5,Marc Albrighton,ENG,"MF,FW",Leicester City,31-346,1989,2.1,87,5,18,35,38,2,70,3,7,42.9,4,1,54,266,104,6,1,2,4,5,82,48,58.5,9
6,Thiago Alcántara,ESP,MF,Liverpool,30-202,1991,2.0,164,4,30,102,42,4,161,0,0,,0,0,115,564,316,19,4,1,4,1,124,117,94.4,7
7,Trent Alexander-Arnold,ENG,DF,Liverpool,23-023,1998,6.7,663,18,126,331,237,15,555,4,10,40.0,4,0,386,1586,897,42,14,3,3,7,452,428,94.7,22
8,Alisson,BRA,GK,Liverpool,29-028,1992,8.0,313,252,309,4,0,0,249,1,1,100.0,1,0,158,550,304,0,0,0,0,0,154,154,100.0,0
9,Allan,BRA,MF,Everton,30-295,1991,8.8,411,34,144,219,72,4,392,5,8,62.5,5,0,240,1282,686,30,11,1,4,11,212,196,92.5,3
10,Dele Alli,ENG,MF,Tottenham,25-202,1996,5.5,239,17,59,126,67,16,232,5,15,33.3,7,1,151,612,326,15,5,0,8,13,182,140,76.9,19
11,Miguel Almirón,PAR,MF,Newcastle Utd,27-262,1994,6.7,256,7,59,108,110,19,253,6,14,42.9,10,1,189,1387,709,33,8,2,8,12,218,159,72.9,15
12,Marcos Alonso,ESP,DF,Chelsea,30-306,1990,5.9,405,25,117,142,160,16,339,3,9,33.3,3,0,235,1248,693,38,6,2,8,7,273,237,86.8,25
13,Steven Alzate,COL,MF,Brighton,23-052,1998,1.0,61,1,14,40,11,1,61,0,0,,0,0,47,227,109,4,3,0,1,2,41,37,90.2,2
14,Daniel Amartey,GHA,DF,Leicester City,26-313,1994,5.0,368,39,195,190,5,0,364,2,4,50.0,2,0,264,1151,747,15,0,0,2,0,276,273,98.9,0
15,Joachim Andersen,DEN,DF,Crystal Palace,25-152,1996,8.4,653,124,371,299,19,6,639,1,2,50.0,1,0,427,2295,1131,22,0,0,1,3,482,476,98.8,1
