,Squad,# Pl,90s,SCA,SCA 90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA 90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def
0,vs Arsenal,26,10.0,234,23.40,192,17,6,9,7,3,19,1.90,17,0,1,0,1,0
1,vs Aston Villa,23,9.0,216,24.00,156,15,14,9,16,6,25,2.78,16,1,2,3,2,1
2,vs Brentford,21,10.0,183,18.30,143,8,8,9,10,5,18,1.80,18,0,0,0,0,0
3,vs Brighton,21,10.0,212,21.20,163,15,10,10,12,2,20,2.00,14,2,0,2,2,0
4,vs Burnley,18,10.0,257,25.70,196,19,12,17,10,3,27,2.70,22,1,1,2,1,0
5,vs Chelsea,25,10.0,144,14.40,102,14,8,10,7,3,4,0.40,1,0,0,2,1,0
6,vs Crystal Palace,19,10.0,177,17.70,119,16,12,17,10,3,17,1.70,10,1,0,4,1,1
7,vs Everton,23,9.0,181,20.11,122,22,12,10,11,4,22,2.44,13,3,3,2,0,1
8,vs Leeds United,22,9.0,228,25.33,162,20,12,22,8,4,26,2.89,21,0,1,3,1,0
9,vs Leicester City,22,10.0,246,24.60,174,24,12,15,11,10,23,2.30,14,3,0,3,2,1
10,vs Liverpool,24,10.0,163,16.30,127,14,7,7,5,3,12,1.20,7,1,2,2,0,0
11,vs Manchester City,22,10.0,106,10.60,75,8,8,4,7,4,11,1.10,7,0,3,0,1,0
12,vs Manchester Utd,21,10.0,188,18.80,123,14,17,12,14,8,24,2.40,16,2,1,2,1,2
13,vs Newcastle Utd,22,10.0,260,26.00,193,18,12,24,12,1,39,3.90,28,2,1,5,3,0
14,vs Norwich City,21,9.0,224,24.89,168,18,9,12,10,7,32,3.56,26,0,0,4,1,1
15,vs Southampton,21,10.0,185,18.50,131,14,13,13,10,4,20,2.00,15,0,2,3,0,0
16,vs Tottenham,21,10.0,236,23.60,181,22,12,12,4,5,29,2.90,24,2,2,1,0,0
17,vs Watford,26,10.0,233,23.30,167,17,18,11,16,4,28,2.80,18,1,5,1,3,0
18,vs West Ham,18,9.0,165,18.33,126,13,8,11,3,4,16,1.78,10,0,1,4,0,1
19,vs Wolves,18,9.0,144,16.00,103,13,5,10,11,2,13,1.44,7,0,2,1,3,0
