,Squad,# Pl,90s,SCA,SCA 90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA 90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def
0,Arsenal,26,10.0,231,23.10,165,21,12,14,12,7,17,1.70,9,2,0,5,1,0
1,Aston Villa,23,9.0,151,16.78,96,20,13,9,11,2,21,2.33,13,3,2,2,1,0
2,Brentford,21,10.0,169,16.90,120,16,9,13,8,3,14,1.40,8,1,0,4,1,0
3,Brighton,21,10.0,193,19.30,137,22,11,9,11,3,19,1.90,12,2,1,1,3,0
4,Burnley,18,10.0,173,17.30,130,17,3,11,9,3,14,1.40,11,2,0,1,0,0
5,Chelsea,25,10.0,243,24.30,192,9,15,12,10,5,41,4.10,29,2,2,4,3,1
6,Crystal Palace,19,10.0,167,16.70,117,13,8,12,10,7,20,2.00,16,0,2,1,1,0
7,Everton,23,9.0,201,22.33,153,18,6,9,13,2,26,2.89,21,0,2,0,3,0
8,Leeds United,22,9.0,186,20.67,134,19,8,12,9,4,13,1.44,8,1,2,1,1,0
9,Leicester City,22,10.0,187,18.70,145,8,10,10,8,6,21,2.10,13,0,2,2,1,3
10,Liverpool,24,10.0,309,30.90,218,27,18,29,13,4,49,4.90,35,1,6,6,0,1
11,Manchester City,22,10.0,288,28.80,230,15,14,19,8,2,25,2.50,19,0,1,5,0,0
12,Manchester Utd,21,10.0,266,26.60,207,25,10,11,10,3,35,3.50,32,0,1,2,0,0
13,Newcastle Utd,22,10.0,171,17.10,117,19,10,14,7,4,18,1.80,16,0,0,1,0,1
14,Norwich City,21,9.0,134,14.89,94,11,7,8,11,3,4,0.44,3,0,0,0,1,0
15,Southampton,21,10.0,197,19.70,151,10,8,11,11,6,14,1.40,9,1,0,1,2,1
16,Tottenham,21,10.0,163,16.30,118,13,6,10,13,3,16,1.60,14,0,0,0,2,0
17,Watford,26,10.0,164,16.40,127,9,14,7,5,2,19,1.90,11,2,2,3,1,0
18,West Ham,18,9.0,211,23.44,147,21,10,17,7,9,25,2.78,18,2,1,3,0,1
19,Wolves,18,9.0,178,19.78,125,8,23,7,8,7,14,1.56,7,0,3,2,2,0
