,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Arsenal,26,9.0,13,133,38,28.6,14.78,4.22,0.10,0.34,15.8,2,0,0,14.6,14.6,0.11,-1.6,-1.6
1,vs Aston Villa,23,9.0,14,128,38,29.7,14.22,4.22,0.11,0.37,18.0,7,0,2,13.7,12.1,0.10,+0.3,+1.9
2,vs Brentford,20,9.0,9,99,29,29.3,11.00,3.22,0.09,0.31,17.9,6,0,0,9.2,9.2,0.09,-0.2,-0.2
3,vs Brighton,21,9.0,9,113,31,27.4,12.56,3.44,0.06,0.23,18.3,5,2,2,12.7,11.2,0.10,-3.7,-4.2
4,vs Burnley,18,9.0,15,146,40,27.4,16.22,4.44,0.10,0.38,16.5,5,0,0,14.8,14.8,0.10,+0.2,+0.2
5,vs Chelsea,25,9.0,3,99,28,28.3,11.00,3.11,0.01,0.04,16.2,1,2,2,10.3,9.2,0.10,-7.3,-8.2
6,vs Crystal Palace,19,9.0,14,108,40,37.0,12.00,4.44,0.13,0.35,16.5,6,0,0,10.0,10.0,0.10,+4.0,+4.0
7,vs Everton,23,9.0,13,123,38,30.9,13.67,4.22,0.11,0.34,17.8,4,0,0,12.0,12.0,0.10,+1.0,+1.0
8,vs Leeds United,22,9.0,15,142,48,33.8,15.78,5.33,0.10,0.29,16.9,5,1,1,15.7,15.0,0.11,-0.7,-1.0
9,vs Leicester City,22,9.0,14,145,42,29.0,16.11,4.67,0.08,0.29,16.2,4,2,2,14.0,12.5,0.09,0.0,-0.5
10,vs Liverpool,23,9.0,6,94,25,26.6,10.44,2.78,0.06,0.24,15.7,2,0,0,10.1,10.1,0.11,-4.1,-4.1
11,vs Manchester City,22,9.0,4,58,14,24.1,6.44,1.56,0.05,0.21,16.7,2,1,1,6.4,5.6,0.10,-2.4,-2.6
12,vs Manchester Utd,21,9.0,14,117,42,35.9,13.00,4.67,0.12,0.33,17.7,4,0,1,14.8,14.0,0.12,-0.8,0.0
13,vs Newcastle Utd,22,9.0,20,142,44,31.0,15.78,4.89,0.13,0.41,18.1,4,2,3,16.7,15.0,0.11,+3.3,+3.0
14,vs Norwich City,21,9.0,21,145,49,33.8,16.11,5.44,0.13,0.39,16.8,4,2,2,18.1,16.8,0.12,+2.9,+2.2
15,vs Southampton,20,9.0,12,105,33,31.4,11.67,3.67,0.11,0.36,15.4,5,0,0,12.6,12.6,0.12,-0.6,-0.6
16,vs Tottenham,21,9.0,12,135,38,28.1,15.00,4.22,0.08,0.29,16.4,3,1,1,11.8,11.0,0.08,+0.2,0.0
17,vs Watford,25,9.0,16,138,42,30.4,15.33,4.67,0.11,0.36,17.2,8,1,1,16.7,15.9,0.12,-0.7,-0.9
18,vs West Ham,18,9.0,10,110,35,31.8,12.22,3.89,0.09,0.29,15.6,1,0,0,9.5,9.5,0.09,+0.5,+0.5
19,vs Wolves,18,9.0,9,98,33,33.7,10.89,3.67,0.06,0.18,18.3,3,3,3,10.4,8.1,0.08,-1.4,-2.1
