,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Max Aarons,eng ENG,DF,Norwich City,21-295,2000,9.0,0,7,1,14.3,0.78,0.11,0.00,0.00,22.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
1,Che Adams,sct SCO,"FW,MF",Southampton,25-105,1996,4.4,0,8,3,37.5,1.84,0.69,0.00,0.00,16.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6
2,Rayan Aït Nouri,fr FRA,"DF,FW",Wolves,20-142,2001,1.0,0,2,1,50.0,2.02,1.01,0.00,0.00,14.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
3,Kristoffer Ajer,no NOR,DF,Brentford,23-192,1998,6.3,0,2,0,0.0,0.32,0.00,0.00,,9.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2
4,Nathan Aké,nl NED,DF,Manchester City,26-250,1995,3.0,0,1,0,0.0,0.33,0.00,0.00,,6.0,0,0,0,0.2,0.2,0.20,-0.2,-0.2
5,Marc Albrighton,eng ENG,"MF,FW",Leicester City,31-342,1989,2.1,1,1,1,100.0,0.47,0.47,1.00,1.00,17.2,0,0,0,0.0,0.0,0.04,+1.0,+1.0
6,Thiago Alcántara,es ESP,MF,Liverpool,30-198,1991,2.0,0,5,1,20.0,2.54,0.51,0.00,0.00,18.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
7,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-019,1998,6.7,0,14,4,28.6,2.09,0.60,0.00,0.00,23.5,3,0,0,0.7,0.7,0.05,-0.7,-0.7
8,Alisson,br BRA,GK,Liverpool,29-024,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
9,Allan,br BRA,MF,Everton,30-291,1991,8.8,0,3,1,33.3,0.34,0.11,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
10,Dele Alli,eng ENG,MF,Tottenham,25-198,1996,5.5,1,3,1,33.3,0.55,0.18,0.00,0.00,19.6,0,1,1,1.1,0.3,0.10,-0.1,-0.3
11,Miguel Almirón,py PAR,MF,Newcastle Utd,27-258,1994,6.7,0,7,1,14.3,1.05,0.15,0.00,0.00,19.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6
12,Marcos Alonso,es ESP,DF,Chelsea,30-302,1990,5.9,1,10,3,30.0,1.68,0.50,0.10,0.33,17.8,3,0,0,0.8,0.8,0.08,+0.2,+0.2
13,Steven Alzate,co COL,MF,Brighton,23-048,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Daniel Amartey,gh GHA,DF,Leicester City,26-309,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
15,Joachim Andersen,dk DEN,DF,Crystal Palace,25-148,1996,8.4,0,1,0,0.0,0.12,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.05,0.0,0.0
16,Michail Antonio,jm JAM,FW,West Ham,31-212,1990,7.9,6,33,11,33.3,4.15,1.38,0.18,0.55,13.4,0,0,1,4.9,4.7,0.14,+1.1,+1.3
17,Cameron Archer,eng ENG,"MF,FW",Aston Villa,20-097,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
18,Adam Armstrong,eng ENG,FW,Southampton,24-258,1997,6.8,1,21,7,33.3,3.07,1.02,0.05,0.14,18.5,0,0,0,1.7,1.7,0.08,-0.7,-0.7
19,Stuart Armstrong,sct SCO,MF,Southampton,29-210,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
20,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-023,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-130,1989,6.8,4,19,8,42.1,2.81,1.18,0.21,0.50,14.8,0,0,1,3.0,2.1,0.11,+1.0,+1.9
22,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30-045,1991,6.5,0,13,2,15.4,2.00,0.31,0.00,0.00,18.0,1,0,0,0.9,0.9,0.07,-0.9,-0.9
23,Luke Ayling,eng ENG,DF,Leeds United,30-062,1991,5.0,1,4,1,25.0,0.80,0.20,0.25,1.00,19.2,0,0,0,0.2,0.2,0.05,+0.8,+0.8
24,César Azpilicueta,es ESP,DF,Chelsea,32-059,1989,7.0,0,2,0,0.0,0.29,0.00,0.00,,14.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2
25,Daniel Bachmann,at AUT,GK,Watford,27-109,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
