,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,26,9.0,10,132,39,29.5,14.67,4.33,0.08,0.26,17.5,6,0,1,11.7,10.8,0.09,-1.7,-0.8
1,Aston Villa,23,9.0,12,104,31,29.8,11.56,3.44,0.10,0.32,17.4,4,2,2,10.4,9.0,0.09,+1.6,+1.0
2,Brentford,20,9.0,11,103,30,29.1,11.44,3.33,0.10,0.33,14.9,2,1,1,12.3,11.5,0.11,-1.3,-1.5
3,Brighton,21,9.0,9,105,30,28.6,11.67,3.33,0.07,0.23,16.8,5,2,2,9.6,8.2,0.08,-0.6,-1.2
4,Burnley,18,9.0,6,103,30,29.1,11.44,3.33,0.06,0.20,16.2,3,0,0,9.2,9.2,0.09,-3.2,-3.2
5,Chelsea,25,9.0,22,124,48,38.7,13.78,5.33,0.17,0.44,16.9,7,1,1,15.1,14.5,0.12,+6.9,+6.5
6,Crystal Palace,19,9.0,11,100,26,26.0,11.11,2.89,0.09,0.35,16.3,3,2,2,10.2,8.6,0.09,+0.8,+0.4
7,Everton,23,9.0,15,120,35,29.2,13.33,3.89,0.10,0.34,16.5,3,3,3,14.4,12.1,0.10,+0.6,-0.1
8,Leeds United,22,9.0,8,126,33,26.2,14.00,3.67,0.06,0.21,18.4,1,1,1,12.3,11.5,0.09,-4.3,-4.5
9,Leicester City,22,9.0,15,108,38,35.2,12.00,4.22,0.14,0.39,16.8,1,0,0,14.3,14.3,0.14,+0.7,+0.7
10,Liverpool,23,9.0,27,184,61,33.2,20.44,6.78,0.14,0.43,15.4,4,1,1,25.3,25.0,0.14,+1.7,+1.0
11,Manchester City,22,9.0,19,165,52,31.5,18.33,5.78,0.12,0.37,15.5,5,0,0,20.8,20.8,0.13,-1.8,-1.8
12,Manchester Utd,21,9.0,16,149,49,32.9,16.56,5.44,0.11,0.33,17.6,4,0,1,13.7,13.0,0.09,+2.3,+3.0
13,Newcastle Utd,22,9.0,10,107,29,27.1,11.89,3.22,0.09,0.34,16.9,3,0,0,9.5,9.5,0.09,+0.5,+0.5
14,Norwich City,21,9.0,2,89,19,21.3,9.89,2.11,0.01,0.05,19.6,7,1,1,7.0,6.2,0.07,-5.0,-5.2
15,Southampton,20,9.0,7,114,30,26.3,12.67,3.33,0.04,0.17,18.2,5,2,2,12.7,11.2,0.10,-5.7,-6.2
16,Tottenham,21,9.0,8,95,37,38.9,10.56,4.11,0.07,0.19,18.2,7,1,1,9.6,8.9,0.09,-1.6,-1.9
17,Watford,25,9.0,12,98,34,34.7,10.89,3.78,0.12,0.35,18.0,2,0,0,9.9,9.9,0.10,+2.1,+2.1
18,West Ham,18,9.0,15,142,43,30.3,15.78,4.78,0.11,0.35,16.0,5,0,2,14.4,13.3,0.09,+0.6,+1.7
19,Wolves,18,9.0,8,110,33,30.0,12.22,3.67,0.07,0.24,17.2,4,0,0,11.9,11.9,0.11,-3.9,-3.9
