,No.,Player,Pos,DoB,Val,Team
0,31,Ederson,Goalkeeper,"Aug 17, 1993 (28)",€50.00m,Man City
1,13,Zack Steffen,Goalkeeper,"Apr 2, 1995 (26)",€6.00m,Man City
2,33,Scott Carson,Goalkeeper,"Sep 3, 1985 (36)",€300Th.,Man City
3,3,Rúben Dias,Centre-Back,"May 14, 1997 (24)",€75.00m,Man City
4,14,Aymeric Laporte,Centre-Back,"May 27, 1994 (27)",€45.00m,Man City
5,6,Nathan Aké,Centre-Back,"Feb 18, 1995 (26)",€32.00m,Man City
6,5,John Stones,Centre-Back,"May 28, 1994 (27)",€30.00m,Man City
7,11,Oleksandr Zinchenko,Left-Back,"Dec 15, 1996 (24)",€28.00m,Man City
8,22,Benjamin Mendy,Left-Back,"Jul 17, 1994 (27)",€10.00m,Man City
9,27,João Cancelo,Right-Back,"May 27, 1994 (27)",€55.00m,Man City
10,2,Kyle Walker,Right-Back,"May 28, 1990 (31)",€28.00m,Man City
11,16,Rodri,Defensive Midfield,"Jun 22, 1996 (25)",€70.00m,Man City
12,25,Fernandinho,Defensive Midfield,"May 4, 1985 (36)",€2.00m,Man City
13,47,Phil Foden,Central Midfield,"May 28, 2000 (21)",€80.00m,Man City
14,8,Ilkay Gündogan,Central Midfield,"Oct 24, 1990 (31)",€40.00m,Man City
15,17,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991 (30)",€100.00m,Man City
16,20,Bernardo Silva,Attacking Midfield,"Aug 10, 1994 (27)",€70.00m,Man City
17,10,Jack Grealish,Left Winger,"Sep 10, 1995 (26)",€100.00m,Man City
18,7,Raheem Sterling,Left Winger,"Dec 8, 1994 (26)",€90.00m,Man City
19,21,Ferran Torres,Right Winger,"Feb 29, 2000 (21)",€50.00m,Man City
20,26,Riyad Mahrez,Right Winger,"Feb 21, 1991 (30)",€42.00m,Man City
21,37,Kayky,Right Winger,"Jun 11, 2003 (18)",€14.00m,Man City
22,9,Gabriel Jesus,Centre-Forward,"Apr 3, 1997 (24)",€60.00m,Man City
23,16,Edouard Mendy,Goalkeeper,"Mar 1, 1992 (29)",€30.00m,Chelsea
24,1,Kepa Arrizabalaga,Goalkeeper,"Oct 3, 1994 (27)",€13.00m,Chelsea
25,13,Marcus Bettinelli,Goalkeeper,"May 24, 1992 (29)",€2.50m,Chelsea
26,2,Antonio Rüdiger,Centre-Back,"Mar 3, 1993 (28)",€35.00m,Chelsea
27,4,Andreas Christensen,Centre-Back,"Apr 10, 1996 (25)",€35.00m,Chelsea
28,14,Trevoh Chalobah,Centre-Back,"Jul 5, 1999 (22)",€10.00m,Chelsea
29,31,Malang Sarr,Centre-Back,"Jan 23, 1999 (22)",€7.50m,Chelsea
30,6,Thiago Silva,Centre-Back,"Sep 22, 1984 (37)",€3.00m,Chelsea
31,21,Ben Chilwell,Left-Back,"Dec 21, 1996 (24)",€38.00m,Chelsea
32,3,Marcos Alonso,Left-Back,"Dec 28, 1990 (30)",€15.00m,Chelsea
33,24,Reece James,Right-Back,"Dec 8, 1999 (21)",€45.00m,Chelsea
34,28,César Azpilicueta,Right-Back,"Aug 28, 1989 (32)",€13.00m,Chelsea
35,7,N'Golo Kanté,Defensive Midfield,"Mar 29, 1991 (30)",€55.00m,Chelsea
36,5,Jorginho,Defensive Midfield,"Dec 20, 1991 (29)",€45.00m,Chelsea
37,8,Mateo Kovacic,Central Midfield,"May 6, 1994 (27)",€45.00m,Chelsea
38,17,Saúl Ñíguez,Central Midfield,"Nov 21, 1994 (26)",€40.00m,Chelsea
39,12,Ruben Loftus-Cheek,Central Midfield,"Jan 23, 1996 (25)",€18.00m,Chelsea
40,18,Ross Barkley,Central Midfield,"Dec 5, 1993 (27)",€17.00m,Chelsea
41,32,Lewis Baker,Central Midfield,"Apr 25, 1995 (26)",€3.50m,Chelsea
42,19,Mason Mount,Attacking Midfield,"Jan 10, 1999 (22)",€75.00m,Chelsea
43,29,Kai Havertz,Attacking Midfield,"Jun 11, 1999 (22)",€70.00m,Chelsea
44,22,Hakim Ziyech,Attacking Midfield,"Mar 19, 1993 (28)",€38.00m,Chelsea
45,-,Charly Musonda Jr.,Attacking Midfield,"Oct 15, 1996 (25)",€1.00m,Chelsea
46,10,Christian Pulisic,Right Winger,"Sep 18, 1998 (23)",€50.00m,Chelsea
47,20,Callum Hudson-Odoi,Right Winger,"Nov 7, 2000 (20)",€32.00m,Chelsea
48,9,Romelu Lukaku,Centre-Forward,"May 13, 1993 (28)",€100.00m,Chelsea
49,11,Timo Werner,Centre-Forward,"Mar 6, 1996 (25)",€55.00m,Chelsea
50,31,Ederson,Goalkeeper,"Aug 17, 1993 (28)",€50.00m,Man City
51,13,Zack Steffen,Goalkeeper,"Apr 2, 1995 (26)",€6.00m,Man City
52,33,Scott Carson,Goalkeeper,"Sep 3, 1985 (36)",€300Th.,Man City
53,3,Rúben Dias,Centre-Back,"May 14, 1997 (24)",€75.00m,Man City
54,14,Aymeric Laporte,Centre-Back,"May 27, 1994 (27)",€45.00m,Man City
55,6,Nathan Aké,Centre-Back,"Feb 18, 1995 (26)",€32.00m,Man City
56,5,John Stones,Centre-Back,"May 28, 1994 (27)",€30.00m,Man City
57,11,Oleksandr Zinchenko,Left-Back,"Dec 15, 1996 (24)",€28.00m,Man City
58,22,Benjamin Mendy,Left-Back,"Jul 17, 1994 (27)",€10.00m,Man City
59,27,João Cancelo,Right-Back,"May 27, 1994 (27)",€55.00m,Man City
60,2,Kyle Walker,Right-Back,"May 28, 1990 (31)",€28.00m,Man City
61,16,Rodri,Defensive Midfield,"Jun 22, 1996 (25)",€70.00m,Man City
62,25,Fernandinho,Defensive Midfield,"May 4, 1985 (36)",€2.00m,Man City
63,47,Phil Foden,Central Midfield,"May 28, 2000 (21)",€80.00m,Man City
64,8,Ilkay Gündogan,Central Midfield,"Oct 24, 1990 (31)",€40.00m,Man City
65,17,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991 (30)",€100.00m,Man City
66,20,Bernardo Silva,Attacking Midfield,"Aug 10, 1994 (27)",€70.00m,Man City
67,10,Jack Grealish,Left Winger,"Sep 10, 1995 (26)",€100.00m,Man City
68,7,Raheem Sterling,Left Winger,"Dec 8, 1994 (26)",€90.00m,Man City
69,21,Ferran Torres,Right Winger,"Feb 29, 2000 (21)",€50.00m,Man City
70,26,Riyad Mahrez,Right Winger,"Feb 21, 1991 (30)",€42.00m,Man City
71,37,Kayky,Right Winger,"Jun 11, 2003 (18)",€14.00m,Man City
72,9,Gabriel Jesus,Centre-Forward,"Apr 3, 1997 (24)",€60.00m,Man City
73,28,Angus Gunn,Goalkeeper,"Jan 22, 1996 (25)",€3.00m,Norwich
74,1,Tim Krul,Goalkeeper,"Apr 3, 1988 (33)",€2.50m,Norwich
75,33,Michael McGovern,Goalkeeper,"Jul 12, 1984 (37)",€250Th.,Norwich
76,15,Ozan Kabak,Centre-Back,"Mar 25, 2000 (21)",€17.00m,Norwich
77,4,Ben Gibson,Centre-Back,"Jan 15, 1993 (28)",€7.00m,Norwich
78,5,Grant Hanley,Centre-Back,"Nov 20, 1991 (29)",€4.00m,Norwich
79,6,Christoph Zimmermann,Centre-Back,"Jan 12, 1993 (28)",€1.80m,Norwich
80,44,Andrew Omobamidele,Centre-Back,"Jun 23, 2002 (19)",€1.20m,Norwich
81,-,Rocky Bushiri,Centre-Back,"Nov 30, 1999 (21)",€600Th.,Norwich
82,21,Brandon Williams,Left-Back,"Sep 3, 2000 (21)",€10.00m,Norwich
83,30,Dimitrios Giannoulis,Left-Back,"Oct 17, 1995 (26)",€7.00m,Norwich
84,2,Max Aarons,Right-Back,"Jan 4, 2000 (21)",€22.00m,Norwich
85,3,Sam Byram,Right-Back,"Sep 16, 1993 (28)",€2.00m,Norwich
86,26,Bali Mumba,Right-Back,"Oct 8, 2001 (20)",€500Th.,Norwich
87,16,Mathias Normann,Defensive Midfield,"May 28, 1996 (25)",€13.00m,Norwich
88,19,Jacob Lungi Sörensen,Defensive Midfield,"Mar 3, 1998 (23)",€1.80m,Norwich
89,8,Billy Gilmour,Central Midfield,"Jun 11, 2001 (20)",€15.00m,Norwich
90,20,Pierre Lees-Melou,Central Midfield,"May 25, 1993 (28)",€7.00m,Norwich
91,23,Kenny McLean,Central Midfield,"Jan 8, 1992 (29)",€3.00m,Norwich
92,7,Lukas Rupp,Central Midfield,"Jan 8, 1991 (30)",€1.80m,Norwich
93,14,Todd Cantwell,Left Midfield,"Feb 27, 1998 (23)",€22.00m,Norwich
94,10,Kieran Dowell,Attacking Midfield,"Oct 10, 1997 (24)",€3.00m,Norwich
