,Unnamed: 0,No.,Player,Pos,DoB,Val,Team,CleanVal
0,0,31,Ederson,Goalkeeper,"Aug 17, 1993 (28)",€50.00m,Man City,50000000.0
1,1,13,Zack Steffen,Goalkeeper,"Apr 2, 1995 (26)",€6.00m,Man City,6000000.0
2,2,33,Scott Carson,Goalkeeper,"Sep 3, 1985 (36)",€300Th.,Man City,300000.0
3,3,3,Rúben Dias,Centre-Back,"May 14, 1997 (24)",€75.00m,Man City,75000000.0
4,4,14,Aymeric Laporte,Centre-Back,"May 27, 1994 (27)",€45.00m,Man City,45000000.0
5,5,6,Nathan Aké,Centre-Back,"Feb 18, 1995 (26)",€32.00m,Man City,32000000.0
6,6,5,John Stones,Centre-Back,"May 28, 1994 (27)",€30.00m,Man City,30000000.0
7,7,11,Oleksandr Zinchenko,Left-Back,"Dec 15, 1996 (24)",€28.00m,Man City,28000000.0
8,8,22,Benjamin Mendy,Left-Back,"Jul 17, 1994 (27)",€10.00m,Man City,10000000.0
9,9,27,João Cancelo,Right-Back,"May 27, 1994 (27)",€55.00m,Man City,55000000.0
10,10,2,Kyle Walker,Right-Back,"May 28, 1990 (31)",€28.00m,Man City,28000000.0
11,11,16,Rodri,Defensive Midfield,"Jun 22, 1996 (25)",€70.00m,Man City,70000000.0
12,12,25,Fernandinho,Defensive Midfield,"May 4, 1985 (36)",€2.00m,Man City,2000000.0
13,13,47,Phil Foden,Central Midfield,"May 28, 2000 (21)",€80.00m,Man City,80000000.0
14,14,8,Ilkay Gündogan,Central Midfield,"Oct 24, 1990 (31)",€40.00m,Man City,40000000.0
15,15,17,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991 (30)",€100.00m,Man City,100000000.0
16,16,20,Bernardo Silva,Attacking Midfield,"Aug 10, 1994 (27)",€70.00m,Man City,70000000.0
17,17,10,Jack Grealish,Left Winger,"Sep 10, 1995 (26)",€100.00m,Man City,100000000.0
18,18,7,Raheem Sterling,Left Winger,"Dec 8, 1994 (26)",€90.00m,Man City,90000000.0
19,19,21,Ferran Torres,Right Winger,"Feb 29, 2000 (21)",€50.00m,Man City,50000000.0
20,20,26,Riyad Mahrez,Right Winger,"Feb 21, 1991 (30)",€42.00m,Man City,42000000.0
