,Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team,Goals scored,Assists,Goals and Assists,Unnamed: 0,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,Total points,Costs,PPG,Positions,Points per mil
0,251,De Bruyne,de bruyne,44.4,28.8,23.0,9.6,Man City,2,0,2,6,Kevin De Bruyne,Manchester City ,4,284,2,0,0.71,1.11,0.22,0.35,24.0,12.0,4.8,MID,2.0
1,296,Wilson,wilson,43.0,24.5,25.0,9.3,Newcastle,3,0,3,18,Callum Wilson,Newcastle United ,1,85,1,0,0.43,0.04,0.46,0.04,24.0,7.3,6.0,FWD,3.29
2,4,Aubameyang,aubameyang,40.0,15.8,35.0,9.1,Arsenal,3,0,3,5,Pierre-Emerick Aubameyang,Arsenal ,4,343,2,0,0.83,0.38,0.22,0.1,31.0,9.9,4.4,FWD,3.13
3,221,Milner,milner,36.2,48.5,6.0,9.1,Liverpool,0,1,1,89,James Milner,Liverpool ,3,253,0,1,0.16,1.15,0.06,0.41,13.0,4.9,3.2,MID,2.65
4,254,Mahrez,mahrez,9.4,34.3,45.0,8.9,Man City,1,1,2,132,Riyad Mahrez,Manchester City ,3,118,0,0,0.32,0.17,0.24,0.13,17.0,8.7,2.8,MID,1.95
5,213,Iheanacho,iheanacho,23.8,15.3,48.0,8.7,Leicester,1,2,3,27,Kelechi Iheanacho,Leicester ,4,191,1,2,0.60,0.77,0.28,0.36,23.0,7.0,2.9,FWD,3.29
6,429,Coady,coady,48.6,0.3,35.0,8.4,Wolves,1,0,1,58,Conor Coady,Wolverhampton Wanderers ,4,360,1,0,0.59,0.00,0.15,0.0,27.0,4.5,3.4,DEF,6.0
7,337,Ings,ings,41.6,1.5,38.0,8.1,Aston Villa,3,2,5,32,Danny Ings,Aston Villa ,4,352,1,1,0.84,0.10,0.22,0.03,37.0,7.8,4.6,FWD,4.74
8,230,Mané,mane,38.2,8.7,33.0,8.0,Liverpool,5,1,6,3,Sadio Mané,Liverpool ,4,360,3,0,1.79,0.38,0.45,0.09,49.0,11.9,6.1,MID,4.12
9,40,Watkins,watkins,8.6,22.7,48.0,7.9,Aston Villa,1,1,2,70,Ollie Watkins,Aston Villa ,4,360,1,0,1.25,0.08,0.31,0.02,17.0,7.3,2.8,FWD,2.33
10,516,Sargent,sargent,8.2,34.5,36.0,7.9,Norwich,0,0,0,287,Joshua Sargent,Norwich ,4,331,0,0,0.40,0.27,0.11,0.07,11.0,5.4,1.6,FWD,2.04
11,484,Gray,gray,16.0,36.2,27.0,7.9,Everton,3,1,4,135,Demarai Gray,Everton ,4,355,0,1,0.46,0.69,0.12,0.17,38.0,5.8,4.8,MID,6.55
12,135,Chilwell,chilwell,53.4,4.8,19.0,7.7,Chelsea,2,0,2,9,Ben Chilwell,Chelsea ,2,180,2,0,0.65,0.23,0.33,0.11,23.0,5.7,11.5,DEF,4.04
13,217,Söyüncü,soyuncu,42.4,0.5,34.0,7.7,Leicester,1,0,1,51,Caglar Söyüncü,Leicester ,4,360,1,0,0.76,0.00,0.19,0.0,19.0,4.9,2.4,DEF,3.88
14,365,Højbjerg,højbjerg,46.2,22.6,7.0,7.6,Spurs,1,1,2,17,Pierre-Emile Højbjerg,Tottenham ,4,360,1,1,0.08,0.29,0.02,0.07,29.0,4.9,3.6,MID,5.92
15,91,Pinnock,pinnock,20.4,25.8,29.0,7.5,Brentford,1,1,2,72,Ethan Pinnock,Brentford ,4,312,1,0,0.79,0.75,0.23,0.22,40.0,4.6,5.0,DEF,8.7
16,149,Benteke,benteke,42.6,0.7,30.0,7.3,Crystal Palace,1,1,2,26,Christian Benteke,Crystal Palace ,4,175,1,0,0.29,0.42,0.15,0.22,22.0,6.3,2.8,FWD,3.49
