,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
248,Robertson,7.0,69,DEF,4.9,LIV,9.86,robertson
53,Canós,5.5,54,MID,3.4,BRE,9.82,canos
63,Mbeumo,5.4,53,MID,3.3,BRE,9.81,mbeumo
370,Broja,5.2,51,FWD,3.6,SOU,9.81,broja
425,Cresswell,5.3,52,DEF,4.0,WHU,9.81,cresswell
108,Taylor,4.4,43,DEF,3.1,BUR,9.77,taylor
446,Marçal,4.2,41,DEF,4.1,WOL,9.76,marcal
358,Ward-Prowse,6.3,61,MID,3.8,SOU,9.68,ward-prowse
417,King,5.8,56,FWD,4.0,WAT,9.66,king
128,Chilwell,5.6,54,DEF,9.0,CHE,9.64,chilwell
120,Kovacic,5.0,48,MID,4.4,CHE,9.60,kovacic
81,Maupay,6.4,61,FWD,4.1,BHA,9.53,maupay
456,Ait Nouri,4.3,41,DEF,4.6,WOL,9.53,ait nouri
115,Azpilicueta,5.7,54,DEF,4.5,CHE,9.47,azpilicueta
264,Gündogan,7.3,69,MID,5.3,MCI,9.45,gundogan
159,Andersen,4.5,42,DEF,3.0,CRY,9.33,andersen
279,Rodrigo,5.5,51,MID,3.2,MCI,9.27,rodrigo
263,Walker,5.5,51,DEF,4.2,MCI,9.27,walker
377,Son,10.5,96,MID,6.4,TOT,9.14,son
411,Sarr,5.8,53,MID,4.4,WAT,9.14,sarr
41,Ramsey,4.6,42,MID,2.6,AVL,9.13,ramsey
213,Cooper,4.5,41,DEF,2.7,LEE,9.11,cooper
289,Fred,5.0,45,MID,3.2,MUN,9.00,fred
147,Zaha,6.8,61,MID,3.6,CRY,8.97,zaha
190,Schmeichel,4.8,43,GKP,2.5,LEI,8.96,schmeichel
168,Allan,4.4,39,MID,2.6,EVE,8.86,allan
107,Pope,5.4,47,GKP,3.1,BUR,8.70,pope
126,Christensen,4.6,40,DEF,3.3,CHE,8.70,christensen
40,Douglas Luiz,4.5,39,MID,2.8,AVL,8.67,douglas luiz
335,Hanley,4.4,38,DEF,2.5,NOR,8.64,hanley
217,Dallas,5.0,43,MID,2.4,LEE,8.60,dallas
442,Moutinho,4.9,42,MID,2.3,WOL,8.57,moutinho
458,Hwang,5.5,47,FWD,3.4,WOL,8.55,hwang
51,Toney,6.6,56,FWD,3.7,BRE,8.48,toney
157,Ward,4.5,38,DEF,2.2,CRY,8.44,ward
89,Moder,4.5,38,MID,2.4,BHA,8.44,moder
50,Nørgaard,5.0,42,MID,2.5,BRE,8.40,nørgaard
80,Veltman,4.2,35,DEF,2.7,BHA,8.33,veltman
380,Lucas Moura,6.5,54,MID,3.6,TOT,8.31,lucas moura
219,Llorente,4.5,37,DEF,2.8,LEE,8.22,llorente
424,Ogbonna,4.9,40,DEF,3.6,WHU,8.16,ogbonna
258,Tsimikas,3.7,30,DEF,4.3,LIV,8.11,tsimikas
372,A.Armstrong,5.8,47,FWD,3.1,SOU,8.10,a.armstrong
366,Salisu,4.5,36,DEF,2.1,SOU,8.00,salisu
355,Redmond,5.9,47,MID,3.1,SOU,7.97,redmond
312,Wilson,7.4,59,FWD,3.9,NEW,7.97,wilson
33,Watkins,7.9,63,FWD,3.9,AVL,7.97,watkins
267,Mahrez,8.6,68,MID,4.5,MCI,7.91,mahrez
52,Raya,4.3,34,GKP,3.8,BRE,7.91,raya
10,Partey,5.0,39,MID,2.6,ARS,7.80,partey
143,Benteke,6.3,49,FWD,2.9,CRY,7.78,benteke
96,Tarkowski,4.9,38,DEF,2.7,BUR,7.76,tarkowski
449,Neves,5.3,41,MID,2.4,WOL,7.74,neves
338,Aarons,4.3,33,DEF,1.8,NOR,7.67,aarons
142,McArthur,4.3,33,MID,3.0,CRY,7.67,mcarthur
278,Foden,8.1,62,MID,5.2,MCI,7.65,foden
244,Mané,11.8,89,MID,4.9,LIV,7.54,mane
202,Barnes,6.5,49,MID,3.5,LEI,7.54,barnes
359,Walker-Peters,4.8,36,DEF,2.6,SOU,7.50,walker-peters
444,Jiménez,7.5,56,FWD,3.3,WOL,7.47,jimenez
276,Jesus,8.7,65,FWD,4.3,MCI,7.47,jesus
113,Cornet,5.9,44,MID,4.9,BUR,7.46,cornet
162,Edouard,6.3,47,FWD,3.1,CRY,7.46,edouard
193,Vardy,10.4,77,FWD,5.1,LEI,7.40,vardy
300,Greenwood,7.2,52,MID,4.0,MUN,7.22,greenwood
19,Tavares,4.3,31,DEF,2.4,ARS,7.21,tavares
317,Manquillo,3.9,28,DEF,2.3,NEW,7.18,manquillo
228,James,6.0,43,MID,2.7,LEE,7.17,james
334,McLean,4.9,35,MID,2.1,NOR,7.14,mclean
