,Spurs,Spurs fix,Spurs home/away,Leicester,Leicester fix,Leicester home/away,Burnley,Burnley fix,Burnley home/away,Newcastle,Newcastle fix,Newcastle home/away,Watford,Watford fix,Watford home/away,Brentford,Brentford fix,Brentford home/away,Arsenal,Arsenal fix,Arsenal home/away,Chelsea,Chelsea fix,Chelsea home/away,Southampton,Southampton fix,Southampton home/away,Wolves,Wolves fix,Wolves home/away,Liverpool,Liverpool fix,Liverpool home/away,Leeds,Leeds fix,Leeds home/away,Norwich,Norwich fix,Norwich home/away,Man City,Man City fix,Man City home/away,Brighton,Brighton fix,Brighton home/away,Man Utd,Man Utd fix,Man Utd home/away,Aston Villa,Aston Villa fix,Aston Villa home/away,West Ham,West Ham fix,West Ham home/away,Everton,Everton fix,Everton home/away,Crystal Palace,Crystal Palace fix,Crystal Palace home/away
0,Man City,2021-08-16 02:30:00,Home,Wolves,2021-08-15 01:00:00,Home,Brighton,2021-08-15 01:00:00,Home,West Ham,2021-08-16 00:00:00,Home,Aston Villa,2021-08-15 01:00:00,Home,Arsenal,2021-08-14 06:00:00,Home,Brentford,2021-08-14 06:00:00,Away,Crystal Palace,2021-08-15 01:00:00,Home,Everton,2021-08-15 01:00:00,Away,Leicester,2021-08-15 01:00:00,Away,Norwich,2021-08-15 03:30:00,Away,Man Utd,2021-08-14 22:30:00,Away,Liverpool,2021-08-15 03:30:00,Home,Spurs,2021-08-16 02:30:00,Away,Burnley,2021-08-15 01:00:00,Away,Leeds,2021-08-14 22:30:00,Home,Watford,2021-08-15 01:00:00,Away,Newcastle,2021-08-16 00:00:00,Away,Southampton,2021-08-15 01:00:00,Home,Chelsea,2021-08-15 01:00:00,Away
1,Wolves,2021-08-23 00:00:00,Away,West Ham,2021-08-24 06:00:00,Away,Liverpool,2021-08-21 22:30:00,Away,Aston Villa,2021-08-22 01:00:00,Away,Brighton,2021-08-22 03:30:00,Away,Crystal Palace,2021-08-22 01:00:00,Away,Chelsea,2021-08-23 02:30:00,Home,Arsenal,2021-08-23 02:30:00,Away,Man Utd,2021-08-23 00:00:00,Home,Spurs,2021-08-23 00:00:00,Home,Burnley,2021-08-21 22:30:00,Home,Everton,2021-08-22 01:00:00,Home,Man City,2021-08-22 01:00:00,Away,Norwich,2021-08-22 01:00:00,Home,Watford,2021-08-22 03:30:00,Home,Southampton,2021-08-23 00:00:00,Away,Newcastle,2021-08-22 01:00:00,Home,Leicester,2021-08-24 06:00:00,Home,Leeds,2021-08-22 01:00:00,Away,Brentford,2021-08-22 01:00:00,Home
2,Watford,2021-08-30 00:00:00,Home,Norwich,2021-08-29 01:00:00,Away,Leeds,2021-08-30 00:00:00,Home,Southampton,2021-08-29 01:00:00,Home,Spurs,2021-08-30 00:00:00,Away,Aston Villa,2021-08-29 01:00:00,Away,Man City,2021-08-28 22:30:00,Away,Liverpool,2021-08-29 03:30:00,Away,Newcastle,2021-08-29 01:00:00,Away,Man Utd,2021-08-30 02:30:00,Home,Chelsea,2021-08-29 03:30:00,Home,Burnley,2021-08-30 00:00:00,Away,Leicester,2021-08-29 01:00:00,Home,Arsenal,2021-08-28 22:30:00,Home,Everton,2021-08-29 01:00:00,Home,Wolves,2021-08-30 02:30:00,Away,Brentford,2021-08-29 01:00:00,Home,Crystal Palace,2021-08-29 01:00:00,Home,Brighton,2021-08-29 01:00:00,Away,West Ham,2021-08-29 01:00:00,Away
3,Crystal Palace,2021-11-09 22:30:00,Away,Man City,2021-11-10 01:00:00,Home,Everton,2021-09-14 06:00:00,Away,Man Utd,2021-11-10 01:00:00,Away,Wolves,2021-11-10 01:00:00,Home,Brighton,2021-11-10 01:00:00,Home,Norwich,2021-11-10 01:00:00,Home,Aston Villa,2021-11-10 03:30:00,Home,West Ham,2021-11-10 01:00:00,Home,Watford,2021-11-10 01:00:00,Away,Leeds,2021-12-10 02:30:00,Away,Liverpool,2021-12-10 02:30:00,Home,Arsenal,2021-11-10 01:00:00,Away,Leicester,2021-11-10 01:00:00,Away,Brentford,2021-11-10 01:00:00,Away,Newcastle,2021-11-10 01:00:00,Home,Chelsea,2021-11-10 03:30:00,Away,Southampton,2021-11-10 01:00:00,Away,Burnley,2021-09-14 06:00:00,Home,Spurs,2021-11-09 22:30:00,Home
4,Chelsea,2021-09-20 02:30:00,Home,Brighton,2021-09-20 00:00:00,Away,Arsenal,2021-09-19 01:00:00,Home,Leeds,2021-09-18 06:00:00,Home,Norwich,2021-09-19 01:00:00,Away,Wolves,2021-09-18 22:30:00,Away,Burnley,2021-09-19 01:00:00,Away,Spurs,2021-09-20 02:30:00,Away,Man City,2021-09-19 01:00:00,Away,Brentford,2021-09-18 22:30:00,Home,Crystal Palace,2021-09-19 01:00:00,Home,Newcastle,2021-09-18 06:00:00,Away,Watford,2021-09-19 01:00:00,Home,Southampton,2021-09-19 01:00:00,Home,Leicester,2021-09-20 00:00:00,Home,West Ham,2021-09-20 00:00:00,Away,Everton,2021-09-19 03:30:00,Home,Man Utd,2021-09-20 00:00:00,Home,Aston Villa,2021-09-19 03:30:00,Away,Liverpool,2021-09-19 01:00:00,Away
5,Arsenal,2021-09-27 02:30:00,Away,Burnley,2021-09-26 01:00:00,Home,Leicester,2021-09-26 01:00:00,Away,Watford,2021-09-26 01:00:00,Away,Newcastle,2021-09-26 01:00:00,Home,Liverpool,2021-09-26 03:30:00,Home,Spurs,2021-09-27 02:30:00,Home,Man City,2021-09-25 22:30:00,Home,Wolves,2021-09-27 00:00:00,Home,Southampton,2021-09-27 00:00:00,Away,Brentford,2021-09-26 03:30:00,Away,West Ham,2021-09-26 01:00:00,Home,Everton,2021-09-26 01:00:00,Away,Chelsea,2021-09-25 22:30:00,Away,Crystal Palace,2021-09-28 06:00:00,Away,Aston Villa,2021-09-25 22:30:00,Home,Man Utd,2021-09-25 22:30:00,Away,Leeds,2021-09-26 01:00:00,Away,Norwich,2021-09-26 01:00:00,Home,Brighton,2021-09-28 06:00:00,Home
6,Aston Villa,2021-03-11 00:00:00,Home,Crystal Palace,2021-03-11 00:00:00,Away,Norwich,2021-02-11 01:00:00,Home,Wolves,2021-02-11 01:00:00,Away,Leeds,2021-02-11 01:00:00,Away,West Ham,2021-03-11 00:00:00,Away,Brighton,2021-02-11 03:30:00,Away,Southampton,2021-02-11 01:00:00,Home,Chelsea,2021-02-11 01:00:00,Away,Newcastle,2021-02-11 01:00:00,Home,Man City,2021-03-11 02:30:00,Home,Watford,2021-02-11 01:00:00,Home,Burnley,2021-02-11 01:00:00,Away,Liverpool,2021-03-11 02:30:00,Away,Arsenal,2021-02-11 03:30:00,Home,Everton,2021-02-10 22:30:00,Home,Spurs,2021-03-11 00:00:00,Away,Brentford,2021-03-11 00:00:00,Home,Man Utd,2021-02-10 22:30:00,Away,Leicester,2021-03-11 00:00:00,Home
7,Newcastle,2021-10-18 02:30:00,Away,Man Utd,2021-10-17 01:00:00,Home,Man City,2021-10-17 01:00:00,Away,Spurs,2021-10-18 02:30:00,Home,Liverpool,2021-10-16 22:30:00,Home,Chelsea,2021-10-17 03:30:00,Home,Crystal Palace,2021-10-19 06:00:00,Home,Brentford,2021-10-17 03:30:00,Away,Leeds,2021-10-17 01:00:00,Home,Aston Villa,2021-10-17 01:00:00,Away,Watford,2021-10-16 22:30:00,Away,Southampton,2021-10-17 01:00:00,Away,Brighton,2021-10-17 01:00:00,Home,Burnley,2021-10-17 01:00:00,Home,Norwich,2021-10-17 01:00:00,Away,Leicester,2021-10-17 01:00:00,Away,Wolves,2021-10-17 01:00:00,Home,Everton,2021-10-18 00:00:00,Away,West Ham,2021-10-18 00:00:00,Home,Arsenal,2021-10-19 06:00:00,Away
8,West Ham,2021-10-25 00:00:00,Away,Brentford,2021-10-25 00:00:00,Away,Southampton,2021-10-24 01:00:00,Away,Crystal Palace,2021-10-24 01:00:00,Away,Everton,2021-10-24 01:00:00,Away,Leicester,2021-10-25 00:00:00,Home,Aston Villa,2021-10-23 06:00:00,Home,Norwich,2021-10-23 22:30:00,Home,Burnley,2021-10-24 01:00:00,Home,Leeds,2021-10-24 01:00:00,Away,Man Utd,2021-10-25 02:30:00,Away,Wolves,2021-10-24 01:00:00,Home,Chelsea,2021-10-23 22:30:00,Away,Brighton,2021-10-24 03:30:00,Away,Man City,2021-10-24 03:30:00,Home,Liverpool,2021-10-25 02:30:00,Home,Arsenal,2021-10-23 06:00:00,Away,Spurs,2021-10-25 00:00:00,Home,Watford,2021-10-24 01:00:00,Home,Newcastle,2021-10-24 01:00:00,Home
9,Man Utd,2021-10-31 03:30:00,Home,Arsenal,2021-10-30 22:30:00,Home,Brentford,2021-10-31 01:00:00,Home,Chelsea,2021-10-31 01:00:00,Home,Southampton,2021-10-31 01:00:00,Home,Burnley,2021-10-31 01:00:00,Away,Leicester,2021-10-30 22:30:00,Away,Newcastle,2021-10-31 01:00:00,Away,Watford,2021-10-31 01:00:00,Away,Everton,2021-01-12 06:00:00,Home,Brighton,2021-10-31 01:00:00,Home,Norwich,2021-11-01 00:00:00,Away,Leeds,2021-11-01 00:00:00,Home,Crystal Palace,2021-10-31 01:00:00,Home,Liverpool,2021-10-31 01:00:00,Away,Spurs,2021-10-31 03:30:00,Away,West Ham,2021-11-01 02:30:00,Home,Aston Villa,2021-11-01 02:30:00,Away,Wolves,2021-01-12 06:00:00,Away,Man City,2021-10-31 01:00:00,Away
