name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Leno,ARS,GKP,4.8,Available,270,4,0,1.3,1.3
Rúnarsson,ARS,GKP,4.0,NotAvail,0,0,0,0.0,0.9
Willian,ARS,MID,6.3,NotAvail,0,0,0,0.0,0.1
Aubameyang,ARS,FWD,9.9,Available,428,22,4,3.7,2.2
Cédric,ARS,DEF,4.3,Available,188,1,0,0.3,0.2
Lacazette,ARS,FWD,8.3,Available,49,2,0,1.0,1.0
Xhaka,ARS,MID,4.9,Injured,295,4,0,1.0,0.4
Marí,ARS,DEF,4.3,Available,180,1,0,0.5,0.1
Bellerín,ARS,DEF,4.8,NotAvail,0,0,0,0.0,0.3
Chambers,ARS,DEF,4.3,Available,170,1,0,0.5,0.2
Kolasinac,ARS,DEF,4.3,Available,90,-1,0,-1.0,0.1
Elneny,ARS,MID,4.5,Available,45,1,0,1.0,0.4
Maitland-Niles,ARS,MID,5.3,Available,119,7,0,1.4,0.1
Holding,ARS,DEF,4.3,Available,180,0,0,0.0,0.7
Partey,ARS,MID,5.0,Available,282,7,0,1.8,0.2
Tierney,ARS,DEF,4.9,Available,592,23,1,3.3,6.8
Pépé,ARS,MID,7.1,Available,387,14,0,2.8,1.2
Torreira,ARS,MID,4.5,NotAvail,0,0,0,0.0,0.2
Nketiah,ARS,FWD,5.4,Available,0,0,0,0.0,0.1
Smith Rowe,ARS,MID,5.3,Available,535,25,2,3.6,5.2
Saka,ARS,MID,6.3,Available,491,29,3,4.1,10.9
Gabriel,ARS,DEF,5.0,Available,360,23,3,5.8,0.5
Mavropanos,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Guendouzi,ARS,MID,4.5,NotAvail,0,0,0,0.0,0.0
Martinelli,ARS,MID,5.2,Available,148,4,0,2.0,0.2
Saliba,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
White,ARS,DEF,4.4,Available,450,22,2,4.4,12.1
Tavares,ARS,DEF,4.3,Available,47,3,0,0.8,0.2
Sambi Lokonga,ARS,MID,4.9,Available,368,10,0,1.7,0.2
Balogun,ARS,FWD,4.9,Available,69,2,0,1.0,0.4
Nelson,ARS,MID,5.0,NotAvail,19,1,0,1.0,0.0
Hein,ARS,GKP,4.0,Available,0,0,0,0.0,0.6
Ødegaard,ARS,MID,5.5,Available,402,20,3,4.0,2.8
Ramsdale,ARS,GKP,4.5,Available,360,24,2,6.0,4.0
Okonkwo,ARS,GKP,4.0,Available,0,0,0,0.0,0.1
Tomiyasu,ARS,DEF,4.5,Available,331,20,0,5.0,2.7
Steer,AVL,GKP,4.0,Available,90,1,0,1.0,3.6
Hourihane,AVL,MID,4.9,NotAvail,0,0,0,0.0,0.0
Martínez,AVL,GKP,5.5,Available,450,26,4,5.2,14.3
Engels,AVL,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Traoré,AVL,MID,5.8,Available,43,6,0,2.0,0.4
Sanson,AVL,MID,5.0,Injured,0,0,0,0.0,0.0
McGinn,AVL,MID,5.8,Available,399,14,0,2.8,0.7
Hause,AVL,DEF,4.4,Available,91,16,3,8.0,0.3
Trézéguet,AVL,MID,5.4,Injured,0,0,0,0.0,0.0
Mings,AVL,DEF,5.0,Available,450,28,4,5.6,7.6
Targett,AVL,DEF,4.8,Available,375,14,0,2.8,2.8
Watkins,AVL,FWD,7.3,Available,281,7,0,1.8,1.5
Nakamba,AVL,MID,4.5,Available,177,5,0,1.2,0.2
El Ghazi,AVL,MID,5.8,Available,239,11,1,3.7,0.6
Buendía,AVL,MID,6.4,Available,258,15,3,3.8,1.4
Cash,AVL,DEF,5.0,Available,535,29,3,4.8,3.7
Konsa,AVL,DEF,4.9,Available,538,22,0,3.7,0.7
Guilbert,AVL,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Wesley,AVL,FWD,5.4,NotAvail,1,1,0,1.0,0.1
Samatta,AVL,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Davis,AVL,FWD,4.4,Injured,0,0,0,0.0,1.3
Douglas Luiz,AVL,MID,4.5,Available,437,19,1,3.8,3.2
Ramsey,AVL,MID,4.5,Available,365,10,0,2.0,0.5
Young,AVL,DEF,4.9,Available,266,10,0,2.5,0.6
Tuanzebe,AVL,DEF,4.5,Available,272,10,0,2.5,0.6
Ings,AVL,FWD,7.9,Available,505,28,3,4.7,17.0
Bailey,AVL,MID,6.4,Injured,84,14,1,4.7,0.6
Ramsey,AVL,MID,4.5,Available,0,0,0,0.0,0.2
Philogene-Bidace,AVL,MID,5.0,Available,4,1,0,1.0,0.0
Chukwuemeka,AVL,MID,4.5,Available,62,2,0,2.0,0.0
Archer,AVL,FWD,4.5,Available,4,1,0,1.0,1.2
Sinisalo,AVL,GKP,4.0,Available,0,0,0,0.0,0.1
Bogarde,AVL,DEF,4.0,Available,0,0,0,0.0,0.0
Jansson,BRE,DEF,4.6,Available,531,33,5,5.5,8.1
Nørgaard,BRE,MID,5.0,Available,527,18,0,3.0,1.0
Toney,BRE,FWD,6.3,Available,540,29,4,4.8,14.9
Fosu,BRE,MID,5.2,Available,0,0,0,0.0,0.0
Raya,BRE,GKP,4.6,Available,540,27,1,4.5,10.0
Canós,BRE,MID,5.5,Available,487,23,3,3.8,2.2
Dasilva,BRE,MID,5.4,Injured,0,0,0,0.0,0.0
Henry,BRE,DEF,4.5,Available,524,22,0,3.7,1.1
Janelt,BRE,MID,5.0,Available,511,23,3,3.8,0.3
Ghoddos,BRE,MID,5.3,Available,85,3,0,1.5,0.0
Jensen,BRE,MID,4.9,Available,32,2,0,1.0,0.0
Goode,BRE,DEF,3.9,Available,0,0,0,0.0,2.1
Forss,BRE,FWD,5.3,Available,4,1,0,1.0,0.1
Roerslev,BRE,DEF,4.3,Available,44,2,0,1.0,0.1
Sørensen,BRE,DEF,4.4,Injured,19,1,0,1.0,0.0
Pinnock,BRE,DEF,4.6,Available,492,36,4,6.0,6.1
Balcombe,BRE,GKP,4.0,NotAvail,0,0,0,0.0,0.0
Zamburek,BRE,MID,4.5,Available,0,0,0,0.0,0.9
Gunnarsson,BRE,GKP,4.0,NotAvail,0,0,0,0.0,0.9
Dervişoğlu,BRE,FWD,5.4,NotAvail,0,0,0,0.0,0.0
Mbeumo,BRE,MID,5.5,Available,510,19,0,3.2,1.0
Bidstrup,BRE,MID,4.5,Available,13,2,0,1.0,0.1
Onyeka,BRE,MID,4.9,Available,252,9,0,1.8,0.1
Ajer,BRE,DEF,4.5,Available,520,23,1,3.8,1.3
Thompson,BRE,DEF,4.4,Available,0,0,0,0.0,0.0
Baptiste,BRE,MID,5.0,Available,160,5,0,1.2,0.0
Wissa,BRE,MID,5.9,Available,49,8,0,2.7,0.1
Fernández,BRE,GKP,4.5,Available,0,0,0,0.0,0.1
Stevens,BRE,DEF,4.0,Available,0,0,0,0.0,0.3
Zanka,BRE,DEF,4.5,Available,55,1,0,0.5,0.0
Lallana,BHA,MID,5.4,Available,542,14,0,2.0,0.2
Steele,BHA,GKP,4.0,Available,0,0,0,0.0,3.3
Groß,BHA,MID,6.0,Available,443,19,1,3.8,0.4
Duffy,BHA,DEF,4.3,Available,630,35,3,5.0,23.2
Pröpper,BHA,MID,4.5,NotAvail,0,0,0,0.0,0.0
Burn,BHA,DEF,4.4,Available,155,8,0,2.7,0.0
Dunk,BHA,DEF,5.0,Available,630,29,4,4.1,4.3
March,BHA,MID,5.4,Available,255,8,0,1.6,0.1
Webster,BHA,DEF,4.4,Injured,306,9,0,2.2,0.3
Veltman,BHA,DEF,4.4,Available,405,20,3,4.0,1.3
Maupay,BHA,FWD,6.5,Available,585,32,5,4.6,3.3
Trossard,BHA,MID,6.4,Available,596,27,3,3.9,1.2
Ryan,BHA,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Jahanbakhsh,BHA,MID,5.5,NotAvail,0,0,0,0.0,0.0
Bernardo,BHA,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Sánchez,BHA,GKP,4.6,Available,630,25,1,3.6,24.2
Bissouma,BHA,MID,4.6,Doubtful,438,16,2,3.2,14.2
Lamptey,BHA,DEF,4.4,Available,0,0,0,0.0,0.4
Connolly,BHA,FWD,5.3,Available,59,2,0,1.0,0.1
Alzate,BHA,MID,4.9,Injured,90,3,0,1.5,0.0
Mac Allister,BHA,MID,5.5,Available,187,18,3,3.6,0.5
Moder,BHA,MID,4.5,Available,266,13,0,1.9,0.8
Welbeck,BHA,FWD,6.0,Doubtful,238,14,3,3.5,0.3
Mwepu,BHA,MID,5.9,Doubtful,91,2,0,0.7,0.0
Scherpen,BHA,GKP,4.5,Available,0,0,0,0.0,0.0
Andone,BHA,FWD,5.0,NotAvail,0,0,0,0.0,0.1
Zeqiri,BHA,FWD,4.5,NotAvail,0,0,0,0.0,0.4
Karbownik,BHA,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Richards,BHA,MID,4.5,Available,17,1,0,1.0,0.0
Caicedo,BHA,MID,4.5,NotAvail,0,0,0,0.0,0.0
Roberts,BHA,DEF,4.0,Available,0,0,0,0.0,0.2
Cucurella,BHA,DEF,5.0,Available,351,19,4,4.8,0.7
Locadia,BHA,FWD,4.5,Available,0,0,0,0.0,0.5
Sarmiento,BHA,MID,4.5,Available,0,0,0,0.0,0.0
Tarkowski,BUR,DEF,5.0,Available,630,17,0,2.4,1.4
Bardsley,BUR,DEF,4.0,Available,0,0,0,0.0,0.7
Pieters,BUR,DEF,4.4,Available,11,1,0,1.0,0.1
Cork,BUR,MID,4.5,Available,174,4,0,2.0,0.2
Stephens,BUR,MID,4.5,Injured,0,0,0,0.0,0.0
Long,BUR,DEF,4.0,Available,0,0,0,0.0,0.1
Rodriguez,BUR,FWD,5.4,Available,151,5,0,1.0,0.6
Barnes,BUR,FWD,5.4,Available,344,8,0,1.1,1.3
Mee,BUR,DEF,4.9,Doubtful,540,13,0,2.2,1.0
Westwood,BUR,MID,5.4,Available,540,19,2,3.2,0.4
Gudmundsson,BUR,MID,5.5,Available,436,13,0,1.9,0.1
Wood,BUR,FWD,6.8,Available,589,20,3,2.9,1.7
Lowton,BUR,DEF,4.4,Available,630,17,1,2.4,1.7
Vydra,BUR,FWD,5.3,Doubtful,171,10,0,1.7,0.3
Pope,BUR,GKP,5.4,Available,630,18,0,2.6,3.0
Taylor,BUR,DEF,4.4,Available,630,17,3,2.4,0.4
Norris,BUR,GKP,4.4,Available,0,0,0,0.0,0.1
Brownhill,BUR,MID,4.4,Available,551,11,0,1.6,2.8
