,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,games back,date data gathered
0,Mohamed Salah,Liverpool ,3,270,5,3,2.89-2.11,1.50-1.50,0.96,0.50,2,02/10/2021 
1,Joshua King,Watford ,2,135,3,0,2.08-0.92,0.02+0.02,1.39,0.01,2,02/10/2021 
2,Roberto Firmino,Liverpool ,3,193,3,1,2.40-0.60,0.56-0.44,1.12,0.26,2,02/10/2021 
3,Ben Chilwell,Chelsea ,3,270,3,0,0.72-2.28,0.25+0.25,0.24,0.08,2,02/10/2021 
4,Phil Foden,Manchester City ,3,270,3,1,2.04-0.96,0.60-0.40,0.68,0.20,2,02/10/2021 
5,Mason Mount,Chelsea ,3,134,3,1,1.61-1.39,1.24+0.24,1.08,0.83,2,02/10/2021 
6,Hee-Chan Hwang,Wolverhampton Wanderers ,3,270,3,0,0.89-2.11,0.58+0.58,0.30,0.19,2,02/10/2021 
7,Pierre-Emerick Aubameyang,Arsenal ,3,253,2,1,2.20+0.20,0.30-0.70,0.78,0.11,2,02/10/2021 
8,Kevin De Bruyne,Manchester City ,3,189,2,0,0.46-1.54,1.02+1.02,0.22,0.48,2,02/10/2021 
9,Callum Wilson,Newcastle United ,2,175,2,0,1.02-0.98,0.04+0.04,0.52,0.02,2,02/10/2021 
10,Christian Benteke,Crystal Palace ,3,183,2,0,2.07+0.07,0.17+0.17,1.02,0.08,2,02/10/2021 
11,Jamie Vardy,Leicester ,3,228,2,0,0.67-1.33,0.17+0.17,0.27,0.07,2,02/10/2021 
12,Sadio Mané,Liverpool ,3,188,2,0,1.24-0.76,0.00,0.60,0.00,2,02/10/2021 
13,Maxwel Cornet,Burnley ,2,140,2,0,0.72-1.28,0.04+0.04,0.46,0.02,2,02/10/2021 
14,Youri Tielemans,Leicester ,3,270,2,0,0.16-1.84,0.47+0.47,0.05,0.16,2,02/10/2021 
15,Armando Broja ,Southampton,2,162,2,0,1.11-0.89,0.06+0.06,0.62,0.03,2,02/10/2021 
16,Timo Werner,Chelsea ,2,180,1,0,1.44+0.44,0.00,0.72,0.00,2,02/10/2021 
17,Ilkay Gündogan,Manchester City ,1,77,1,0,0.97-0.03,0.36+0.36,1.13,0.42,2,02/10/2021 
18,Pierre-Emile Højbjerg,Tottenham ,3,270,1,1,0.10-0.90,0.29-0.71,0.03,0.10,2,02/10/2021 
19,Son Heung-Min,Tottenham ,3,270,1,1,1.55+0.55,0.50-0.50,0.52,0.17,2,02/10/2021 
20,Angelo Ogbonna,West Ham ,3,270,1,0,0.61-0.39,0.00,0.20,0.00,2,02/10/2021 
21,Michail Antonio,West Ham ,3,270,1,0,1.66+0.66,0.59+0.59,0.55,0.20,2,02/10/2021 
22,Anthony Martial,Manchester United ,1,58,1,0,0.42-0.58,0.00,0.65,0.00,2,02/10/2021 
23,Marcus Rashford,Manchester United ,2,88,1,0,0.33-0.67,0.00,0.34,0.00,2,02/10/2021 
24,Kelechi Iheanacho,Leicester ,3,244,1,1,0.50-0.50,0.26-0.74,0.18,0.10,2,02/10/2021 
25,Harry Kane,Tottenham ,3,270,1,1,0.81-0.19,1.15+0.15,0.27,0.38,2,02/10/2021 
26,Riyad Mahrez,Manchester City ,2,91,1,0,0.73-0.27,0.13+0.13,0.72,0.13,2,02/10/2021 
27,Jeffrey Schlupp,Crystal Palace ,2,32,1,0,0.21-0.79,0.00,0.58,0.00,2,02/10/2021 
28,Andros Townsend,Everton ,3,270,1,0,0.85-0.15,0.51+0.51,0.28,0.17,2,02/10/2021 
29,James Ward-Prowse ,Southampton,1,80,1,0,0.78-0.22,0.00,0.88,0.00,2,02/10/2021 
30,Danny Ings,Aston Villa ,3,263,1,0,0.88-0.12,0.00,0.30,0.00,2,02/10/2021 
31,Tom Davies,Everton ,2,107,1,0,0.87-0.13,0.00,0.73,0.00,2,02/10/2021 
32,Juraj Kucka,Watford ,3,270,1,0,0.29-0.71,0.10+0.10,0.10,0.03,2,02/10/2021 
33,Jeff Hendrick,Newcastle United ,1,55,1,0,0.02-0.98,0.00,0.03,0.00,2,02/10/2021 
34,Jarrod Bowen,West Ham ,3,270,1,1,0.92-0.08,0.61-0.39,0.31,0.20,2,02/10/2021 
35,Diego Llorente,Leeds ,3,270,1,0,0.60-0.40,0.00,0.20,0.00,2,02/10/2021 
36,Thomas Partey,Arsenal ,3,264,1,0,1.19+0.19,0.11+0.11,0.40,0.04,2,02/10/2021 
37,Rodrigo,Leeds ,3,244,1,0,0.91-0.09,0.79+0.79,0.33,0.29,2,02/10/2021 
38,Alexandre Lacazette,Arsenal ,3,111,1,0,0.31-0.69,0.17+0.17,0.25,0.14,2,02/10/2021 
39,Romain Saiss,Wolverhampton Wanderers ,3,270,1,0,0.74-0.26,0.00,0.25,0.00,2,02/10/2021 
40,Bernardo Silva,Manchester City ,3,270,1,1,1.22+0.22,1.73+0.73,0.41,0.58,2,02/10/2021 
41,Odsonne Edouard,Crystal Palace ,3,262,1,1,0.57-0.43,0.18-0.82,0.20,0.06,2,02/10/2021 
42,Naby Keita,Liverpool ,2,159,1,1,0.49-0.51,0.81-0.19,0.28,0.46,2,02/10/2021 
43,Caglar Söyüncü,Leicester ,3,250,1,0,0.64-0.36,0.00,0.23,0.00,2,02/10/2021 
44,Yoane Wissa,Brentford ,1,3,1,0,0.08-0.92,0.00,2.45,0.00,2,02/10/2021 
45,Tanguy NDombele Alvaro,Tottenham ,3,252,1,0,0.53-0.47,0.48+0.48,0.19,0.17,2,02/10/2021 
46,Richarlison,Everton ,1,26,1,0,0.24-0.76,0.04+0.04,0.82,0.13,2,02/10/2021 
47,Zanka,Brentford ,3,270,1,0,0.14-0.86,0.08+0.08,0.05,0.03,2,02/10/2021 
48,Callum Hudson-Odoi,Chelsea ,2,139,1,0,0.43-0.57,0.20+0.20,0.28,0.13,2,02/10/2021 
49,Bryan Mbeumo,Brentford ,3,236,1,0,1.13+0.13,0.00,0.43,0.00,2,02/10/2021 
50,Trevoh Chalobah,Chelsea ,3,270,1,0,0.56-0.44,0.05+0.05,0.19,0.02,2,02/10/2021 
51,James Maddison,Leicester ,3,174,1,0,0.73-0.27,0.04+0.04,0.38,0.02,2,02/10/2021 
52,Conor Coady,Wolverhampton Wanderers ,3,270,1,0,0.59-0.41,0.00,0.20,0.00,2,02/10/2021 
53,Rúben Neves,Wolverhampton Wanderers ,3,181,1,0,0.06-0.94,0.03+0.03,0.03,0.01,2,02/10/2021 
54,Diogo Jota,Liverpool ,2,159,1,1,0.91-0.09,0.52-0.48,0.51,0.29,2,02/10/2021 
55,Emile Smith-Rowe,Arsenal ,3,270,1,1,0.33-0.67,0.64-0.36,0.11,0.21,2,02/10/2021 
56,Mason Greenwood,Manchester United ,3,225,1,0,0.34-0.66,0.36+0.36,0.14,0.14,2,02/10/2021 
57,John McGinn,Aston Villa ,3,270,1,1,0.13-0.87,0.67-0.33,0.04,0.22,2,02/10/2021 
58,Reece James,Chelsea ,2,91,1,0,0.30-0.70,0.04+0.04,0.30,0.04,2,02/10/2021 
59,Alexis Mac Allister,Brighton ,3,30,1,0,0.78-0.22,0.00,2.33,0.00,2,02/10/2021 
60,Ollie Watkins,Aston Villa ,3,270,1,0,1.57+0.57,0.04+0.04,0.52,0.01,2,02/10/2021 
61,Jacob Ramsey,Aston Villa ,3,99,1,0,0.27-0.73,0.03+0.03,0.24,0.03,2,02/10/2021 
62,Emmanuel Dennis,Watford ,3,182,1,2,0.53-0.47,0.94-1.06,0.26,0.46,2,02/10/2021 
63,Valentino Livramento ,Southampton,3,270,1,0,0.21-0.79,0.20+0.20,0.07,0.07,2,02/10/2021 
64,Patson Daka,Leicester ,2,51,1,1,1.22+0.22,1.09+0.09,2.15,1.92,2,02/10/2021 
65,Michael Olise,Crystal Palace ,3,120,1,1,0.24-0.76,1.23+0.23,0.18,0.93,2,02/10/2021 
66,Lukas Rupp,Norwich ,2,10,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
67,Joelinton,Newcastle United ,3,187,0,0,0.09+0.09,0.05+0.05,0.04,0.02,2,02/10/2021 
68,Allan Saint-Maximin,Newcastle United ,3,263,0,0,0.72+0.72,0.08+0.08,0.25,0.03,2,02/10/2021 
69,Jannik Vestergaard,Leicester ,3,111,0,0,0.00,0.07+0.07,0.00,0.05,2,02/10/2021 
70,Andreas Christensen,Chelsea ,1,90,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
71,Pascal Groß,Brighton ,3,249,0,0,0.28+0.28,0.32+0.32,0.10,0.12,2,02/10/2021 
72,Joel Matip,Liverpool ,2,180,0,0,0.01+0.01,0.07+0.07,0.01,0.04,2,02/10/2021 
73,Matt Ritchie,Newcastle United ,3,270,0,0,0.01+0.01,0.22+0.22,0.00,0.07,2,02/10/2021 
74,Adam Lallana,Brighton ,3,270,0,0,0.08+0.08,0.14+0.14,0.03,0.05,2,02/10/2021 
75,James Milner,Liverpool ,3,189,0,1,0.11+0.11,1.10+0.10,0.05,0.52,2,02/10/2021 
76,Alex Iwobi,Everton ,2,89,0,0,0.21+0.21,0.00,0.22,0.00,2,02/10/2021 
77,Theo Walcott ,Southampton,3,134,0,0,0.77+0.77,0.02+0.02,0.52,0.01,2,02/10/2021 
78,Joel Ward,Crystal Palace ,3,270,0,0,0.07+0.07,0.00,0.02,0.00,2,02/10/2021 
79,Wilfried Zaha,Crystal Palace ,2,111,0,0,0.20+0.20,0.28+0.28,0.16,0.23,2,02/10/2021 
80,James Tomkins,Crystal Palace ,1,5,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
81,Cheikhou Kouyaté,Crystal Palace ,1,20,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
82,Aaron Cresswell,West Ham ,3,270,0,1,0.00,0.68-0.32,0.00,0.23,2,02/10/2021 
83,Manuel Lanzini,West Ham ,2,6,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
84,David de Gea,Manchester United ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
85,Jesse Lingard,Manchester United ,1,6,0,0,0.03+0.03,0.03+0.03,0.39,0.40,2,02/10/2021 
86,Nathan Aké,Manchester City ,1,90,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
87,Craig Cathcart,Watford ,2,180,0,1,0.00,0.79-0.21,0.00,0.39,2,02/10/2021 
88,Seamus Coleman,Everton ,2,180,0,0,0.04+0.04,0.17+0.17,0.02,0.08,2,02/10/2021 
89,John Stones,Manchester City ,1,90,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
90,Ross Barkley,Chelsea ,2,23,0,0,0.33+0.33,0.04+0.04,1.30,0.17,2,02/10/2021 
91,Aaron Lennon,Burnley ,1,64,0,0,0.08+0.08,0.00,0.11,0.00,2,02/10/2021 
92,Romelu Lukaku,Chelsea ,2,170,0,0,0.84+0.84,0.47+0.47,0.45,0.25,2,02/10/2021 
93,Tom Cleverley,Watford ,1,43,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
94,Jordan Henderson,Liverpool ,3,270,0,1,0.02+0.02,0.81-0.19,0.01,0.27,2,02/10/2021 
95,Fernandinho,Manchester City ,2,15,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
96,Raheem Sterling,Manchester City ,2,113,0,0,0.11+0.11,0.16+0.16,0.09,0.13,2,02/10/2021 
97,Ashley Young,Aston Villa ,1,8,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
98,James McArthur,Crystal Palace ,3,270,0,0,0.08+0.08,0.42+0.42,0.03,0.14,2,02/10/2021 
99,Alex McCarthy ,Southampton,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
100,Hugo Lloris,Tottenham ,3,270,0,0,0.00,0.18+0.18,0.00,0.06,2,02/10/2021 
101,Kyle Walker,Manchester City ,2,180,0,0,0.04+0.04,0.00,0.02,0.00,2,02/10/2021 
102,Danny Rose,Watford ,2,180,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
103,Eric Dier,Tottenham ,3,270,0,0,0.04+0.04,0.45+0.45,0.01,0.15,2,02/10/2021 
104,Ashley Westwood,Burnley ,3,270,0,1,0.04+0.04,0.21-0.79,0.01,0.07,2,02/10/2021 
105,Jordan Ayew,Crystal Palace ,2,129,0,1,0.11+0.11,0.09-0.91,0.08,0.06,2,02/10/2021 
106,Jack Grealish,Manchester City ,2,146,0,1,0.23+0.23,0.60-0.40,0.14,0.37,2,02/10/2021 
107,César Azpilicueta,Chelsea ,2,180,0,1,0.47+0.47,0.73-0.27,0.23,0.36,2,02/10/2021 
108,Ruben Loftus-Cheek,Chelsea ,3,201,0,2,0.18+0.18,1.19-0.81,0.08,0.53,2,02/10/2021 
109,Bertrand Traoré,Aston Villa ,1,8,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
110,Nemanja Matic,Manchester United ,1,84,0,0,0.01+0.01,0.01+0.01,0.01,0.02,2,02/10/2021 
111,Lukasz Fabianski,West Ham ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
112,Federico Fernández,Newcastle United ,1,90,0,0,0.03+0.03,0.00,0.03,0.00,2,02/10/2021 
113,Jack Cork,Burnley ,2,148,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
114,Jordan Pickford,Everton ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
115,Dwight Gayle,Newcastle United ,1,10,0,0,0.06+0.06,0.00,0.54,0.00,2,02/10/2021 
116,Kasper Schmeichel,Leicester ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
117,N'Golo Kanté,Chelsea ,1,90,0,0,0.00,0.03+0.03,0.00,0.03,2,02/10/2021 
118,Marc Albrighton,Leicester ,1,8,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
