,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
0,Liverpool,1,1,0,0,5,0,3,3.66-1.34,0.30+0.30,2.97-0.03
1,Leicester,1,1,0,0,4,2,3,2.97-1.03,1.02-0.98,2.62-0.38
2,Manchester City,1,1,0,0,2,0,3,2.16+0.16,1.08+1.08,2.22-0.78
3,Tottenham,1,1,0,0,3,2,3,1.55-1.45,0.65-1.35,2.19-0.81
4,Wolverhampton Wanderers,1,1,0,0,3,2,3,2.20-0.80,1.21-0.79,2.13-0.87
5,Southampton,1,1,0,0,1,0,3,1.83+0.83,0.45+0.45,2.47-0.53
6,Chelsea,1,1,0,0,1,0,3,0.25-0.75,1.62+1.62,0.31-2.69
7,West Ham,1,1,0,0,1,0,3,2.03+1.03,0.85+0.85,2.28-0.72
8,Crystal Palace,1,0,1,0,2,2,1,0.49-1.51,1.74-0.26,0.41-0.59
9,Arsenal,1,0,1,0,2,2,1,1.74-0.26,0.49-1.51,2.40+1.40
10,Norwich,1,0,1,0,0,0,1,1.16+1.16,1.18+1.18,1.30+0.30
11,Brighton,1,0,1,0,0,0,1,1.18+1.18,1.16+1.16,1.37+0.37
12,Aston Villa,1,0,0,1,2,3,0,1.21-0.79,2.20-0.80,0.65+0.65
13,Newcastle United,1,0,0,1,2,3,0,0.65-1.35,1.55-1.45,0.56+0.56
14,Everton,1,0,0,1,0,1,0,0.85+0.85,2.03+1.03,0.52+0.52
15,Brentford,1,0,0,1,0,1,0,1.62+1.62,0.25-0.75,2.50+2.50
16,Leeds,1,0,0,1,0,1,0,0.45+0.45,1.83+0.83,0.35+0.35
17,Manchester United,1,0,0,1,2,4,0,1.02-0.98,2.97-1.03,0.26+0.26
18,Burnley,1,0,0,1,0,2,0,1.08+1.08,2.16+0.16,0.55+0.55
19,Watford,1,0,0,1,0,5,0,0.30+0.30,3.66-1.34,0.02+0.02
