,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
0,Chelsea,7,5,1,1,15,3,16,13.20-1.80,8.13+5.13,12.39-3.61
1,Liverpool,7,4,3,0,17,6,15,16.89-0.11,7.88+1.88,14.62-0.38
2,Manchester City,7,4,2,1,14,3,14,15.73+1.73,3.64+0.64,16.57+2.57
3,Manchester United,7,4,2,1,14,6,14,12.49-1.51,8.14+2.14,12.48-1.52
4,Everton,7,4,2,1,13,8,14,11.94-1.06,6.70-1.30,13.61-0.39
5,Brighton,7,4,2,1,8,5,14,7.69-0.31,7.47+2.47,9.38-4.62
6,Brentford,7,3,3,1,10,6,12,11.03+1.03,7.00+1.00,12.88+0.88
7,Tottenham,7,4,0,3,6,10,12,7.25+1.25,12.21+2.21,6.97-5.03
8,West Ham,7,3,2,2,14,10,11,12.50-1.50,9.07-0.93,11.76+0.76
9,Aston Villa,7,3,1,3,10,9,10,7.35-2.65,8.80-0.20,8.42-1.58
10,Arsenal,7,3,1,3,5,10,10,7.36+2.36,13.45+3.45,7.53-2.47
11,Wolverhampton Wanderers,7,3,0,4,5,6,9,10.28+5.28,7.63+1.63,11.48+2.48
12,Leicester,7,2,2,3,9,12,8,7.83-1.17,10.88-1.12,7.59-0.41
13,Crystal Palace,7,1,4,2,8,11,7,8.68+0.68,7.89-3.11,9.96+2.96
14,Watford,7,2,1,4,7,10,7,6.06-0.94,11.28+1.28,6.09-0.91
15,Leeds,7,1,3,3,7,14,6,7.91+0.91,12.97-1.03,7.29+1.29
16,Southampton,7,0,4,3,5,10,4,8.25+3.25,12.49+2.49,6.82+2.82
17,Burnley,7,0,3,4,5,11,3,7.81+2.81,11.58+0.58,7.16+4.16
18,Newcastle United,7,0,3,4,8,16,3,8.69+0.69,13.92-2.08,6.21+3.21
19,Norwich,7,0,1,6,2,16,1,5.63+3.63,13.46-2.54,4.84+3.84
