,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
0,Mohamed Salah,Liverpool ,10,900,10,6,7.65-2.35,3.60-2.40,0.77,0.36
1,Jamie Vardy,Leicester ,10,853,7,1,4.31-2.69,0.76-0.24,0.45,0.08
2,Michail Antonio,West Ham ,9,810,6,3,6.47+0.47,2.96-0.04,0.72,0.33
3,Sadio Mané,Liverpool ,10,818,6,0,5.85-0.15,1.27+1.27,0.64,0.14
4,Pierre-Emerick Aubameyang,Arsenal ,9,702,4,1,4.10+0.10,0.72-0.28,0.53,0.09
5,Son Heung-Min,Tottenham ,9,796,4,1,3.34-0.66,0.93-0.07,0.38,0.11
6,Callum Wilson,Newcastle United ,6,512,4,0,2.98-1.02,0.07+0.07,0.52,0.01
7,Roberto Firmino,Liverpool ,8,369,4,1,3.56-0.44,0.73-0.27,0.87,0.18
8,Bruno Fernandes,Manchester United ,10,862,4,3,2.31-1.69,3.47+0.47,0.24,0.36
9,Cristiano Ronaldo,Manchester United ,7,554,4,1,4.33+0.33,0.71-0.29,0.70,0.12
10,Maxwel Cornet,Burnley ,5,287,4,0,1.07-2.93,0.54+0.54,0.34,0.17
11,Neal Maupay,Brighton ,9,738,4,0,3.18-0.82,0.31+0.31,0.39,0.04
12,Ismaila Sarr,Watford ,10,878,4,0,2.59-1.41,1.10+1.10,0.27,0.11
13,Diogo Jota,Liverpool ,9,613,4,1,4.07+0.07,2.44+1.44,0.60,0.36
14,Mason Greenwood,Manchester United ,9,748,4,0,1.88-2.12,1.01+1.01,0.23,0.12
15,Raphinha,Leeds ,9,738,4,0,2.02-1.98,1.52+1.52,0.25,0.19
16,Reece James,Chelsea ,7,368,4,2,0.96-3.04,1.57-0.43,0.23,0.38
17,Hee-Chan Hwang,Wolverhampton Wanderers ,6,426,4,0,2.23-1.77,0.58+0.58,0.47,0.12
18,Joshua King,Watford ,8,548,3,2,3.03+0.03,1.82-0.18,0.50,0.30
19,Wilfried Zaha,Crystal Palace ,9,741,3,1,2.39-0.61,1.51+0.51,0.29,0.18
20,Romelu Lukaku,Chelsea ,7,620,3,0,3.68+0.68,2.03+2.03,0.53,0.29
21,Demarai Gray,Everton ,9,782,3,2,1.36-1.64,1.88-0.12,0.16,0.22
22,Andros Townsend,Everton ,9,698,3,2,1.92-1.08,1.80-0.20,0.25,0.23
23,Ben Chilwell,Chelsea ,4,360,3,0,0.72-2.28,0.31+0.31,0.18,0.08
