,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
0,Mohamed Salah,Liverpool ,4,360,5,4,3.05-1.95,1.96-2.04,0.76,0.49
1,Joshua King,Watford ,3,225,3,0,2.25-0.75,0.57+0.57,0.90,0.23
2,Roberto Firmino,Liverpool ,4,273,3,1,3.05+0.05,0.61-0.39,1.00,0.20
3,Ben Chilwell,Chelsea ,4,360,3,0,0.72-2.28,0.31+0.31,0.18,0.08
4,Sadio Mané,Liverpool ,4,278,3,0,1.68-1.32,0.15+0.15,0.54,0.05
5,Maxwel Cornet,Burnley ,3,210,3,0,0.85-2.15,0.48+0.48,0.37,0.21
6,Phil Foden,Manchester City ,4,360,3,1,2.04-0.96,0.72-0.28,0.51,0.18
7,Mason Mount,Chelsea ,3,134,3,1,1.61-1.39,1.24+0.24,1.08,0.83
8,Reece James,Chelsea ,3,181,3,0,0.48-2.52,0.57+0.57,0.24,0.28
9,Hee-Chan Hwang,Wolverhampton Wanderers ,4,360,3,0,0.89-2.11,0.58+0.58,0.22,0.15
10,Pierre-Emerick Aubameyang,Arsenal ,4,343,2,1,2.82+0.82,0.30-0.70,0.74,0.08
11,Kevin De Bruyne,Manchester City ,4,253,2,0,0.50-1.50,1.02+1.02,0.18,0.36
12,Callum Wilson,Newcastle United ,3,265,2,0,1.03-0.97,0.04+0.04,0.35,0.01
13,Marcus Rashford,Manchester United ,3,106,2,0,0.78-1.22,0.00,0.66,0.00
14,Christian Benteke,Crystal Palace ,4,203,2,0,2.11+0.11,0.17+0.17,0.94,0.07
15,Jamie Vardy,Leicester ,4,318,2,0,0.91-1.09,0.30+0.30,0.26,0.09
16,Jarrod Bowen,West Ham ,4,360,2,1,2.64+0.64,0.66-0.34,0.66,0.16
17,Rodrigo,Leeds ,4,333,2,0,0.97-1.03,0.86+0.86,0.26,0.23
18,Youri Tielemans,Leicester ,4,360,2,0,0.19-1.81,1.12+1.12,0.05,0.28
19,Emile Smith-Rowe,Arsenal ,4,360,2,1,0.44-1.56,1.16+0.16,0.11,0.29
20,Armando Broja ,Southampton,2,162,2,0,1.11-0.89,0.06+0.06,0.62,0.03
21,Ollie Watkins,Aston Villa ,4,360,2,0,2.05+0.05,0.04+0.04,0.51,0.01
22,Timo Werner,Chelsea ,2,180,1,0,1.44+0.44,0.00,0.72,0.00
23,Ilkay Gündogan,Manchester City ,1,77,1,0,0.97-0.03,0.36+0.36,1.13,0.42
24,Pierre-Emile Højbjerg,Tottenham ,4,360,1,1,0.10-0.90,0.29-0.71,0.02,0.07
25,Son Heung-Min,Tottenham ,4,360,1,1,1.97+0.97,0.54-0.46,0.49,0.14
26,Alex Iwobi,Everton ,3,169,1,0,0.28-0.72,0.61+0.61,0.15,0.33
27,Wilfried Zaha,Crystal Palace ,3,201,1,0,0.51-0.49,0.36+0.36,0.23,0.16
28,Angelo Ogbonna,West Ham ,4,360,1,0,0.61-0.39,0.00,0.15,0.00
29,Michail Antonio,West Ham ,4,360,1,0,1.79+0.79,1.08+1.08,0.45,0.27
30,Anthony Martial,Manchester United ,1,58,1,0,0.42-0.58,0.00,0.65,0.00
31,Jordan Henderson,Liverpool ,4,360,1,1,0.10-0.90,0.83-0.17,0.02,0.21
32,Kelechi Iheanacho,Leicester ,4,292,1,1,0.52-0.48,0.26-0.74,0.16,0.08
33,Harry Kane,Tottenham ,4,360,1,1,0.87-0.13,1.15+0.15,0.22,0.29
34,Riyad Mahrez,Manchester City ,3,98,1,0,0.79-0.21,0.13+0.13,0.72,0.12
35,Jeffrey Schlupp,Crystal Palace ,3,44,1,0,0.22-0.78,0.00,0.45,0.00
36,Andros Townsend,Everton ,4,360,1,0,0.85-0.15,0.73+0.73,0.21,0.18
37,James Ward-Prowse ,Southampton,2,162,1,0,0.78-0.22,0.06+0.06,0.44,0.03
38,Danny Ings,Aston Villa ,3,263,1,0,0.88-0.12,0.00,0.30,0.00
39,Tom Davies,Everton ,2,107,1,0,0.87-0.13,0.00,0.73,0.00
40,Juraj Kucka,Watford ,4,360,1,0,0.33-0.67,0.10+0.10,0.08,0.02
41,Jorginho,Chelsea ,3,169,1,1,0.78-0.22,0.12-0.88,0.42,0.06
42,Matthew Lowton,Burnley ,4,360,1,1,0.61-0.39,0.53-0.47,0.15,0.13
43,Jeff Hendrick,Newcastle United ,1,55,1,0,0.02-0.98,0.00,0.03,0.00
44,Diego Llorente,Leeds ,4,360,1,0,0.64-0.36,0.00,0.16,0.00
45,Thomas Partey,Arsenal ,4,354,1,0,1.22+0.22,0.11+0.11,0.31,0.03
46,Pablo Fornals,West Ham ,4,360,1,0,1.15+0.15,0.68+0.68,0.29,0.17
47,Cristiano Ronaldo,Manchester United ,4,284,1,1,0.89-0.11,0.67-0.33,0.28,0.21
48,Alexandre Lacazette,Arsenal ,4,171,1,0,0.31-0.69,0.17+0.17,0.16,0.09
49,Edinson Cavani,Manchester United ,3,164,1,0,1.51+0.51,0.02+0.02,0.83,0.01
50,Romain Saiss,Wolverhampton Wanderers ,4,360,1,0,0.74-0.26,0.00,0.19,0.00
51,Bernardo Silva,Manchester City ,4,360,1,1,1.22+0.22,1.73+0.73,0.30,0.43
52,Odsonne Edouard,Crystal Palace ,4,340,1,1,0.57-0.43,0.18-0.82,0.15,0.05
53,Raúl Jiménez,Wolverhampton Wanderers ,4,271,1,2,0.95-0.05,0.52-1.48,0.31,0.17
54,Chris Wood,Burnley ,4,350,1,0,1.50+0.50,0.01+0.01,0.39,0.00
55,Naby Keita,Liverpool ,3,178,1,1,0.49-0.51,0.81-0.19,0.25,0.41
56,Caglar Söyüncü,Leicester ,4,340,1,0,0.64-0.36,0.00,0.17,0.00
57,Declan Rice,West Ham ,4,360,1,1,0.14-0.86,0.26-0.74,0.03,0.06
58,Gabriel,Arsenal ,4,360,1,0,0.24-0.76,0.03+0.03,0.06,0.01
59,Yoane Wissa,Brentford ,1,3,1,0,0.08-0.92,0.00,2.45,0.00
60,Tanguy NDombele Alvaro,Tottenham ,4,275,1,0,0.53-0.47,0.48+0.48,0.17,0.16
61,Richarlison,Everton ,2,116,1,0,0.90-0.10,0.08+0.08,0.70,0.06
62,Zanka,Brentford ,4,360,1,0,0.14-0.86,0.08+0.08,0.04,0.02
63,Ben Johnson,West Ham ,3,270,1,0,0.09-0.91,0.10+0.10,0.03,0.03
64,Callum Hudson-Odoi,Chelsea ,3,229,1,0,0.43-0.57,0.31+0.31,0.17,0.12
65,Bryan Mbeumo,Brentford ,3,236,1,0,1.13+0.13,0.00,0.43,0.00
66,Trevoh Chalobah,Chelsea ,3,270,1,0,0.56-0.44,0.05+0.05,0.19,0.02
67,James Maddison,Leicester ,4,247,1,0,0.88-0.12,0.37+0.37,0.32,0.14
68,Conor Coady,Wolverhampton Wanderers ,4,360,1,0,0.72-0.28,0.00,0.18,0.00
69,Rúben Neves,Wolverhampton Wanderers ,4,271,1,0,0.13-0.87,0.03+0.03,0.04,0.01
70,Diogo Jota,Liverpool ,3,169,1,1,0.91-0.09,0.62-0.38,0.48,0.33
71,Saman Ghoddos,Brentford ,3,57,1,0,0.55-0.45,0.03+0.03,0.87,0.04
72,Max Kilman,Wolverhampton Wanderers ,4,360,1,0,0.48-0.52,0.00,0.12,0.00
73,Mason Greenwood,Manchester United ,3,225,1,0,0.34-0.66,0.36+0.36,0.14,0.14
74,Leandro Trossard,Brighton ,4,360,1,0,1.15+0.15,0.57+0.57,0.29,0.14
75,Che Adams ,Southampton,2,99,1,0,0.68-0.32,0.09+0.09,0.62,0.08
