,Team,xG,xGA,xPTS
0,Liverpool,3.66,-0.30,2.97
1,Leicester,2.97,-1.02,2.62
2,Manchester City,2.16,-1.08,2.22
3,Tottenham,1.55,-0.65,2.19
4,Wolverhampton Wanderers,2.20,-1.21,2.13
5,Southampton,1.83,-0.45,2.47
6,Chelsea,0.25,-1.62,0.31
7,West Ham,2.03,-0.85,2.28
8,Crystal Palace,0.49,-1.74,0.41
9,Arsenal,1.74,-0.49,2.40
10,Norwich,1.16,-1.18,1.30
11,Brighton,1.18,-1.16,1.37
12,Aston Villa,1.21,-2.20,0.65
13,Newcastle United,0.65,-1.55,0.56
14,Everton,0.85,-2.03,0.52
15,Brentford,1.62,-0.25,2.50
16,Leeds,0.45,-1.83,0.35
17,Manchester United,1.02,-2.97,0.26
18,Burnley,1.08,-2.16,0.55
19,Watford,0.30,-3.66,0.02
